"군급","군급상태","명칭(한글)","명칭(영문)","주석(한글)","주석(영문)","포함(한글)","포함(영문)","제외(한글)","제외(영문)"
"1080","A","위장 및 기만용 장비","Camouflage and Deception Equipment","","","항공기 및 차량용 모의대포 포함 ; 위장망","Includes Dummy Artillery, Aircraft and Vehicles; Garnished Nets.","",""
"1090","A","둘 이상의 군급 무기체계간 상호교환할 수 있는 조립체","Assemblies Interchangeable Between Weapons in Two or More Classes","","","그룹 10 ""무기""의 둘 이상의 군급에 적용되는 무기에 사용되는 구성품 및 부수품","Includes Components and Accessories used on or with weapons falling in two or more classes of Group 10.","",""
"1095","A","기타 무기","Miscellaneous Weapons","","","투색총, 캐터펄트총, 총검, 예포, 호포, 조명총, 방공기구, 다른 곳에 분류할 수 없는 그룹10 ""무기""용 부수품, 소모성 폭탄투하기","Includes Line Throwing Guns; Catapult Guns; Bayonets; Saluting Guns; Signal Guns; Flare Guns; Barrage Balloons; Accessories, not elsewhere classifiable, for weapons in this group; Expendable Bomb Dispensers.","",""
"1100","A","핵무기","Nuclear Ordnance","이 그룹은 훈련탄, 모든구성품과 연습탄을 포함한다.또한 모의연습기나 모형도 포함한다.","Note-This group includes, in particular, nuclear ordnance training weapons, practice ballistic units, and all components specially designed therefor, when not specifically classified elsewhere. Also included in the group are specially designed simulators and mockups, which are integral parts of the above. Excluded from this group are general purpose nose cones, case sections, flare sections or center sections designed to carry payloads other than nuclear and/or for use on a missile, rocket, or re-entry vehicle to attain the necessary aerodynamic configuration.",".","","",""
"1105","A","핵폭탄","Nuclear Bombs","이 클라스에는 항공기로 부터 투하하도록 설계된 핵무기(폭탄포함)가 포함된다.또한 이러한 품목과 같이   쓰이는 특별히 설계된 모조품 및 모형도 여기에 포함된다. 핵무기 이외의 다른 물체를 운반하거나 또는  필요한 항공력학적 형태를 갖추기 위하여 유도탄, 로케트 또는 재진입 차량에 사용하도록 설계된 일반적  용도의 원추부분, 케이스 부분, 확대부분, 또는 중심부분은 그룹에서 제외된다.","Note-This class includes nuclear weapons (including bombs), which are designed to be dropped from an aircraft.","기본용기, 미익조립체, 지연장치 그리고 다른 분류되지 않은 특유의 구성품을 포함한다.","Includes Ballistic cases, tail assemblies, retardation devices, and other peculiar components which are not classifiable elsewhere.","낙하산과 낙하산 캐노피는 제외한다. ","Excludes Parachute canopies and canopy hardware."
"1110","A","핵 발사체","Nuclear Projectiles","이 클라스에는 무반동총, 총포, 곡사포 또는 그와 유사한 것으로부터 발사 되도록 설계되었으며, 스스로 추진  하지 못하는 핵무기가 포함된다.","Note-This class includes nuclear weapons which are designed to be propelled from a recoilless rifle, gun, howitzer, or the like, and which are not designed to be self-propelled.","첨단부분, 동체부분, 기부 및 다른곳에 분류되지 않는 기타 특수 구성품.","Includes Ogive sections, body sections, bases, and other peculiar components which are not classifiable elsewhere.","",""
"1115","A","핵탄두 및 탄두부분","Nuclear Warheads and Warhead Sections","이 클라스에는 폭탄, 로케트, 발사체, 유도탄, 파괴용 폭약 또는 그와 유사한것에 사용되는 탄두(케이스 부분  , 부착용키트 및 신관 및 격발용 구성품의 유무에는 무관함)가 포함된다. 또한 핵탄두 또는 탄두부분에 전적  으로 사용하거나 또는 이를 수용하기 위하여 설계 또는 건조된 유도탄, 로케트 재진입 케이스 부분, 원추부분  , 확대부분, 중심부분 및 구조용 보조 부분품도 이 클라스에 포함된다.","Note-This class includes nuclear warheads (without or assembled with case sections, adaption kits, and/or fuzing and firing components) which are to be used in or with bombs, rockets, projectiles, missiles, demolition charges, or the like. Also includes case sections, nose cones, flare sections, center sections, and auxiliary structural components of missiles, rockets, and re-entry vehicles which are designed or constructed for exclusive use with or for housing of nuclear warheads and/or warhead sections.","더 구체적으로 다른 클라스에 분류할 수 없는 탄두 또는 탄두부분에 전용되는 부분품 및 구성품","Includes Components and parts peculiar to the warhead or warhead section, which are not classifiable in more specific classes.","더 구체적으로 다른 클라스에 분류할 수 있는 신관 및 격발장치, 핵부분품 고성능 폭탄 구성품 및 무기의  외부 케이스 전체를 포함하는 발사체 및 폭탄등과 같은 품목","Excludes Such components as fuzing and firing devices, nuclear components, high explosive components, classifiable in more specific classes, and items such as projectiles and bombs which include the entire outer case of a weapon."
"1120","A","원자폭뢰","Nuclear Depth Charges","이 무기형태는 핵탄두를 장착한 폭뢰를 포함한다. 훈련탄 등 분류되지않는 구성품들을 포함한다.","Note-This class includes nuclear weapons which consist of depth charge bodies assembled with nuclear warheads. It includes training weapons and all specially designed components which are not classifiable elsewhere.",".","","",""
"1125","A","파괴용 핵 폭약","Nuclear Demolition Charges","이 클라스에는 파괴할 구조무, 지역 또는 그와 유사한 것에 설치하도록 설계된 핵무기가 포함된다.","Note-This class includes nuclear weapons which are designed to be emplaced in or near a structure, area, or the like, which is to be destroyed. The weapons may include accessories.","외부케이스, 케이스 부분 및 기타 다른곳에 분류할 수 없는 특수 구성품.","Includes Outer cases, case sections, and other peculiar components, which are not classifiable elsewhere.","",""
"1127","A","핵 로켓","Nuclear Rockets","이 클라스에는 핵탄두와 로케트 물체가 결합되어 하나의 보급단위를 구성하는 핵무기가 포함된다.","Note-This class includes nuclear weapons, consisting of rocket bodies assembled with nuclear warheads, which comprise a single item of supply and are issued as such.","다른곳에 분류할 수 없는 조립 로케트용 구성품","Includes Components peculiar to assembled rockets which are not classifiable elsewhere.","로케트 추진기, 탄두 부분품, 다른 연방보급품 분류번호에 분류되는 로케트 구성품.","Excludes Rocket Motors; Warhead Components; Rocket Components classified in other FSC classes."
"1130","A","핵무기용 변환카드","Conversion Kits, Nuclear Ordnance","이 클라스에는 핵무기를 한 형태로 부터 다른 형태로 변환시킬 목적으로 사용되는 품목의 집합체가 포함된다.","Note-This class includes collections of items used for the purpose of converting nuclear weapons from one configuration to another.",".","","",""
"1135","A","핵무기의 신관 및 점화 장치","Fuzing and Firing Devices, Nuclear Ordnance","","","신관, 전원, 폭발장치, 엑스유니트, 케이블, 안전장치, 부착키트 및 재진입 차량의 핵무기 격발 및 신관계통 구성품.","Includes such items as fuzes, power supplies, firing sets, x-units, cables, safing devices, adaption kits, and re-entry vehicle nuclear ordnance arming and fuzing systems.","",""
"1140","A","핵 구성품","Nuclear Components","핵활성 물질을 포함하거나 모조한 모든 구성품","","유사한 핵활성물질 또는 포함된 모든 구성품을 포함한다.","Includes All components which contain or simulate nuclear active materials.","폭탄, 추진제, 탄두와 같은 아이템은 제외한다.","Excludes end items, such as bombs, projectiles, warheads, and the like."
"1145","A","핵무기 폭약 및 발화 구성품","Explosive and Pyrotechnic Components, Nuclear Ordnance","본 클라스에는 모든 핵병기 및 폭탄,폭약,로케트,포탄,탄두와 같은 품목의 관계장치에 전용되는 발화 구성품  과 실제 및 모의폭약을 포함한다.","Note-This class includes actual and simulated explosive and pyrotechnic components peculiar to all nuclear ordnance end items, such as bombs, demolition charges, rockets, projectiles, warheads, and related systems. Excluded from this class are all explosive and pyrotechnic components designed for other than nuclear ordnance applications.",".","","",""
"1190","A","핵무기용 특수 테스트 및 조종 장비","Specialized Test and Handling Equipment, Nuclear Ordnance","","","핵무기(병기)를 위해 특수 제작된 트럭 및 트레일러; 특수 실링 및 권양기; 조작, 시험 및 고정장치, 받침대; 조절키트 및 세트, 조절용","Includes Specially designed trucks and trailers for nuclear ordnance; Specially designed slings and hoists; Operational, test, and setting devices, and cradles; Conditioning Kits and Sets, Controlled Environment.","조종 공구; 핵무기 및 기타 장비 모두 사용을 위한 기구; 전기 및 전자시험 기구 등 기본 품목, 군급색인에서 보여지는것처럼 전류계, 전압계, 전기저항계, 다중계기 및 유사 기구처럼 특수 고안된것을 포함","Excludes Hand tools; Instruments for use on both nuclear ordnance and other equipment; Basic types of electrical and electronic test instruments, including those specially designed, such as ammeters, voltmeters, ohmmeters, multimeters, and similar instruments, as shown in the indexes in the FSC."
"1195","A","기타 핵무기","Miscellaneous Nuclear Ordnance","","","하나의 급 이상 일반 품목이거나 앞선 핵무기류에 정확하게 맞지않는 품목","Includes Items common to more than one class or items not properly fitting into the foregoing classes of nuclear ordnance.","",""
"1200","A","사격통제장비","Fire Control Equipment","사격통제조립체, 보조조립체 및 구성품이 분류된다. a. (1)다른 종류의 사격통제장비에 다중 적용 가능토록 설계된 것 (2)유도탄 원격조정장치와 함께 사용 가능토록 개량된 것 (3)선박탑재 유도탄 원격조정장치용으로 특수 설계된 것 (4)발사통제장치용으로 특수 설계된 레이더 장비 (5)주간 및 야간관측 특성을 통합장치에 통합시킨 것. b. 각각 항공기 총포 및 항공기 폭탄사격통제용으로 특수설계된 품목은 군급 1270 ""항공기 총포 사격통제 구성품"" 또는 1280 ""항공기 폭탄 사격통제 구성품""으로 분류한다. c. 선박탑재형을 제외한 유도탄 원격조정장치용으로 특수설계된 품목은 군급 1430 ""유도탄 원격조정장치""로 분류한다. d. 사격통제 및 통신장비 양쪽에 적용가능토록 설계된 품목은 그룹 58 ""통신, 탐지 및 방사능 간섭장비""의 적절한 군급에 분류한다. e. 야간관측용으로 설계괸 품목은 그룹 58 ""통신, 탐지 및 방사능 간섭장비""의 적절한 군급에 분류한다","Note-Fire control assemblies, subassemblies, and components are classified:  a. In appropriate classes of this group when:  (1) Designed for multiple applications to different kinds of fire control equipment.  (2) Modified for use with guided missile remote control systems.  (3) Designed specifically for shipborne guided missile remote control systems.  (4) Radar equipment, designed specifically for fire control systems.  (5) Both day and night viewing characteristics are incorporated into an integral unit.  b. In Class 1270 or 1280, when designed specifically for aircraft gunnery or aircraft bombing fire control, respectively.  c. In Class 1430, when designed specifically for guided missile remote control systems, except shipboard type.  d. In appropriate classes of Group 58, when designed for multiple applications to both fire control and communication equipment.  e. In appropriate classes of Group 58 when designed for night vision.",".","","",""
"1210","A","사격통제 제원지시기 [註] ⓐ제원지시기(諸元指示器):사격제원을 산출하여 포에 지시하는 장치","Fire Control Directors","","",".","","",""
"1220","A","사격통제 조준계산기 및 장치 [註] ⓐ조준계산기:자동적으로 각도를 산출하는 포 조준기의 일종","Fire Control Computing Sights and Devices","","",".","","",""
"1230","A","사격통제장치 완성품","Fire Control Systems, Complete","이 군급은 완전한 사격통제장치만을 포함하며, 사격통제장치에 사용되는 각각의 완제품, 조립체, 부분품, 부속품 또는 부수품과 같은 완전한 시스템 이하 단계의 품목은 이 군급 이외의 다른 군급에 분류한다","Note-This class includes only complete fire control systems. Anything less than a complete system, such as individual end items, assemblies, parts, attachments, or accessories for use in fire control systems are classified in classes other than this class.",".","","",""
"1240","A","광학적 조준 및 사거리 측정장비","Optical Sighting and Ranging Equipment","","","잠수함용 잠망경, 사거리 및 고도 측정기, 망원 조준경, 사격통제장치에 결합된 광학장비","Includes Periscopes for Submarines; Range and Height Finders; Telescopic Sights; Optical Instruments Integrated with Fire Control Equipment.","",""
"1250","A","사격통제용 안정장치","Fire Control Stabilizing Mechanisms","","",".","","",""
"1260","A","사격통제 지시 및 표시기재","Fire Control Designating and Indicating Equipment","","","총좌,어뢰대 및 탐조등 지시장비, 표적 지시장비, 동기장치","Includes Turret, Gun, Torpedo Mount, and Searchlight Indicating Equipment; Target Designating Equipment; Synchro Systems.","",""
"1265","A","비항공기용 사격통제 송수신장치","Fire Control Transmitting and Receiving Equipment, except Airborne","","","사격통제 송신기, 송수신기, 수신기, 수신기 조정기","Includes Fire Control Transmitters, Transmitter-Receivers, Receivers, Receiver-Regulators.","","Excludes Fire Control Transmitting and Receiving Equipment, Specially Designed for use on or with Fire Control Radar Equipment."
"1270","A","항공기 총포 사격통제 구성품","Aircraft Gunnery Fire Control Components","","","항공기용 총좌, 특수 컴퓨터, 완전한 자이로 장치","Includes Turrets, Aircraft; Computers, specifically designed; Complete Gyro Mechanisms.","","Excludes Gun Chargers; Ammunition Boxes; Gun Heaters; Field and Link Chutes; Ammunition Boosters; Gyro Components; Complete Fire Control Systems."
"1280","A","항공기용 폭탄 사격통제 구성품","Aircraft Bombing Fire Control Components","","","특수 컴퓨터, 완전한 자이로 장치, 폭탄 사격통제용 광학기기","Includes Computers, specifically designed; Complete Gyro Mechanisms; Optical Instruments for Bombing Fire Control.","","Excludes Gyro Components; Optical Elements, such as Lens, Prisms, Filters."
"1285","A","사격통제 레이더 장비","Fire Control Radar Equipment, except Airborne","공중에서 운용되는 장비 제외","","사격통제 장비에 사용하기 위하여 특별히 설계된 레이더 세트, 조립체, 보조조립체 및 구성품","Includes Radar Sets, Assemblies, Subassemblies, and Components Specially Designed for use on or with Fire Control Equipment.","",""
"1287","A","사격통제 수중음파탐지 장비","Fire Control Sonar Equipment","이 군급은 수중 사격통제 장비용으로 특별히 설계된 항공기, 함정 및 잠수함 탑재용 수중 음파탐지세트, 조립체, 보조조립체 및 구성품을 포함한다","Note-This class includes airborne, shipborne, and submarineborne sonar sets, assemblies, subassemblies, and components designed specificially for use with underwater fire control equipment.",".","","",""
"1290","A","기타 사격통제 장비","Miscellaneous Fire Control Equipment","","","신관 설치기, 병기 케이블 장치, 방향(方向)틀, 섬광 및 음향거리 측정기, 그룹 12 ""사격통제장비""의 다른 군급에 분류할 수 없는 사격통제 구성품 및 보조조립체 [註] ⓐ방향틀:수평 및 수직을 판정하는데 사용하는 측각기구, 일반측량 및 포병의 사격을 위한 측량에 사용함","Includes Fuze Setters; Ordnance Cable Systems; Aiming Circles; Flash and Sound Ranging Sets; Fire Control Components and Subassemblies Not Classifiable in Other Classes of Group 12.","",""
"1300","A","탄약 및 폭발물","Ammunition and Explosives","핵무기용으로 특별히 설계된 품목은 이 그룹에서 제외한다","Note-Excluded from this group are items specially designed for nuclear ordnance application.",".","","",""
"1305","A","30MM이하 탄약","Ammunition, through 30mm","","","구성품","Includes Components.","",""
"1310","A","30MM초과 75MM미만 탄약","Ammunition, over 30mm up to 75mm","","","신관 및 뇌관을 제외한 구성품; 화학탄","Includes Components, except Fuzes and Primers; Chemical Warfare Cartridges.","신관 및 뇌관","Excludes Fuzes and Primers."
"1315","A","75MM이상 125MM이하 탄약","Ammunition, 75mm through 125mm","","","신관 및 뇌관을 제외한 구성품, 신호탄 약협 및 탄두, 화학탄 약협 및 탄두","Includes Components, except Fuzes and Primers; Pyrotechnic Cartridges and Projectiles; Chemical Warfare Cartridges and Projectiles.","신관 및 뇌관","Excludes Fuzes and Primers."
"1320","A","125MM초과 탄약","Ammunition, over 125mm","","","신관 및 뇌관을 제외한 구성품, 화학탄","Includes Components, except Fuzes and Primers; Chemical Warfare Projectiles.","신관 및 뇌관","Excludes Fuzes and Primers."
"1325","A","폭탄","Bombs","","","구성품, 사진촬영용 섬광폭탄, 화학탄, 폭탄군","Includes Components; Photoflash Bombs; Chemical Warfare Bombs; Bomb Clusters.","부가적인 추진수단에 의해 유도폭탄이 유도미사일로 개조된 것은 제외","Excludes Guided Bombs converted to Guided Missiles by addition of a means of propulsion."
"1330","A","수류탄","Grenades","","","수류탄 구성품, 수류탄 및 총류탄, 연막류탄","Includes Components; Hand and Rifle Grenades; Smoke Grenades.","발화장치(발사기)","Excludes Firing Devices (Launchers)."
"1336","A","유도탄 탄두 및 폭약 구성품","Guided Missile Warheads and Explosive Components","","","군용 화학제를 포함하는 탄두, 유도탄용 연습탄두","Includes Warheads Containing Military Chemical Agents; Exercise Heads, Guided Missile.","핵무기 탄두, 유도탄 용도 이외의 모든 다른 탄두, 액체추진장치, 로켓엔진(액체추진장치), JATO 장치, 유도탄용 로켓모터(고체추진장치), 고체연료 추진장치, 통합품으로서 미사일 추진장치에 삽입하기 위해 사용하는 폭관 및 약협과 같이 소모성 컨테이너에 넣는 추진제 [註] ⓐJATO(Jet Assited Take off):제트 이륙 보조로켓","Excludes Atomic Ordnance Warheads; All other Warheads for use on other than guided missiles; Liquid Propulsion Units; Rocket Engines (Liquid Propellant Units); JATO Units; Rocket Motors (Solid Propellant Units) for Guided Missiles; Solid Fuel Propulsion Units; Propellant Chemicals encased in consumable containers, such as squibs and cartridges for insertion into missile propulsion systems as integral parts."
"1337","A","유도탄 및 우주비행체 폭발 고체연료 추진장치 및 구성품","Guided Missile and Space Vehicle Explosive Propulsion Units, Solid Fuel; and Components","","","폭약이 장전된 유도탄용 로켓모터(고체추진장치), 유도탄용 모든 폭약 구성품 및 우주비행체 고체연료 추진장치, 통합품으로서 미사일 추진장치에 삽입하기 위해 사용하는 폭관 및 약협과 같이 소모성 컨테이너에 넣는 추진제","Includes Rocket Motors (Solid Propellant Units) for Guided Missiles, Explosive-Loaded; All Explosive Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units; Solid Propellants encased in consumable containers, such as squibs and cartridges, intended for insertion into missile propulsion systems as integral parts.","비활성 장전 또는 속이 빈 유도탄용 로켓모터(고체추진장치), 유도탄용 모든 비활성(비폭발) 구성품 및 우주비행체 고체연료 추진장치, 유도탄 탄두 및 구성품, 로켓 추진장치, 로켓용 로켓모터(고체추진장치), 특정한 질 및 양이 사전에 결정되고 있으며 재사용 가능한 컨테이너에 포장된 고체 추진제","Excludes Rocket Motors (Solid Propellant Units) for Guided Missiles, Inert-Loaded or Empty; All Inert (Nonexplosive) Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units; Guided Missile Warheads and Components; Rocket Propulsion Units; Rocket Motors (Solid Propellant Units) for Rockets; Solid Propellants predetermined to specific quantity and quality, but packaged in reusable containers."
"1338","A","유도탄 및 우주비행체 비활성 고체연료 추진장치 및 구성품","Guided Missile and Space Vehicle Inert Propulsion Units, Solid Fuel; and Components","","","속이 빈 또는 비활성 유도탄용 로켓모터(고체추진장치); 유도탄 및 우주비행체 고체연료 추진장치용 모든 비활성(비폭발) 구성품","Includes Rocket Motors (Solid Propellant Units) for Guided Missiles, Inert-Loaded or Empty; All Inert (Nonexplosive) Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units.","폭약이 장전된 유도탄용 로켓모터(고체추진장치); 유도탄 탄두 및 구성품; 로켓 추진장치; 로켓용 로켓모터(고체추진장치)","Excludes Rocket Motors (Solid Propellant Units) for Guided Missiles, Explosive-Loaded; Guided Missile Warheads and Components; Rocket Propulsion Units; Rocket Motors (Solid Propellant Units) for Rockets."
"1340","A","로켓,로켓탄 및 로켓 구성품","Rockets, Rocket Ammunition and Rocket Components","","","완전한 탄약; 탄두를 포함한 폭약 구성품; 신호로켓; 고체연료 JATO 장치; 로켓용 로켓모터(고체추진장치); 로켓탄두 보호덮개; 사출식 로켓 발사대; 통제된 환경 조절키트 및 세트; 다른 곳에 분류할 수 없는 기타 특수 구성품","Includes Complete Rounds; Explosive Components, Including Warheads; Pyrotechnic Rockets; Solid Fuel JATO Units; Rocket Motors (Solid Propellant Units) for Rockets; Covers, Protective Rocket Warhead; Jettisonable Rocket Launchers; Conditioning Kits and Sets, Controlled Environment; and other peculiar components which are not classified elsewhere.","핵 로켓, 핵 탄두; 로켓 이외의 다른 곳에 설치하는 기타 모든 탄두; 유도장치가 내장된 로켓","Excludes Nuclear rockets, Nuclear warheads; all other warheads for use on other than rockets; and rockets with built-in guiding devices."
"1345","A","지뢰","Land Mines","","","구성품; 대인 지뢰; 대전차 지뢰; 신관","Includes Components; Antipersonnel Mines; Antitank Mines; Fuzes.",".",""
"1346","A","원격 운용탄","Remote Munitions","운용탄 및 체계는 군인에 의한 직접운용이 아닌 차후 활동에 대비하여 부대배치를 위한 것이다.  원격운용탄은 군인에 의해 설치되거나 차량 / 항공기 기계적인 분배수단에 의한 설치된다. 그들은 자체무장이나 비무장을 원격조정된다.  ","Note-Munitions items/systems that are not held by the soldier but are deployed for future activation. They may be put in place separately by the soldier or delivered from vehicles or aircraft by mechanical distribution methods. They may be commdand controlled or may use self-initiated firing systems that do not require soldier monitoring. All items in this class can be armed/disarmed remotely.","원격 운용탄은 다양한 위협에 대비한 복합체에서 유용하게 사용된다.; 퓨즈; 안전 또는 무장된 기기;자폭기계; 통신모듈;지휘통신체계 그리고 다양한 다른 적합한 구성품들. ","Includes: Remote Munition Items and Systems used singularly or in combination to defeat a variety of threats; Fuzes; Safe and Arming devises; Self Destruction Mechanisms; Communication Modules; Command and Control systems and various other pertinent components.","",""
"1350","A","비활성 기뢰 및 구성품","Underwater Mine and Components, Inert","","","낙하산 팩; 비활성 지뢰 케이스; 전폭통; 시계 지연장치; 시계 기동장치; 수색코일; 연결자","Includes Parachute Packs; Inert Mine Cases; Booster Cans; Clock Delays; Clock Starters; Search Coils; Extenders.",".",""
"1351","A","폭발성 기뢰 및 구성품","Underwater Mines and Components, Explosive","","","장전 케이스; 전폭약; 기폭약","Includes Loaded Cases; Boosters; Detonators.",".",""
"1352","A","기뢰제거 비활성 장치","Underwater Mine Disposal Inert Devices","폭파장약 없는 기뢰제거 폭약장치로서 기뢰추적, 정찰목적으로 사용, 또한 훈련목적으로 사용할 수 있다","Note-Version of Underwater Mine Disposal Explosive Device without destructive charge. Intended for underwater mine hunting and reconnaissance. May also be used for training purposes.","연습, 훈련, 공포 및 모의용 구성품 뿐만 아니라 기뢰 수색장치와 같은 완전한 작동장치","Includes: Complete operating units, such as an underwater mine reconnaissance device, as well as component parts, practice, training, blank, and dummies.","어뢰 비활성 구성품, 폭뢰 및 기뢰 [註] ⓐ어뢰:자동장치에 의해서 물속을 전진하여 군함 따위의 목표물에 명중함으로써 폭발하는 폭탄, 함정이나 항공기에서 발사되며 물고기 모양을 하고 있음 ⓑ폭뢰:잠수함 공격을 위한 수중 폭탄의 한가지, 일정한 깊이에 이르면 기계적 발화장치에 의해 자동폭발함 ⓒ기뢰:공 모양의 관속에 폭약과 발화장치를 갖추고 수중에 부설하여 배를 폭파하는 수뢰","Excludes: Torpedo Inert components, depth charges, and underwater mines."
"1353","A","기뢰제거 폭약장치","Underwater Mine Disposal Explosive Devices","폭파장약을 포함하는 완전한 폭약장치로서 선박 또는 다른 원격지로부터 발사되며, 표적에 유도되고 폭발된다","Note-Complete explosive devices, including destructive charge. It is fired, guided to target and detonated from a vessel or other remote site.","탄약, 기폭장약 및 구성 부품을 포함한 완전한 폭파장치","Includes Complete explosive device, including ammunition, detonating charge, and component parts.","기뢰 폭약 구성품(군급 1351), 어뢰 폭약 구성품(군급 1356), 군사화학제(군급 1365)","Excludes Underwater Mine Explosive Components (FSC 1351), Torpedo Explosive Components (FSC 1356), Military Chemical Agents (FSC 1365)."
"1355","A","비활성 어뢰 및 구성품","Torpedos and Components, Inert","","","","","",""
"1356","A","폭발성 어뢰 및 구성품","Torpedos and Components, Explosive","","","탄두; 전폭약; 기폭장치 [註] ⓐ전폭약:뇌관의 작은 점화약에서 작용되어 장약을 폭파시키는 극히 예민한 화약","Includes Warheads; Boosters; Detonators.","",""
"1360","A","비활성 폭뢰 및 구성품","Depth Charges and Components, Inert","","","비활성 발화장치; 기폭장치 없는 발화장치; 연장기","Includes Inert Firing Mechanisms; Pistols without Detonators; Extenders.","",""
"1361","A","폭발성 폭뢰 및 구성품","Depth Charges and Components, Explosive","","","케이스, 전폭약, 기폭장치 ","Includes Cases; Boosters; Detonators.","",""
"1365","A","군사 화학제","Military Chemical Agents","","","전쟁용 독가스; 차폐연막; 소이제 및 농후제; 신호연막","Includes War Gases; Screening Smokes; Incendiary and thickening Agents; Signaling Smokes.","군사 화학제를 포함하는 탄약","Excludes Ammunition containing Military Chemical Agents."
