,참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(연락처).1,낙찰자(주소),낙찰률, 낙찰금액 
323,42,LGK0051,1,44379,***,00부대 영내도로 안전시설 설치납품,물품,LGK,제5897부대,2016-12-13 11:00,G2743,드림산업,,김성미,7041588693,070-4158-8693,강원특별자치도 춘천시 산수길269-85 (남산면),88.0211,"19,416,850"
329,3,UMM0640,1,35072,***,해상 계류부이 제조 납품,물품,UMM,국군재정관리단,2016-12-13 11:00,B62FB,(주)씨존,"SEA ZONE CO.,LTD.",신용주,7082908231,070-8290-8231,충청북도 음성군 생극면 신덕로71-11,89.0306,"649,055,000"
340,42,MCR0024,1,44435,***,17년 국외잡지 구매,물품,MCR,국방대학교,2016-12-13 10:30,GD778,지오,G.Operation,고황순,010-9905-9808,010-9905-9808,"경기도 포천시 소흘읍 호국로287번길9-24, 22-208",88.0904,"39,274,500"
431,3,UMM0631,1,42831,***,교도소 침대생산자재(목재류) 제조납품,물품,UMM,국군재정관리단,2016-12-12 10:30,E8ED7,주식회사 유퍼니,YOUFUNI,김정기,1099327978,010-9932-7978,경기도 포천시 호국로929번길71 (설운동),88.721,"91,413,040"
438,11,LGS0007,1,42809,***,00부대 장간조립교 자재 제조납품,물품,LGS,육군 제8군단,2016-12-09 11:00,1900F,전일목재산업 주식회사,JEONIL TIMBER,김병진,635453131,063-545-3131,전북특별자치도 김제시 백구면 금백로1138-0,85.6128,"27,334,700"
505,10,SCL0085,1,41650,***,생도견장(남/1학년) 등 26종 제조(구매),물품,SCL,해군사관학교,2016-12-07 10:30,G9915,주식회사 나눔과행복,share&happiness,김영배,070-4741-5043,070-4741-5043,서울특별시 종로구 율곡로29길16-0 (종로6가)4층,88.0815,"37,875,000"
511,4,LCF0970,3,37909,***,패킹재료 등 2항목 제조(궤도),물품,LCF,육군군수사령부,2016-12-06 11:00,3654F,금진산업,GUMJIN CO.,이강욱,513049001,051-304-9001,부산광역시 사상구 삼락천로33-0 (삼락동),89.971,"4,740,000"
521,3,UMM0778,1,41324,***,FRP 소화기함 제조(2),물품,UMM,국군재정관리단,2016-12-06 11:00,D63E0,주식회사 동신하이텍,"DONGSHIN HITECH CO.,LTD",이기영,052-258-3404,052-258-3404,울산광역시 울주군 웅촌면 은현공단3길 16(),88.4895,"85,668,000"
569,2,MDR0077,2,40375,***,사열대 등 6종 구매 제조,물품,MDR,제9965부대,2016-12-06 10:30,B6B09,우근건설 주식회사,"wo kun construction co.,ltd",강복순,426722800,042-672-2800,대전광역시 대덕구 오정로37번길 29(오정동),88.7559,"9,439,000"
576,2,LHN0070,1,41873,***,OO부대 GOP 난방시설 설치납품 등 6건,물품,LHN,제7보병사단,2016-12-05 11:30,C82A7,사내종합설비,,이청준,033-441-0304,033-441-0304,강원도 화천군 사내면 사창리365-4,88.2679,"22,729,260"
585,4,UAB0024,2,40061,***,17년 영업배상보험 및 캐디근재보험,물품,UAB,국군복지단,2016-12-05 11:00,FD9E5,엠지손해보험 주식회사,"MG Non-Life Insurance Co.,Ltd",윤진호,237882554,02-3788-2554,"서울특별시 강남구 테헤란로335-0 (역삼동, 엠지손해보험빌딩)",89.024,"29,203,600"
587,19,MCT0071,1,42020,***,시설자재(럭비장 차양대 등 8건) 구매,물품,MCT,국군체육부대,2016-12-05 11:00,CEB09,도매유통안전,domesafe,김춘기,053-383-0900,053-383-0900,대구광역시 달서구 와룡로236-0 (죽전동),88.0317,"51,594,620"
609,145,SFC0215,1,42022,***,NVR(16CH) 등 6품목(16-364호),물품,SFC,제9691부대,2016-12-05 10:30,G9B7F,주영,JooYoung,김재우,010-9255-8291,010-9255-8291,경기도 가평군 청평면 잠곡로10-0,88.1523,"12,668,060"
616,21,UAZ0051,1,41522,***,밥솥 등 2종 구매,물품,UAZ,합동군사대학교,2016-12-05 10:30,HAEA9,샬롬,shalom,김경숙,010-7746-0606,010-7746-0606,대전광역시 중구 문창로66번길10-0 (문창동),88.1876,"22,011,550"
632,20,LKM0074,1,42317,***,재투자 정보통신운영용품 구매(16종),물품,LKM,제2632부대,2016-12-05 10:30,D910F,웅진,,안남순,7070961273,070-7096-1273,전북특별자치도 전주시 완산구 장승배기로261-0 (평화동1가),88.2668,"17,162,380"
679,13,UMM0772,1,39984,***,00부대 이글루 탄약고 제습기 제조설치(4),물품,UMM,국군재정관리단,2016-12-01 11:00,G2944,주식회사 미르텍코리아,"MEERTECH KOREA.CO.,LTD",최용호,313571855,031-357-1855,"경기도 안양시 동안구 엘에스로136, 404호 405호 (호계동,금정역2차에스케이브이1타워))",88.0447,"278,444,092"
712,16,SCG0197,1,40994,***,EPSON 카트리지 등 38종,물품,SCG,해군본부,2016-11-30 10:30,D7F6A,현대상사,,정상섭,042-551-1509,042-551-1509,충청남도 계룡시 신도안면 부남리167,88.0285,"3,270,001"
722,3,LCF0978,2,38573,***,"클락 스프링 등 27항목 구매(해파, 기장)",물품,LCF,육군군수사령부,2016-11-29 11:00,GAF5D,헵시바상사,hebsiba sangsa,최승종,010-6248-7950,010-6248-7950,"경상북도 포항시 남구 지곡로294-0 (지곡동, 효자그린아파트)233-703호",98.5856,"9,417,000"
733,5,SDF0156,1,40477,***,샤워기호스 등 837종,물품,SDF,제5738부대,2016-11-29 11:00,H8322,오피스브릿지,officebridge,김수연,010-3787-4725,010-3787-4725,경상남도 창원시 의창구 사림로153-1 (사림동),83.1648,"32,430,000"
746,656,SCU0112,2,38743,***,리무버 등 219종,물품,SCU,해군 기동함대사령부,2016-11-29 10:30,H8ACE,주식회사우정상사,WooJungSangSa,오지녕,7046512888,070-4651-2888,"제주특별자치도 제주시 연북로21-0, 에코에비뉴 1609호",96.7395,"11,350,000"
750,206,SCQ0291,1,40480,***,차광막 등 99종 구매,물품,SCQ,제9911부대,2016-11-29 10:30,G2458,클릭바이 엠알오,clickbuy MRO,노영규,27196779,02-719-6779,경기도 고양시 일산서구 고양대로706-13 (일산동),88.0023,"13,472,430"
757,25,LKM0072,1,41033,***,"위임150,169차 자재납품",물품,LKM,제2632부대,2016-11-29 10:30,G6D44,SG산업,SGsanyeop,김수경,5020071125,050-2007-1125,전북특별자치도 전주시 완산구 장승배기로261-0 (평화동1가) SG산업,88.0935,"9,231,980"
758,224,LHR0037,1,40987,***,탄약고 화재 기호판 구매,물품,LHR,육군 제37보병사단,2016-11-29 10:30,FCEF6,다성,Dasung,박이숙,1054838339,010-5483-8339,"경기도 김포시 고촌읍 전호로32, 2동 401호",88.0015,"6,503,130"
761,67,SFL0148,1,40931,***,방탄복 구매,물품,SFL,제3283부대,2016-11-29 10:30,G41DD,승재유통,SEUNGJAE DISTRIBUTION,하경남,1044251587,010-4425-1587,경상북도 구미시 진평길77 골든하이츠 102호 (진평동),88.0263,"13,182,620"
764,17,SDG0067,1,40716,***,비디오 코덱 등 34종 구매,물품,SDG,제2002부대,2016-11-29 10:30,B6437,한신기계,hanshin machinery company,이동구,032-468-8118,032-468-8118,인천광역시 남동구 호구포로879-12 (간석동),97.2082,"3,800,000"
765,46,SCH0329,1,40615,***,점보롤화장지 등 15종,물품,SCH,해군작전사령부,2016-11-29 10:30,H40B0,주식회사 부영상사,Bu-Young Sang Sa,성윤미,557141117,055-714-1117,"부산광역시 강서구 미음산단로139번길9 (구랑동), 102호",88.0416,"6,920,600"
766,12,SCH0328,1,40589,***,사각 테이블 10개,물품,SCH,해군작전사령부,2016-11-29 10:30,E916C,호경북아트,hokyengboolart,박경숙,556057999,055-605-7999,경상남도 창원시 의창구 봉곡동29-6 2층,88.0752,"869,440"
772,9,SCR0150,1,40178,***,16-해-격납고 주파수변환기 구매,물품,SCR,해군제3함대사령부,2016-11-29 10:30,A2CB0,태일자동제어(주),TIAC,한연수,622254721,062-225-4721,광주광역시 광산구 신가매결길28(신창동),59.0304,"53,800,000"
773,3,SCR0149,1,39831,***,DOWN CONVERTER 등 5종 구매,물품,SCR,해군제3함대사령부,2016-11-29 10:30,BFF14,(유)목포신도digitalOA,,김기홍,612798424,061-279-8424,전라남도 목포시 삼학로 282(),74.6592,"19,415,000"
774,2,SCQ0284,1,39914,***,대변기스퍼트 등 77종 구매,물품,SCQ,제9911부대,2016-11-29 10:30,E5DAF,금호전기조명(주),kumho electtronic & lighting,김미숙,313940780,031-394-0780,경기도 군포시 당산로192번길2-0 (금정동) 101~103호,73.8925,"19,360,000"
779,2,SCQ0268,1,39672,***,지지목 등 40종 구매,물품,SCQ,제9911부대,2016-11-29 10:30,E5DAF,금호전기조명(주),kumho electtronic & lighting,김미숙,313940780,031-394-0780,경기도 군포시 당산로192번길2-0 (금정동) 101~103호,72.1135,"25,652,000"
786,4,HCF0008,1,39830,***,디지털 매니폴드 게이지 등 62종 구매,물품,HCF,공군군수사령부,2016-11-29 10:30,FDF62,(주)디에스인프라,DSInfra,조용경,7077666240,070-7766-6240,경기도 평택시 원평로35번길42 (평택동),91.3795,"19,499,000"
796,45,SFH0104,1,40350,***,Y자형 꽂이 등 355품목,물품,SFH,제9196부대,2016-11-28 11:00,HA551,서진,SEOJIN,이경진,010-5622-9641,010-5622-9641,"인천광역시 연수구 한나루로164번길12, 단독주택(옥련동)",88.0153,"21,100,390"
800,169,LMN0053,1,40060,***,취사장 주방용 소화기 구매,물품,LMN,제6955부대,2016-11-28 11:00,GE727,(TS)산업,CHANIOORI,배양숙,1027145767,010-2714-5767,경기도 용인시 기흥구 영통로525번길24-0 (영덕동),88.0045,"4,545,000"
811,29,SCN0349,1,40478,***,펀치 등 41종,물품,SCN,제7001부대,2016-11-28 10:30,CE517,경남상사,,허정명,051-338-6138,051-338-6138,경상남도 창원시 진해구 용원로90번길 11-1(),88.0672,"13,219,700"
813,6,SCR0099,1,40785,***,전자순찰시계 등 3종 구매,물품,SCR,해군제3함대사령부,2016-11-28 10:30,E6FF9,오피스디포 목포점,officedepot mokpo,정은실,061-284-5580,061-284-5580,전라남도 목포시 백년대로381 (옥암동),88.5739,"1,237,100"
815,19,HCL0091,1,40569,***,항-16-075 황사마스크 KF80,물품,HCL,공군사관학교,2016-11-28 10:30,EB7E2,미래상사,amirae,김정윤,043-267-8221,043-267-8221,충청북도 청주시 상당구 월평로250번길6-0 (용암동),88.0166,"16,915,000"
816,30,HDC0034,1,40635,***,시설대대 도로표지용 도료(백색)(16-311),물품,HDC,공군제1전투비행단,2016-11-28 10:30,E3FE2,주식회사 비와이에이치,BYH,김경희,626825115,062-682-5115,광주광역시 동구 중앙로306(계림동),88.9002,"12,363,750"
817,106,SFM0112,1,40648,***,톤마대 구매,물품,SFM,제3170부대,2016-11-28 10:30,E4CFF,금강아이티,,박지훈,010-4398-2588,010-4398-2588,"경기도 김포시 김포한강11로227-0 (운양동, 풍경마을 래미안 한강2차)501-2003",88.021,"4,824,290"
827,201,SCQ0286,1,40227,***,펀치 등 115종 구매,물품,SCQ,제9911부대,2016-11-28 10:30,H3249,제이유테크,jutech,정혜님,7047722900,070-4772-2900,"경기도 남양주시 다산순환로166, 7층 701호(다산동, 다산신화타워)",88.0211,"11,574,000"
830,5,SCH0325,1,40136,***,물류관리라벨 등 512종,물품,SCH,해군작전사령부,2016-11-28 10:30,G8AE3,블루존시스템,bluzon system,신월호,010-9584-1021,010-9584-1021,울산광역시 울주군 온양읍 남창3길10-7  2층 우측사무실,88.2797,"10,650,620"
845,4,LCF0982,1,39370,***,P200T5KY(노랑) 등 15항목 제조(물자),물품,LCF,육군군수사령부,2016-11-25 11:00,E045E,주식회사 서트,"tonerworld Co.,Ltd.",차성호,328671663,032-867-1663,인천광역시 남구 미추홀대로669번길 81(도화동),88.4156,"9,520,000"
859,17,HDK0043,1,39850,***,플루드 라이트 세트 구매,물품,HDK,공군제11전투비행단,2016-11-25 11:00,GDE1C,에스지에스,SGS,김상곤,1080008823,010-8000-8823,대구광역시 북구 칠곡중앙대로110길15-15 (읍내동) 악토버빌 502호,88.1825,"26,724,923"
861,11,HDK0042,1,39772,***,스틸그레이팅 제조 구매,물품,HDK,공군제11전투비행단,2016-11-25 11:00,CE980,그레이팅코리아(주),gratingkorea,최성덕,313598383,031-359-8383,경기도 화성시 양감면 동지골길 14-5(),88.1106,"19,742,460"
863,640,LHD0018,1,39955,***,8759부대 등 2개소 자재구매,물품,LHD,제21보병사단,2016-11-25 11:00,FC511,정민이엔씨,jungminE&C,윤정민,7075236826,070-7523-6826,"경기도 하남시 미사강변대로240-0, 806동 703호 (망월동, 미사강변도시8단지)",88.0002,"45,090,900"
864,2,UMM0599,1,38461,***,16-동-ㅇㅇ항 휀더 제조 납품,물품,UMM,국군재정관리단,2016-11-25 11:00,B62FB,(주)씨존,"SEA ZONE CO.,LTD.",신용주,7082908231,070-8290-8231,충청북도 음성군 생극면 신덕로71-11,99.6241,"171,000,000"
868,2,MCT0068,2,38900,***,배구부 운동용품(배구공 등 7품목),물품,MCT,국군체육부대,2016-11-25 11:00,G6A32,유원 씨앤씨,UONE C&C,서성균,070-8248-0284,070-8248-0284,"대구광역시 남구 봉덕로134-0 , 103-1107(봉덕동)",96.6804,"7,352,500"
869,6,MCT0067,2,38857,***,종목별 운동용품 구매(핸드볼 등 3개부서),물품,MCT,국군체육부대,2016-11-25 11:00,G6A32,유원 씨앤씨,UONE C&C,서성균,070-8248-0284,070-8248-0284,"대구광역시 남구 봉덕로134-0 , 103-1107(봉덕동)",94.9077,"11,989,000"
870,2,MCN0084,1,39513,***,정압게이지 등 7종 설치납품,물품,MCN,국방부근무지원단,2016-11-25 11:00,D9947,(주)퓨처테크놀러지,"Future technology. Co., Ltd.",안상옥,27970348,02-797-0348,"서울특별시 용산구 한강대로52길7-8,4층 (한강로2가,삼미빌딩)",82.1365,"10,355,400"
872,9,LCF0983,1,39380,***,CLT-K508L(검정) 등 62항목 구매(물자),물품,LCF,육군군수사령부,2016-11-25 11:00,D1B02,미소커뮤니케이션,miso communication,이효정,226323173,02-2632-3173,서울특별시 영등포구 경인로763-0 (문래동3가) 제9호,88.0641,"29,470,000"
874,317,SCQ0281,1,39888,***,철수세미 등 41종 구매,물품,SCQ,제9911부대,2016-11-25 10:30,H2C89,엔돌핀,ndorphin,최정화,010-5766-3119,010-5766-3119,"경기도 의정부시 서광로169, 101동 2003층(산곡동, 대광로제비앙 더 퍼스트)",88.0076,"21,377,900"
876,23,SCH0323,1,39845,***,섹션 펜꽃이 등 309종,물품,SCH,해군작전사령부,2016-11-25 10:30,F1BBF,영화상사,,서옥경,518054447,051-805-4447,부산광역시 연제구 거제천로 233(),88.0113,"4,808,500"
877,250,SCQ0279,1,39875,***,컬러정부화일 등 278종 구매,물품,SCQ,제9911부대,2016-11-25 10:30,F145B,프라임테크,primetech,이은숙,032-225-4443,032-225-4443,"경기도 부천시 원미구 상이로39번길7-19 , 202호",88.0084,"11,269,440"
878,3,SDG0066,1,39839,***,전기온풍기 등 3종 구매,물품,SDG,제2002부대,2016-11-25 10:30,B84D4,삼성전자형제대리점,,전기원,032-762-8810,032-762-8810,인천광역시 동구 화평동193,91.1931,"1,069,200"
882,17,SCG0190,1,39601,***,디지털 온습도계 등 62종,물품,SCG,해군본부,2016-11-25 10:30,E0F72,가람주식회사,garam,신혜영,428405115,042-840-5115,충청남도 계룡시 엄사면 번영로85-0  101호,88.4229,"3,392,360"
883,31,SCG0186,2,38798,***,가로방비 세트 등 123종,물품,SCG,해군본부,2016-11-25 10:30,E9019,드림으뜸상사,Dreamtop Corp.,김범규,7077172948,070-7717-2948,"충청남도 계룡시 신도안면 신도안1길43, 1층",88.2063,"4,022,000"
890,50,SCQ0270,1,39677,***,그레이트스파이더체인 2종 구매,물품,SCQ,제9911부대,2016-11-25 10:30,H547A,주식회사 성진이엔디,Sungjin E&D,성하영,070-7516-9479,070-7516-9479,경기도 시흥시 시흥대로1115-0 (신천동)산호테크노 707호,98.6363,"3,550,000"
892,150,SCQ0278,1,39780,***,갈퀴 등 9종 구매,물품,SCQ,제9911부대,2016-11-25 10:30,H6F5E,케이제이 씨앤씨유통,KJ CNC,이철환,010-8790-1182,010-8790-1182,"인천광역시 부평구 부평대로283, A동 B115-16호(청천동, 부평우림라이온스밸리)",88.0003,"3,657,650"
895,198,SCQ0283,1,39904,***,유성펜 등 301종 구매,물품,SCQ,제9911부대,2016-11-25 10:30,FF671,주식회사 세경전기통신,skyshwang.CO.LTD,황영식,7086721277,070-8672-1277,경기도 이천시 모가면 대월로261번길13-22,88.0082,"7,228,800"
899,33,SCH0321,1,39847,***,신호용 호각 등 4종,물품,SCH,해군작전사령부,2016-11-25 10:30,G0C60,한가온,HGO,조경화,5023142000,050-2314-2000,"전라남도 순천시 오천2길19, 202호(오천동)",88.0161,"5,124,200"
900,308,LHM0013,1,39858,***,00부대  20톤 회전식 크라샤 구매,물품,LHM,제15보병사단,2016-11-25 10:30,FAF37,안보종합상사,ANBOJONGHABSANGSA,권창수,02-2631-8972,02-2631-8972,강원도 원주시 치악로1613-2 (단구동),88.0043,"21,287,000"
901,31,LPN0016,1,39823,***,유류시험 기자재 구매,물품,LPN,수도군단,2016-11-25 10:30,F8F8C,주식회사 바로에스앤티,"BAROSNT Co., Ltd",이정협,032-575-8589,032-575-8589,인천광역시 남동구 선수촌공원로5-0 (구월동) 구월테크노밸리 C동 309호,88.114,"20,392,364"
902,14,SCL0082,1,39360,***,폼업 등 118종 구매,물품,SCL,해군사관학교,2016-11-25 10:30,H4435,주식회사 서진컨설팅,seojin consulting,김서영,010-7522-0443,010-7522-0443,"경상남도 창원시 마산회원구 삼호로263-0 , 3층(회성동)",88.1107,"12,345,000"
904,2,SCF0501,1,39232,***,탐조등 5EA,물품,SCF,해군군수사령부,2016-11-25 10:30,EF9E0,에이치제이티(HJT),HJT,한효정,010-8591-3638,010-8591-3638,"경기도 부천시 오정구 고리울로16번길23-0 (고강동, B1층)",89.3469,"5,711,270"
908,9,HFK0012,1,39550,***,OO CBT 하드웨어 및 SW 구매/설치,물품,HFK,제1방공유도탄여단,2016-11-24 13:00,H041E,주식회사 시스텍,"systec co,.Ltd.",고윤안,070-8709-0666,070-8709-0666,"경기도 안성시 대덕면 서동대로4726, 중앙대학교 생활과학관 609관 2층",85.0395,"204,767,000"
912,2,UMM0761,1,39467,***,장간조립교 자재 제조납품(2),물품,UMM,국군재정관리단,2016-11-24 11:00,1900F,전일목재산업 주식회사,JEONIL TIMBER,김병진,635453131,063-545-3131,전북특별자치도 김제시 백구면 금백로1138-0,88.0264,"72,839,500"
914,10,UMM0753,1,38965,***,00부대 이글루 탄약고 제습기 제조설치(5),물품,UMM,국군재정관리단,2016-11-24 11:00,E87A0,한길씨앤씨주식회사,"hangilcnc co.,ltd",신용인,535532486,053-553-2486,대구광역시 북구 검단공단로21길50-12 라동(산격동),88.16,"180,591,500"
919,90,UMM0740,1,38571,***,‘16년 후반기 전장관리체계 운영용품구매,물품,UMM,국군재정관리단,2016-11-24 11:00,G7D65,(합)도시환경,"dosi environment ,cor.",이용만,033-254-0949,033-254-0949,강원도 춘천시 충혼길56 (온의동),88.1639,"153,787,500"
920,2,UMM0746,2,38157,***,00부대 장간조립교 자재 제조납품,물품,UMM,국군재정관리단,2016-11-24 11:00,CC99D,제주산림영농조합법인,jeju,오서용,647940255,064-794-0255,제주특별자치도 서귀포시 안덕면 상창중로25-0,88.5734,"148,802,000"
930,89,SFM0110,1,39650,***,섬유유연제 등 4종 구매,물품,SFM,제3170부대,2016-11-24 10:30,D535D,한국전지수성점,hankookgengisoosunggeom,이춘희,070-8800-1409,070-8800-1409,경상북도 영천시 대창면 대창시장길24-36,88.0039,"24,469,120"
931,88,SFM0111,1,39682,***,눈삽 등 2종 구매,물품,SFM,제3170부대,2016-11-24 10:30,GAF5D,헵시바상사,hebsiba sangsa,최승종,010-6248-7950,010-6248-7950,"경상북도 포항시 남구 지곡로294-0 (지곡동, 효자그린아파트)233-703호",88.0446,"8,301,700"
933,388,SCI0048,1,39546,***,트위스트 등 33종 구매,물품,SCI,제9121부대,2016-11-24 10:30,H08BA,조인,join,이정배,7071766295,070-7176-6295,경기도 양주시 옥정로200 (옥정동) 5층 506-71호,88.0029,"17,055,810"
934,168,SCI0047,1,39539,***,켄트 샥클 등 32종 구매,물품,SCI,제9121부대,2016-11-24 10:30,ECF32,세종상사,,노정래,010-9384-8831,010-9384-8831,경상남도 창원시 진해구 여명로52 (여좌동),92.0966,"29,220,000"
941,4,SCN0342,1,39563,***,마사토 등 2종,물품,SCN,제7001부대,2016-11-24 10:30,BD191,(주) 건영패밀리,"Kon Yong Family, Co. Ltd.",허조건,051-334-8006,051-334-8006,부산광역시 강서구 신호산단2로75번길49-0 (신호동),80.6788,"15,400,000"
946,14,SCG0181,2,37896,***,표창장 내.외지 제조(구매),물품,SCG,해군본부,2016-11-24 10:30,E6743,대전인재사,DAEJEONINJAESA,고인곤,422228538,042-222-8538,대전광역시 동구 선화로 212(),90.9718,"11,453,000"
947,3,SCF0498,1,38977,***,뉴젤 청정기 등 2종,물품,SCF,해군군수사령부,2016-11-24 10:30,H8826,씨지 트레이드,CG TRADE,노춘성,053-354-8899,053-354-8899,대구광역시 북구 원대로42-0 (고성동2가),86.971,"39,695,000"
948,8,MCS0155,1,38986,***,형광램프 외 36종 구매,물품,MCS,국방부계룡대근무지원단,2016-11-24 10:30,C7252,대경상사,daekyungsangsa,홍순억,042-551-1494,042-551-1494,"충청남도 계룡시 신도안1길41-0 (신도안면, 계룡대쇼핑타운)",46.9002,"23,210,000"
950,3,LKT0035,1,39259,***,탄약고용 컨테이너 제조설치납품,물품,LKT,제1989부대,2016-11-23 11:30,DE601,(주)대명,"daemyung co.,ltd",임대성,612813850,061-281-3850,전라남도 무안군 삼향읍 삼향공단길42-28,88.8089,"30,668,550"
958,11,SFH0093,1,38954,***,NVR 등 68품목,물품,SFH,제9196부대,2016-11-23 11:00,BE531,하나이티에프 주식회사,HANA E.T.F.Inc,오승명,322380404,032-238-0404,"인천광역시 부평구 부평대로283, A동 311호(청천동, 부평우림라이온스밸리)",88.0702,"52,302,591"
959,5,SFD0162,1,39167,***,매립형 XLR 커넥터 등 111종,물품,SFD,제9227부대,2016-11-23 11:00,FBC90,인켈정보통신 주식회사,inkelpa Co. Ltd,장은선,542776144,054-277-6144,경상북도 포항시 북구 흥해읍 삼흥로501번길24-38,87.7266,"49,543,000"
962,4,LGP0116,2,38695,***,강릉지역 창고시설 중량선반 제조납품설치,물품,LGP,제1군수지원사령부,2016-11-23 11:00,G9C54,수성캐리어스 주식회사,SoosungCarriers Inc.,유영하,033-748-0327,033-748-0327,강원특별자치도 원주시 가현동369-1,88.7426,"34,562,880"
963,4,LGP0115,2,38694,***,인제지역 창고시설 중량선반 제조납품설치,물품,LGP,제1군수지원사령부,2016-11-23 11:00,G9C54,수성캐리어스 주식회사,SoosungCarriers Inc.,유영하,033-748-0327,033-748-0327,강원특별자치도 원주시 가현동369-1,88.5463,"18,398,060"
964,4,LGP0114,2,38693,***,춘천지역 창고시설 중량선반 제조납품설치,물품,LGP,제1군수지원사령부,2016-11-23 11:00,G9C54,수성캐리어스 주식회사,SoosungCarriers Inc.,유영하,033-748-0327,033-748-0327,강원특별자치도 원주시 가현동369-1,88.2474,"33,965,390"
965,4,LGP0113,2,38692,***,원주지역 창고시설 중량선반 제조납품설치,물품,LGP,제1군수지원사령부,2016-11-23 11:00,G9C54,수성캐리어스 주식회사,SoosungCarriers Inc.,유영하,033-748-0327,033-748-0327,강원특별자치도 원주시 가현동369-1,88.3068,"36,796,130"
966,3,HCC0112,1,39164,***,FILTER PAPER 등 29품목,물품,HCC,해군제1수리창,2016-11-23 10:30,C0914,(주)동건,DONG GUN CO.,윤영현,332422612,033-242-2612,강원특별자치도 동해시 전천로245-2 (북평동),81.772,"13,314,000"
968,29,SCK0196,1,39480,***,북스탠드 등 104종,물품,SCK,해군교육사령부,2016-11-23 10:30,H9F30,다림테크,dalim tech,정병윤,552992866,055-299-2866,경상남도 창원시 마산회원구 석전남23길7-0 (석전동),88.079,"2,981,950"
979,5,SCN0337,1,39354,***,상판접이식테이블 등 1145종,물품,SCN,제7001부대,2016-11-23 10:30,H8322,오피스브릿지,officebridge,김수연,010-3787-4725,010-3787-4725,경상남도 창원시 의창구 사림로153-1 (사림동),81.709,"44,000,000"
980,3,SCN0335,1,39350,***,ESH100-12 등 13종 구매,물품,SCN,제7001부대,2016-11-23 10:30,G81BB,가나안상사,canaan,서은숙,1028422250,010-2842-2250,강원특별자치도 동해시 전천로273-15 (북평동) 103-1호,76.0238,"12,700,000"
