적용장비,적용장비,승인일자,예산구분코드,규격종류명,예산구분명,품보형태,군부분명,납기,납지순위,수량,납지,항목번호,군급,품명,군구분,국가품목식별번호,단가,부품번호,조달요구번호,참조번호,규격종류,규격번호,재고번호형태부호,금액,단위
 , , ,U0, , ,소요군검수,국직,20171231,001,1,2000001553,***,0000,식품,TM,A00000001,130908000, ,TM201644918A001, , , , ,130908000,YE
 , , ,U0, , ,소요군검수,국직,20171231,001,1,2000001553,***,0000,식품,TM,A00000001,593763250, ,TM201644917A001, , , , ,593763250,YE
 , , ,U0, , ,표준 품질 보증형태,해병,20170120,001,1,6000008618,***,0000,페인트건 등 7종,MW,000000001,6555000, ,MW201646180A001, , , , ,6555000,YE
 , , ,U0, , ,소요군검사,공군,20171231,001,1,7000000029,***,0000,음식물쓰레기 처리,MD,NL0000000,41600000, ,MD201643681A001, , , , ,41600000,EA
 , , ,A1, , ,단순품질보증형(I형),국직,20170106,001,1,2000006483,***,7690,Truepress-jet520 전용잉크등 2종 구매,TM,1233700W0,680000, ,TM201645294A001, , , , ,680000,YE
 , , ,A1, , ,단순품질보증형(I형),국직,20161228,001,1,2000006483,***,7690,인쇄용지8종 제조/구매,TM,1233700W0,1700000, ,TM201642707A001, , , , ,1700000,YE
 , , ,A1, , ,소요군검사,육군,20161222,001,1,5000030676,***,0000,보강자재,MB,000000001,38018200, ,MB201646033A001, , , , ,38018200,PC
 , , ,A1, , ,소요군검사,국직,20170130,001,1,2000002845,***,1111,가전제품 7종,TM,NSN123456,8205000, ,TM201645632A001, , , , ,8205000,YE
 , , ,U0, , ,소요군검사,육군,20170127,001,82458,5000051778,001,2016,'17년 설날 경축특식(과자세트) 구매(제조),MB,111111111,1500, ,MB201643767A001, , , , ,123687000,SE
 , , ,A1, , ,소요군검사,육군,20171211,001,1,5000054105,***,0001,진공온수보일러,MB,KCTC16004,100000, ,MB201645084A001, , , , ,100000,YE
 , , ,U0, , ,소요군검수,국직,20171231,001,1,2000000045,***,0000,17년 영선보수자재 구매,TM,201600000,277520000, ,TM201643001A001, , , , ,277520000,YE
 , , ,A1, , ,소요군검사,육군,20161216,001,1,5000036064,***,6500,CHRUNCH000,MB,CHRUNCH00,1000, ,MB201644827A001, , , , ,1000,YE
 , , ,A1, , ,소요군검사,육군,20161221,001,1,5000028865,***,0000,병영도서 구매,MB,A00000000,26231400, ,MB201645810A001, , , , ,26231400,YE
 , , ,A1, , ,소요군검수,육군,20161230,001,1,5000002773,***,1111,신병용품,MB,A11111111,3840000, ,MB201645332A001, , , , ,3840000,EA
 , , ,A1, , ,소요군검수,육군,20161230,001,1,5000002773,***,1111,독서카페자재,MB,A11111111,9601800, ,MB201645318A001, , , , ,9601800,EA
 , , ,A1, , ,소요군검수,육군,20161230,001,1,5000002773,***,1111,송풍기,MB,A11111111,8528800, ,MB201645302A001, , , , ,8528800,EA
 , , ,A1, , ,소요군검수,육군,20161230,001,1,5000002773,***,1111,"수저,수저통",MB,A11111111,15634740, ,MB201645298A001, , , , ,15634740,EA
 , , ,U0, , ,소요군검수,합동군사대학교,20171231,001,1,2000010534,***,1111,17-국방어학원 국내.외 간행물 17종 구매,NF,111111111,8478000, ,NF201645202A001, , , , ,8478000,YE
 , , ,U0, , ,단순품질보증형(I형),공군,20161231,001,36,7000008724,***,4520,가스보일러,MD,37ZC14817,539000, ,MD201645150A001, , ,105.8㎡, ,19404000,EA
 , , ,A1, , ,소요군검사,해군,20170331,001,600,6000006579,***,9330,압착비닐 중(B4),MP,37A185405,1980, ,MP201644137A004, , ,사양서, ,1188000,DS
 , , ,A1, , ,단순품질보증형(I형),공군,20171212,001,1,7000002689,***,0000,수배전반,MD,000000000,87617190, ,MD160026659Q001, , , , ,87617190,YE
 , , ,A1, , ,소요군검수,국직,20171231,001,1,2000000045,***,0000,시설공사 관급자재(화물용엘리베이터)제조 설치납품,TM,201600000,10000, ,TM201644583A001, , , , ,10000,YE
 , , ,A1, , ,소요군검수,국직,20171231,001,1,2000000045,***,0000,시설공사 관급자재(조명기구)제조 납품,TM,201600000,58896000, ,TM201644581A001, , , , ,58896000,YE
 , , ,A1, , ,소요군검수,국직,20171231,001,1,2000000045,***,0000,시설공사 관급자재(분전반)제조 납품,TM,201600000,75690000, ,TM201644578A001, , , , ,75690000,YE
 , , ,A1, , ,소요군검수,국직,20171231,001,1,2000000045,***,0000, 관급자재(전관방송 및 AV설비) 제조 설치납품,TM,201600000,10000, ,TM201644564A001, , , , ,10000,YE
 , , ,A1, , ,소요군검수,국직,20171231,001,1,2000000045,***,0000,리모델링 관급자재(조명기구) 제조납품,TM,201600000,10000, ,TM201644476A001, , , , ,10000,YE
 , , ,A1, , ,소요군검사,육군,20161216,001,1,2000010191,***,0000,변압기,MB,A00000000,8837620, ,MB201644826A001, , , , ,8837620,YE
 , , ,A1, , ,소요군검사,육군,20161216,001,1,5000060675,***,0000,전동카트,MB,A00000000,79596000, ,MB201644886A001, , , , ,79596000,YE
 , , ,A1, , ,단순품질보증형(I형),육군,20161216,001,1,5000026335,***,1111,차기다련장 3차 811정비대대 시설공사_크레인,MB,A00000001,48125000, ,MB201644894A001, , , , ,48125000,YE
 , , ,A1, , ,소요군검사,육군,20161229,001,1,5000230424,***,0000,방송장비 구매 / 설치,MB,000000001,61732000, ,MB201644540A001, , , , ,61732000,AY
 , , ,A1, , ,소요군검사,육군,20161227,001,1,5000128772,***,1327,물류취급 물자(롤테이너 등 5종)구매,MB,111111111,38836900, ,MB201644691A001, , , , ,38836900,UN
 , , ,U0, , ,소요군검사,국직,20161209,001,1,2000001467,***,0000,치료식,TM,NSN000000,1311756210, ,TM201643073A001, , , , ,1311756210,UT
 , , ,U0, , ,소요군검사,국직,20161209,001,1,2000001467,***,0000,치료식,TM,NSN000000,1311756210, ,TM201643073A001, , , , ,1311756210,UT
 , , ,A1, , ,소요군검사,국직,20161231,001,1,6000005852,***,1111,13인승(장애인겸용),TM,000000001,100000, ,TM201640560A001, , , , ,100000,YE
 , , ,U0, , ,소요군검사,국직,20161209,001,1,2000001467,***,0000,치료식,TM,NSN000000,1311756210, ,TM201643073A001, , , , ,1311756210,UT
 , , ,A1, , ,소요군검사,국직,20171027,001,1,2000000565,***,3568,가구,TM,87F890895,20000, ,TM160026339Q001, , , , ,20000,YE
 , , ,A1, , ,소요군검수,국직,20161213,001,1,2000011201,***,0001,금융이자,TM,000000001,90237370, ,TM201643769A001, , , , ,90237370,YE
 , , ,B1, , ,자율품질보증형(Ⅱ형),공군,20170428,001,3,7000003872,***,6615,자이로스코프 비율식,MD,010546075,16720000, ,MDUDHC16655041, , , , ,50160000,EA
 , , ,A1, , ,표준품질보증형(Ⅲ형),육군,20161219,001,1,5000033365,***,0000,월동자재,MB,000000000,28867600, ,MB201645324A001, , , , ,28867600,YE
 , , ,A1, , ,소요군검사,육군,20161219,001,1,5000028869,***,0000,보조지주 제조구매,MB,A00000000,44929980, ,MB201645284A001, , , , ,44929980,YE
 , , ,A1, , ,표준 품질 보증형태,해병,20171231,001,1,2000010189,***,0000,조명기구,MW,000000001,1000000, ,MW201643823A001, , , , ,1000000,YE
 , , ,A1, , ,표준 품질 보증형태,해병,20171024,001,1,2X00000019,***,0000,CCTV,MW,000000001,73211170, ,MW201643811A001, , , , ,73211170,YE
 , , ,A1, , ,표준 품질 보증형태,해병,20171024,001,1,2000010189,***,0000,분전반,MW,000000001,57278220, ,MW201643807A001, , , , ,57278220,YE
 , , ,U0, , ,표준 품질 보증형태,해병,20171231,001,1,6000008618,***,0000,떡류 등 21종,MW,000000001,315150000, ,MW201643800A001, , , , ,315150000,YE
 , , ,A1, , ,소요군검수,해병,20161215,001,1,6000002696,***,0001,음향제작장비 등 4품목 제작설치,MW,000000001,140135740, ,MW201644570A001, , , , ,140135740,YE
 , , ,U0, , ,소요군검수,해군,20171231,001,70496,6000019841,001,0000,취사용 액화석유가스,MP,000000000,766, ,MP201643451A001, , , , ,53999936,KG
 , , ,U0, , ,소요군검수,해군,20171231,001,70496,6000019841,001,0000,취사용 액화석유가스,MP,000000000,766, ,MP201643451A001, , , , ,53999936,KG
 , , ,A1, , ,소요군검사,해군,20170330,001,1,6000005048,***,4940,충전키트 가압용,MP,375063223,8350000, ,MWDPEB16200125, , ,사양서, ,8350000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
 , , ,U0, , ,소요군검사,해군,20171231,001,5000,6000006579,001,1234,모듬콩조림,MP,123456789,8260, ,MP201643669A001, , ,사양서, ,41300000,EA
