입찰명,발주기관코드,발주기관,카테고리
실린더라이너 등 19종,SDQ,해군제2수리창,미분류
박판금속제 등 7종,SDQ,해군제2수리창,미분류
후방카메라 설치 납품,LKM,제2632부대,미분류
접톱 등 14종,SFD,제9227부대,미분류
방송장비 설치/납품,LHR,육군 제37보병사단,미분류
동계작전 대비 보온대 구매,LHN,제7보병사단,미분류
테이프 크리너 등 37종,SDQ,해군제2수리창,미분류
00부대 창설사업 테라조 구매(16-215),LGT,제2307부대,미분류
무인 수납 영수증 발급기 구매,UMM,국군재정관리단,미분류
T-01 박닥재 3세트,SCH,해군작전사령부,미분류
컷터칼 등 38종,SDL,재경근무지원대대,미분류
심폐소생술 마네킹 및 응급처치킷 구매,LHR,육군 제37보병사단,미분류
기가폰 구매,LHR,육군 제37보병사단,미분류
복사용지 등 56종 구매,SCR,해군제3함대사령부,미분류
유한락스 등 45품목,SFH,제9196부대,미분류
고성능 액체크로마토그래피 구매,UMM,국군재정관리단,미분류
물류취급물자(자바라 컨베이어) 구매,LKP,5군수지원사령부,미분류
출입통제체계 구축사업 통합리스,UMM,국군재정관리단,미분류
00부대 잠수장비 구매,LMH,제7군단,미분류
물류취급물자(핸드카트) 구매,LKP,5군수지원사령부,미분류
물류취급물자(롤테이너) 구매,LKP,5군수지원사령부,미분류
물류취급물자(안전계단형 사다리) 구매,LKP,5군수지원사령부,미분류
물류취급물자(경량랙) 구매,LKP,5군수지원사령부,미분류
마이크로웨이브 신시사이저 구매,HCF,공군군수사령부,미분류
크롬 1종,SDQ,해군제2수리창,미분류
씰교환키트,SDQ,해군제2수리창,미분류
"박판,금속제 등 11종",SDQ,해군제2수리창,미분류
볼펜 등 90종,SDQ,해군제2수리창,미분류
런닝머신 등 214종 구매,SCR,해군제3함대사령부,미분류
물자취급 장비(롤테이너 등 5개 품목),LPC,제25보병사단,미분류
'16년 모바일 홍보 제작장비 구매/납품,LCG,육군본부,미분류
무선 아이피스 등 2종 구매설치납품,MCS,국방부계룡대근무지원단,미분류
동계작전대비 보온대 구매,LHG,제1862부대,미분류
HP Indigo7800잉크등 17종 구매,UAC,국방출판지원단,미분류
'16년 물자취급 장비 구매(롤테이너 등 5종),LPH,제2167부대,미분류
물류취급물자(롤테이너 등 5종) 구매,LMS,제7789부대,미분류
물류취급물자(파레트 등 2종) 구매,LMS,제7789부대,미분류
둥근 향나무 등 8종,SFD,제9227부대,미분류
스킨코튼 플러스 등 125종 구매,MCS,국방부계룡대근무지원단,미분류
탄약고 CCTV 설치 납품,LPC,제25보병사단,미분류
00부대 응급처치물자 구매,LDC,육군과학화전투훈련단,미분류
"기가폰, 이동용 앰프 구매",LMN,제6955부대,미분류
중형굴삭기 습지트랙 구매,LGS,육군 제8군단,미분류
물자취급 장비 5종 구매,LMN,제6955부대,미분류
동계대비 보온팩 구매,LHD,제21보병사단,미분류
자운대/B1지역 교환기 교체사업 통합리스,UMM,국군재정관리단,미분류
"수목(쥐똥나무/9,260주) 구매",MCS,국방부계룡대근무지원단,미분류
소토사등 3품목,SFC,제9691부대,미분류
복사용지 등 7종,SCN,제7001부대,미분류
야외용 벤치테이블,SFG,제9181부대,미분류
롤테이너 등 5종 물품 구매,LHR,육군 제37보병사단,미분류
포스트잇 팝업 등 14종,SCG,해군본부,미분류
"교보재 제작비(무릎,팔꿈치 보호대 세트, 태권도매트)",LFH,육군부사관학교,미분류
전자신호봉 등 3종,SFD,제9227부대,미분류
라미네이터 등 8종,SFD,제9227부대,미분류
탁구대 등 3종 구매,SCP,제8385부대,미분류
전투지휘훈련장 사무비품 33종 구매,LPM,제9보병사단사령부,미분류
발전기 등 2종,SCH,해군작전사령부,미분류
물류창고 관리 물품구매(롤테이너 등 5개),LKM,제2632부대,미분류
원판정리대 등 3종,SCH,해군작전사령부,미분류
조경용 퇴비 등 30품목,SFC,제9691부대,미분류
백단화 등 3종,SCF,해군군수사령부,미분류
00함 선체(하우스) 청락/도장 용역,SCF,해군군수사령부,미분류
00부대 풋살경기장 인조잔디 설치납품,LGS,육군 제8군단,미분류
후가공 2종 제작/구매,UAC,국방출판지원단,미분류
국방컨벤션 웨딩 꽃장식/부케 설치납품,MCN,국방부근무지원단,미분류
복사용지 750box 구매,SCP,제8385부대,미분류
컴포트 그립장갑 등 93종,SCG,해군본부,미분류
화면전시체계 보강사업 설치납품,LHM,제15보병사단,미분류
"복사용지 1,670박스",SCH,해군작전사령부,미분류
안전모 등 33종,SCH,해군작전사령부,미분류
토너 등 56종,SCG,해군본부,미분류
전투지휘훈련 브리핑장비 설치 납품(긴급공고),MBB,육군전투지휘훈련단,미분류
"조경석 현무암부정형판석(6,708개)구매납품",MCS,국방부계룡대근무지원단,미분류
스텐 옥외보안등 외 11종 구매,MCS,국방부계룡대근무지원단,미분류
원격교육 체계구축 사업 통합리스,UMM,국군재정관리단,미분류
예복 허리휘장 등 27종 구매,MDW,국군간호사관학교,미분류
강릉 및 원주지역 부대 T-11 표준 파렛트 구매,LGP,제1군수지원사령부,미분류
춘천 및 인제지역 부대 T-11 표준파렛트 구매,LGP,제1군수지원사령부,미분류
원형톱 1개,SCH,해군작전사령부,미분류
전시관 내부 안내판 제작 및 설치,SCI,제9121부대,미분류
산업용 장갑 등 30종 구매,SCR,해군제3함대사령부,미분류
00지역 ATCIS SSD 장비 구매,LPG,제5보병사단,미분류
PP 제본표지 등 61종,SCG,해군본부,미분류
니퍼 등 56종,SCG,해군본부,미분류
메모보드판 등 104종,SCG,해군본부,미분류
복사용지 등 3종 구매,SCP,제8385부대,미분류
오늘의해병대 코너 제작/설치,SFC,제9691부대,미분류
빔프로젝터 구매,SCN,제7001부대,미분류
"센서,촉각반응용 등 5종",SDQ,해군제2수리창,미분류
`16년 정보자원 증설사업(구매),MCJ,국방통합데이터센터,미분류
00지역(연천) 송풍기 구매,LPG,제5보병사단,미분류
화장대 등 5품목 구매,SFL,제3283부대,미분류
코팅기 등 33종,SCN,제7001부대,미분류
작업용 장갑 등 8 종,SDG,제2002부대,미분류
당구대 4EA,SCN,제7001부대,미분류
멀티크리너 등 47종,SCG,해군본부,미분류
항-16-077 생화학분석기 기약 등 31종,HCL,공군사관학교,미분류
OO부대 인조잔디 설치 납품,LQG,육군 52보병사단,미분류
총기이동식 거치대 32EA,SCN,제7001부대,미분류
00부대 녹음용 전화기 구매,LKM,제2632부대,미분류
문서보존상자 등 77종,SCG,해군본부,미분류
복사용지 등 78종,SCG,해군본부,미분류
중형굴삭기 반자동 크러셔 설치납품,LNG,육군 제1군단,미분류
시그마 매트 등 18종,SCN,제7001부대,미분류
"센서,촉각반응용 등 5종",SDQ,해군제2수리창,미분류
핸드파렛트 트럭 등 3종,SDQ,해군제2수리창,미분류
면장갑 등 5종,SDQ,해군제2수리창,미분류
전기연장선 등 60종 구매,SCR,해군제3함대사령부,미분류
'16년 00망 정보보호체계 구매 설치,SCQ,제9911부대,미분류
재경학습관 전자제품 구매설치,MCR,국방대학교,미분류
광망 제설용 송풍기 구매,LHN,제7보병사단,미분류
어린이집 전자제품 구매(청소기 등 33종),SDL,재경근무지원대대,미분류
00부대 보온대 구매,LDC,육군과학화전투훈련단,미분류
00부대 동계 물품 구매,LDC,육군과학화전투훈련단,미분류
정보체계용품 SSD 구매,LMH,제7군단,미분류
(16-189) ㄱ앵글 등 24품목,HDN,공군제18전투비행단,미분류
제설용 송풍기 구매,LHG,제1862부대,미분류
00지역(연천) 롤테이너 등 5종 구매,LPG,제5보병사단,미분류
17년 영업배상보험 및 캐디근재보험,UAB,국군복지단,미분류
반조봉 등 5종 구매,LCG,육군본부,미분류
"리드선 조립체, 전기용 100EA 구매",SCI,제9121부대,미분류
문서보존상자 등 98종,SCG,해군본부,미분류
복사용지 등 111종,SCG,해군본부,미분류
복사용지 등 11종 구매,SCP,제8385부대,미분류
칸막이 진열장 등 2종 제작 납품,SCH,해군작전사령부,미분류
3KW 발전기 등 3품목 구매(16-283호),SFC,제9691부대,미분류
영내 설치용 태양광가로등 구매,LPM,제9보병사단사령부,미분류
철판 등 9종,SCN,제7001부대,미분류
벙커레이크 등 6종,SCN,제7001부대,미분류
적외선 IP카메라 등 4종,SFD,제9227부대,미분류
LCD전용카피홀더 등 75품목(16-376호),SFC,제9691부대,미분류
제설용 송풍기 구매,LHD,제21보병사단,미분류
GPS 전파교란 탐지시스템 보안장치 구매사업,MDF,국군지휘통신사령부,미분류
NVR(16CH) 등 6품목(16-364호),SFC,제9691부대,미분류
복사용지 84품목(16-388),SFC,제9691부대,미분류
황봉투 등 32품목(16-394호),SFC,제9691부대,미분류
복사용지 등 48품목(16-373호),SFC,제9691부대,미분류
파렛트 구매,LHN,제7보병사단,미분류
어린이집 주방용품 구매(수저통 등 88종),SDL,재경근무지원대대,미분류
장식장 등 2종 구매,UAZ,합동군사대학교,미분류
밥솥 등 2종 구매,UAZ,합동군사대학교,미분류
화이트보드 등 154종,SFD,제9227부대,미분류
바운더리 마이크 등 39품목 구매,SFC,제9691부대,미분류
복사용지 등 141품목 구매,SFL,제3283부대,미분류
스테플러 등 112품목 (16-282호),SFC,제9691부대,미분류
DC11C6550/Toner Black 등 11품목 구매(16-357호),SFC,제9691부대,미분류
PLOTTER Paper 등 8종(16-358호),SFC,제9691부대,미분류
전자레인지 등 5품목(16-375호),SFC,제9691부대,미분류
재투자 정보통신운영용품 구매(16종),LKM,제2632부대,미분류
넥게이터 등 5종,SCH,해군작전사령부,미분류
재단기 등 2종,SCF,해군군수사령부,미분류
전기온수기,SCF,해군군수사령부,미분류
SSD장비 구매,LMG,제6군단사령부,미분류
정보체계운영용품 2차 구매,LMN,제6955부대,미분류
비디오월(DID) 구축사업,UMM,국군재정관리단,미분류
더블에이 복사지등 46품목(근-16-188),HDT,공군작사근무지원단,미분류
반코팅 장갑 구매,SFM,제3170부대,미분류
제설용 송풍기 구매,LHM,제15보병사단,미분류
형광등 등 57종,SFG,제9181부대,미분류
전동꺼꾸리,SFG,제9181부대,미분류
볼펜심 등 54종,SCG,해군본부,미분류
멀티텝 등 85종,SCG,해군본부,미분류
무선마우스 등 47종,SCH,해군작전사령부,미분류
전기튀김기 등 6종 구매,SCP,제8385부대,미분류
제본용 스테플 등 109종,SCG,해군본부,미분류
클립온 멀티펜 등 56종,SCG,해군본부,미분류
신병노트 등 3품목 구매,SFL,제3283부대,미분류
"바,금속제 등 15종",SDQ,해군제2수리창,미분류
오일 씰 인넷 등 279종,HCF,공군군수사령부,미분류
청소기 등 00 종 구매,LCP,육군항공사령부,미분류
조달(수리)요구서(16-871)[정통]광 점퍼코드 등 48종,HCQ,공군제5공중기동비행단,미분류
16년 취사식당 냉난방기 설치납품,LPD,제6276부대,미분류
69톤 트렉타 구매,UMM,국군재정관리단,미분류
VGA Extender 등 64종,SCN,제7001부대,미분류
TV 등 51종 구매,MDR,제9965부대,미분류
16년 ICT기반 교실 구축사업 리스,UMM,국군재정관리단,미분류
수첩케이스 제작/구매,UAC,국방출판지원단,미분류
냉장고 등 9종,SDF,제5738부대,미분류
2016년 내향성발톱 교정재료 구매,MDG,국군의무사령부,미분류
7162부대 전술도로 가림막 자재구매,LHD,제21보병사단,미분류
열선 등 33종 구매,SDG,제2002부대,미분류
코팅기 등 2종 구매,SFM,제3170부대,미분류
EPSON 카트리지 등 38종,SCG,해군본부,미분류
흡착포 등 10종,SCG,해군본부,미분류
"박판,금속제 등 15종",SDQ,해군제2수리창,미분류
면장갑 등 39종,SDQ,해군제2수리창,미분류
"클락 스프링 등 27항목 구매(해파, 기장)",LCF,육군군수사령부,미분류
'17년 음식물폐기물 처리 용역,MDD,국군수도병원,미분류
샤워기호스 등 837종,SDF,제5738부대,미분류
파병부대 운동화 구매,LMS,제7789부대,미분류
방한장갑 구매,LCH,특수전사령부,미분류
포토용지 등 72종 구매,SCP,제8385부대,미분류
원형 접착 보드롱 등 58종,SCG,해군본부,미분류
제트스트림 볼펜 등 126종,SCG,해군본부,미분류
중형굴삭기 부수기재(고정식크라샤) 구매,LML,제3공병여단,미분류
리무버 등 219종,SCU,해군 기동함대사령부,미분류
등기구 등 13종 구매,SDG,제2002부대,미분류
훈련장 피해복구 물품 16종 구매,LNG,육군 제1군단,미분류
믹서기 등 9종 구매,SCQ,제9911부대,미분류
청소기 등 6종 구매,SCQ,제9911부대,미분류
16-292 콤보벤치 등 21종,HCL,공군사관학교,미분류
족구화 등 14항목 구매(물자),LCF,육군군수사령부,미분류
탄약고 화재 기호판 구매,LHR,육군 제37보병사단,미분류
00대대 지휘통제실 화면전시체계 보강 설치납품,LNF,제1보병사단,미분류
방탄복 구매,SFL,제3283부대,미분류
강선용 압착뺀치 등 59종,SFG,제9181부대,미분류
비디오 코덱 등 34종 구매,SDG,제2002부대,미분류
점보롤화장지 등 15종,SCH,해군작전사령부,미분류
사각 테이블 10개,SCH,해군작전사령부,미분류
베트남전투사발간,SFC,제9691부대,미분류
베트남전투사발간,SFC,제9691부대,미분류
볼펜 등 78종 구매,SCR,해군제3함대사령부,미분류
16-해-격납고 주파수변환기 구매,SCR,해군제3함대사령부,미분류
DOWN CONVERTER 등 5종 구매,SCR,해군제3함대사령부,미분류
대변기스퍼트 등 77종 구매,SCQ,제9911부대,미분류
지지목 등 40종 구매,SCQ,제9911부대,미분류
냉난방기 설치납품(68대),LNT,제28보병사단,미분류
디지털 매니폴드 게이지 등 62종 구매,HCF,공군군수사령부,미분류
중형굴삭기 크라샤 구매(16-220),LMK,제6보병사단,미분류
4분기 정보체계운영예산 구매,LKQ,육군항공학교,미분류
지휘통제실 화면전시체계 보강장비 구매설치,LNQ,제17보병사단,미분류
Y자형 꽂이 등 355품목,SFH,제9196부대,미분류
OO지역 IP전화통신망 구축사업(리스물건),UAC,국방출판지원단,미분류
취사장 주방용 소화기 구매,LMN,제6955부대,미분류
해안경계 통합시스템 구축사업 리스,UMM,국군재정관리단,미분류
재생토너 등 7종,SCH,해군작전사령부,미분류
디지털 카메라 시스템 1SET,SCK,해군교육사령부,미분류
EPSON 잉크 등 41종,SCG,해군본부,미분류
펀치 등 41종,SCN,제7001부대,미분류
전자순찰시계 등 3종 구매,SCR,해군제3함대사령부,미분류
항-16-075 황사마스크 KF80,HCL,공군사관학교,미분류
톤마대 구매,SFM,제3170부대,미분류
복사용지 등 11종,SDL,재경근무지원대대,미분류
위성관제대대 앰프시스템 구매사업,MDF,국군지휘통신사령부,미분류
펀치 등 115종 구매,SCQ,제9911부대,미분류
이동용 무선 수신기 등 10종,SCH,해군작전사령부,미분류
물류관리라벨 등 512종,SCH,해군작전사령부,미분류
HDD복사기 등 12종 구매 설치,MCS,국방부계룡대근무지원단,미분류
탁구대 등 7종 구매,SFM,제3170부대,미분류
냉난방기 등 4종,SFD,제9227부대,미분류
00부대개편사업 관급자재(크레인) 설치납품,LNM,제5181부대,미분류
16-275 재생토너 등 16종,HCL,공군사관학교,미분류
플루드 라이트 세트 구매,HDK,공군제11전투비행단,미분류
과학수사 감정장비 구매(수욕조 등 4건),NIT,국방부조사본부,미분류
8759부대 등 2개소 자재구매,LHD,제21보병사단,미분류
16년 상황전시체계 개선사업,UMM,국군재정관리단,미분류
배구부 운동용품(배구공 등 7품목),MCT,국군체육부대,미분류
종목별 운동용품 구매(핸드볼 등 3개부서),MCT,국군체육부대,미분류
정압게이지 등 7종 설치납품,MCN,국방부근무지원단,미분류
CLT-K508L(검정) 등 62항목 구매(물자),LCF,육군군수사령부,미분류
철수세미 등 41종 구매,SCQ,제9911부대,미분류
방풍비닐 등 14종,SFG,제9181부대,미분류
섹션 펜꽃이 등 309종,SCH,해군작전사령부,미분류
컬러정부화일 등 278종 구매,SCQ,제9911부대,미분류
전기온풍기 등 3종 구매,SDG,제2002부대,미분류
4/4분기 정보화 물품 구매,LKS,육군인사사령부,미분류
스테플러 등 150종,SCG,해군본부,미분류
디지털 온습도계 등 62종,SCG,해군본부,미분류
가로방비 세트 등 123종,SCG,해군본부,미분류
냉난방기 구매 설치(연평도 납품),SFN,연평부대,미분류
흑색잉크 외 18종 (16-136),HFD,공군제38전투비행전대,미분류
열화상카메라 등 3종 구매,SCQ,제9911부대,미분류
그레이트스파이더체인 2종 구매,SCQ,제9911부대,미분류
갈퀴 등 9종 구매,SCQ,제9911부대,미분류
유성펜 등 301종 구매,SCQ,제9911부대,미분류
신호용 호각 등 4종,SCH,해군작전사령부,미분류
00부대  20톤 회전식 크라샤 구매,LHM,제15보병사단,미분류
유류시험 기자재 구매,LPN,수도군단,미분류
폼업 등 118종 구매,SCL,해군사관학교,미분류
탐조등 5EA,SCF,해군군수사령부,미분류
OO CBT 하드웨어 및 SW 구매/설치,HFK,제1방공유도탄여단,미분류
16년 화면전시체계 개선 자재 설치납품,LMP,제3보병사단,미분류
기계공작 및 용접장비(밀링머신 등 6종) 구매,UMM,국군재정관리단,미분류
‘16년 후반기 전장관리체계 운영용품구매,UMM,국군재정관리단,미분류
복지정보체계 장비교체사업 리스,UMM,국군재정관리단,미분류
표준파렛트 구매,LKP,5군수지원사령부,미분류
섬유유연제 등 4종 구매,SFM,제3170부대,미분류
00지역 탄약고 경계 CCTV 설치납품,LNG,육군 제1군단,미분류
트위스트 등 33종 구매,SCI,제9121부대,미분류
켄트 샥클 등 32종 구매,SCI,제9121부대,미분류
가습기 40EA 구매,SCI,제9121부대,미분류
서보모터 등 5종,SDQ,해군제2수리창,미분류
마사토 등 2종,SCN,제7001부대,미분류
뉴젤 청정기 등 2종,SCF,해군군수사령부,미분류
형광램프 외 36종 구매,MCS,국방부계룡대근무지원단,미분류
특수수사장비세트 구매,LCG,육군본부,미분류
빅데이터  악성코드  백업시스템 체계 구축,UMM,국군재정관리단,미분류
00부대 상황전시장비 교체사업,UMM,국군재정관리단,미분류
NVR 등 68품목,SFH,제9196부대,미분류
매립형 XLR 커넥터 등 111종,SFD,제9227부대,미분류
FILTER PAPER 등 29품목,HCC,해군제1수리창,미분류
북스탠드 등 104종,SCK,해군교육사령부,미분류
레자크봉투 등 100종,SCG,해군본부,미분류
스테플러 등 77종,SCG,해군본부,미분류
복사용지 등 269종 구매,SCR,해군제3함대사령부,미분류
상판접이식테이블 등 1145종,SCN,제7001부대,미분류
ESH100-12 등 13종 구매,SCN,제7001부대,미분류
거상형 휠체어 등 17종,SCN,제7001부대,미분류
방탄판 구매,SCN,제7001부대,미분류
조경용 고형비료 등 20종 구매,SCN,제7001부대,미분류
광견병 백신 등 8품목,LCF,육군군수사령부,미분류
케토코나졸 등 79품목,LCF,육군군수사령부,미분류
항-16-071 약품수납장A 등 26종,HCL,공군사관학교,미분류
램프 등 71종,SDL,재경근무지원대대,미분류
팬모타 등 81품목,HCC,해군제1수리창,미분류
일체형바벨세트 등 16품목,SFH,제9196부대,미분류
니콜스타트 등 22품목,SFH,제9196부대,미분류
정보체계 백업시스템 구축,UMM,국군재정관리단,미분류
에어캡 완충제 등 55종,SDF,제5738부대,미분류
Filter Paper 등 70종,SDF,제5738부대,미분류
GNSS 측량장비 구매,LQR,국방지형정보단,미분류
독서카페 설치 자재 구매,LPG,제5보병사단,미분류
"내부 공기청정기 등 10항목 구매(해파, 기장)",LCF,육군군수사령부,미분류
맥그립 줄자 등 81품목,HCC,해군제1수리창,미분류
SSO Agent(TouchEn Wiseaccess)  SW 1개,SCH,해군작전사령부,미분류
현황판 등 15종 구매 설치,SCP,제8385부대,미분류
홀캇타 등 16종 구매,SFM,제3170부대,미분류
샴푸 등 39종 구매,SDG,제2002부대,미분류
안내표지판 등 25종,SCH,해군작전사령부,미분류
널빤지 등 6품목 구매,SFL,제3283부대,미분류
메티오졸린등6품목 구매,SFC,제9691부대,미분류
랜턴 등 90품목 구매,SFL,제3283부대,미분류
이발가운 구매,SFL,제3283부대,미분류
점보롤화장지 등 121종 구매,SCR,해군제3함대사령부,미분류
배구부 운동용품(테이프 등),MCT,국군체육부대,미분류
스포츠타울 등 9품목 구매,SFC,제9691부대,미분류
번호식 도어락 구매 설치(연평도 납품),SFN,연평부대,미분류
스미스머신 등 14품목 구매,SEE,제9해병여단,미분류
봉합재 키트,SDQ,해군제2수리창,미분류
출입통제기 등 5종 구매,SCN,제7001부대,미분류
안전마루(수심조절기) 38개 구매,SCL,해군사관학교,미분류
베벨 피니언 1종,SCF,해군군수사령부,미분류
정통대대 토너(검은색) 등 44종(16-336),HDF,공군 제8전투비행단,미분류
00부대 등 13개소 표준파렛트 구매,LPH,제2167부대,미분류
00부대 대형전시체계보강 물품구매,LMH,제7군단,미분류
빔 프로젝트 램프 등 8종 구매,LGD,육군종합행정학교,미분류
영외관사 인터폰 구매 설치,HDK,공군제11전투비행단,미분류
20톤 반자동 회전식 크라샤 구매,LPG,제5보병사단,미분류
16년 CBT교실 구축사업(리스물건),UMM,국군재정관리단,미분류
후가공 3종 제작/구매,UAC,국방출판지원단,미분류
이동식 럭비골대 설치납품,MCT,국군체육부대,미분류
지우개 등 60종,SCK,해군교육사령부,미분류
배드민턴 지주대 3SET,SCK,해군교육사령부,미분류
면장갑 등 877종,SFG,제9181부대,미분류
(16-398)군공항사용분담금(할로겐 램프),HDM,공군제17전투비행단,미분류
수기 등 25종,SFD,제9227부대,미분류
납덩이 등 2종,SCF,해군군수사령부,미분류
전기주전자 등 19종,SFD,제9227부대,미분류
블랙박스 등 2종 구매,SCN,제7001부대,미분류
16-267 무선수신기 등 4종,HCL,공군사관학교,미분류
360도 장거리 스피커등 6종 설치 납품,MCS,국방부계룡대근무지원단,미분류
가로등 램프 등 3종,SCH,해군작전사령부,미분류
저장매체소거장비 1개,SCH,해군작전사령부,미분류
바인더 등 247종 구매,SCP,제8385부대,미분류
흑백 레이저토너 등 75종,SCG,해군본부,미분류
비닐봉투 등 56종,SCG,해군본부,미분류
복사용지 등 67종,SCK,해군교육사령부,미분류
샤프 등 321종 구매,SCQ,제9911부대,미분류
수중청소기 설치납품,MCS,국방부계룡대근무지원단,미분류
플러스펜 등 322종,SCK,해군교육사령부,미분류
부직포가방 등 2종,SCK,해군교육사령부,미분류
군용레포트화일 등 181품목 구매,SFC,제9691부대,미분류
3D 커브가위 등 48종,SCK,해군교육사령부,미분류
특전조끼 등 2품목 구매,SFL,제3283부대,미분류
코팅기 등 18품목 구매,SFC,제9691부대,미분류
중형굴삭기 부수기재(크랴샤) 구매,LNT,제28보병사단,미분류
군수처 표준파렛트 물품 구매,LKM,제2632부대,미분류
대형임팩거치대 등 5품목 구매,SFC,제9691부대,미분류
디지털케비넷 등 2품목 구매,SFC,제9691부대,미분류
17년 간부 업무용 수첩제작,MDF,국군지휘통신사령부,미분류
축구공 등 45종,SCU,해군 기동함대사령부,미분류
잉크 등 93종,SCF,해군군수사령부,미분류
실린더 라이너 등 62종,SDQ,해군제2수리창,미분류
실린더 라이너 등 62종,SDQ,해군제2수리창,미분류
스파이더직접회로 등 39항목 구매(물품),LCF,육군군수사령부,미분류
조달-방-16-64 안전경고문 표지판,HDS,공군미사일방어사령부,미분류
"창, 관찰용 등 8항목 구매(궤도)",LCF,육군군수사령부,미분류
신교대대 백호강당 냉난방기 설치납품,LGQ,제36보병사단,미분류
사철둥근양장 제작/구매,UAC,국방출판지원단,미분류
코너철 등 46종,SCH,해군작전사령부,미분류
앰범 등 113종,SCH,해군작전사령부,미분류
원격단말기 구매(16-299호),SFC,제9691부대,미분류
와이퍼올 와이퍼 등 31종 구매,SCR,해군제3함대사령부,미분류
생활하수탱크압력형 전송기 등 3종 구매,SCR,해군제3함대사령부,미분류
컷터날 등 65종,SCG,해군본부,미분류
물티슈 등 126품목 구매,SFL,제3283부대,미분류
압축기(FX5) 1종,SCF,해군군수사령부,미분류
취사장 에어컨 구매(자산취득비),LFP,육군보병학교,미분류
포스트잇노트 등 40종,SDL,재경근무지원대대,미분류
특수훈련시스템 교체사업 구매설치 리스,UMM,국군재정관리단,미분류
0000시스템 교체 리스,UMM,국군재정관리단,미분류
00부대 대형전시체계 구매설치,UMM,국군재정관리단,미분류
00지역 음향/영상장비 연동구매설치 사업,UMM,국군재정관리단,미분류
블랙박스 등 17종 구매,SCI,제9121부대,미분류
지진 공중음파 감시시스템 구축사업,MFL,합동참모본부,미분류
케이엠시프겔 등 94종 구매,SCR,해군제3함대사령부,미분류
냉장고 등 7종 구매,SCR,해군제3함대사령부,미분류
CO2 WIRE 등 16종 구매,SCQ,제9911부대,미분류
작전용 장갑 등 14종 구매,SCN,제7001부대,미분류
탄약정비용 전자스텐실기 등 7종 구매,LDG,육군 탄약지원사령부,미분류
HDMI 매트릭스 등 4종 설치납품,LPF,제51보병사단,미분류
정통대대 화상카메라 등 16종(16-328),HDF,공군 제8전투비행단,미분류
화이트보드 지우개 등 137종,SDF,제5738부대,미분류
"오븐, 실험실용(건조기)",SDF,제5738부대,미분류
'16년 군수부대 창고 중량물 저장대(팔레트랙),LPH,제2167부대,미분류
포스트잇 등 565종 구매,SCP,제8385부대,미분류
스덴장닛블(32A) 외 69종 (16-124),HFD,공군제38전투비행전대,미분류
접착필름 등 33종 구매,SCP,제8385부대,미분류
정전기 방지 장갑 등 8종 구매,SCI,제9121부대,미분류
기어풀러 등 470종 구매,SCQ,제9911부대,미분류
스카치 매직테이프 등 74종,SCG,해군본부,미분류
복사용지 등 456종,SCU,해군 기동함대사령부,미분류
153볼펜 등 217종,SDQ,해군제2수리창,미분류
SSD 등 11종,SFG,제9181부대,미분류
아령정리대 등 9종,SFG,제9181부대,미분류
구리양극봉 등 6종,SDQ,해군제2수리창,미분류
153볼펜 등 217종,SDQ,해군제2수리창,미분류
판석 등 3종 구매,SCQ,제9911부대,미분류
x 선관 튜브 1 항목 구매(물품),LCF,육군군수사령부,미분류
00학교 교과서(진단적 검사와 간호 등7종) 구매,MDW,국군간호사관학교,미분류
