,Freq
요거트푸딩,10
아세틸렌 공업용,10
제동기 조립체,10
짜먹는발효유,10
감자수제비,10
과채주스,10
예비군 도시락,10
고압호스(전차),10
허브 드럼류,10
수산화리튬카트리지,10
고정자조립체  교차구동용  변속기용,10
떡볶이떡,10
쉘터 비전개식(1 1/4톤),10
M48전차용 실린더 헤드,10
쌈무,10
깐메추리알,10
생우동,10
팩형 아이스크림,10
베어링류,10
궤도장비 방열기,10
분광계용 표준오일,10
비타민음료,10
자주포 유압장치 부품류,10
워터젤리,10
단호박샐러드,10
지뢰탐지기 부품(구매),10
인체제독용 물자세트,10
진단키트 생물학무기용,10
오링 및 패킹류,10
핫도그,10
궤도장비부품류,10
치즈스틱,10
펌프 및 발전기 부품류,10
LPG가스,10
땅콩조림,10
돈까스(3지역),9
돈까스(4지역),9
고압호스류,9
취사연료(LPG),9
청국장(단기저장성),9
통신장비 탑재차(1/4톤),9
짬뽕양념장,9
밸브류,9
민수용 짚,9
K9자주포 궤도 고무제거 정비,9
단안형야간투시경,9
방열기  난방용,9
항공기 급유차(5 000 G/L),9
개인용 특수천막(특전사용),9
K계열 기동궤도부품류,9
10톤 상용구난차,9
수입지 및 수입포,9
까나리액젓,9
하우징  속도조정기용,9
터빈용윤활유,9
VRC-946K장치대부품(구매),9
섀클류(전차용),9
버팔로치킨윙,9
노즐 홀다,9
헬멧부속재,9
삼계탕한방재료,9
전차용 표적 및 표적꽂이,9
포도주스,9
냉면육수,9
가락국수(3지역),9
사과 주스,9
낙지젓갈,9
스파게티소스,9
자주포 일반부품류,9
굴소스,9
TA-512K부품(구매),9
엔진용윤활유,9
박격포 짐판,9
케이블조립체(차폐용),9
장갑차 부품(축 및 기어류),9
조각케익,9
알곤 공업용,9
짜먹는 발효유,9
화학탐지장비(K-CAM2)세트 수리부속(일반),9
상자/바스켓류,9
윈드실드(2510-700-5417),9
자주포 하우징류,9
피스톤  교량가설단정용,9
유압밸브류,9
순살햄,9
산악장비셋및부품,9
건사료 군견용,9
두유,9
모사전송기 1항목 구매(통신),9
프로펠러샤후트,9
스위트콘,9
특수보호의(Level A),9
유압작동유,9
K55자주포 조향장치 구매,9
바나나맛 우유,9
청국장,9
와이어로프조립체,9
자주포 밋션부품류,9
슬리브조립체,9
팔꿈치포경/조준감사기(지명),9
K-1전차 여과기류,9
케이블/배선장치류,9
냉동새우,9
터미날(축전지용),9
돈까스(1지역),9
동그랑땡,9
돈까스(2지역),9
감자튀김,9
가스켓류,8
케이블조립체(비차폐용),8
체력단련장 비료 구매,8
쌀국수비빔면,8
부품키트  소화기용,8
가락국수(1지역),8
액화석유가스(LPG),8
케이블조립체(통신장비용),8
이동형 자동기상관측장비,8
자장면(4지역),8
조음기,8
PRC-96K부품(구매),8
크러치디스크(전차),8
운고측정장비,8
장갑차 부품류,8
다목적 전술차량 유지부품(K532),8
고무밴드조립체,8
안테나조립체(AS-992K)및부품,8
가열기 조립체류,8
된장,8
만두(포자형),8
생물학정찰차 탐지물자,8
덮개  사령관 지휘소 지붕용,8
궤도부품류(구매),8
궤도장비 씨트류,8
드럼 수송저장용(공드럼(신관)),8
콘형 아이스크림,8
컵형 아이스크림,8
프리히터,8
M48전차 연결봉 피스톤용 정비,8
실린더조립체(궤도용),8
광학장비부품류,8
스위치류,8
유수분리기,8
수온 기록계,8
콩기름,8
생과일바,8
기뢰정비장비용 전지조립체,8
자주포 베어링류,8
활주로 진공청소차,8
로드휠조립체(BV-206),8
샌드형 아이스크림,8
디지털무늬 원단(IR),8
서보밸브 유압식 등 2항목 구매(궤도),8
초콜릿,8
자장면(1지역),8
궤도장비 기어류,8
크림파스타소스,8
타이어 공기압식 차량용,8
소보루빵,8
자주포 운영용 수리부속류,8
트럭  수송용(81mm박격포-II용 후속),8
클렘프류,8
고추참치통조림(4지역),8
탱크조립체 및 부품,8
마카로니,8
생강분말,8
암조립체류,8
당면(4 지역),8
K55자주포 부품키트 구매,8
아이스크림,8
항공기 주유호스,8
질소 공업용,8
가락국수(4지역),8
대포병탐지레이터-II 관급장비(쉘터 2종),8
MTU엔진 일반부품,8
황태채무침(경쟁),8
시동기,8
황태찜(경쟁),8
무말랭이무침,8
매실농축액,8
마늘장아찌,8
액화석유가스(LPG) 벌크/용기 구매,8
자주포 포탑부품류,8
자장면(2지역),8
해쉬포테이토,8
씰조립체,8
취사연료,8
씻어나온쌀,8
도서 유류 구매,8
K계열 전차 부품류(구매),8
상륙돌격장갑차 유지부품,8
절단꽃게,8
가락국수(2지역),8
냉동유부슬라이스,8
회로카드 조립체 1종,8
격발장치부품류,8
군위성통신체계부품(구매),8
통합전화기,8
브레이크액,8
추어탕,8
가스취사세트 및 구성품,7
자장면(3지역),7
산악용 로프류,7
연막탄발사기 부품류,7
순찰승용차 1 600cc 제조,7
하계 디지털무늬 원단(IR),7
TICN용 2차전지 모듈,7
브레이크밴드류(전차  장갑차용),7
모짜렐라치즈,7
타이어체인,7
송풍기 원심식 외주정비,7
자주포 프로펠라 샤후트류,7
기어용윤활유,7
K55자주포 매트 구매,7
PZF-3축사기(대전차로켓탄용),7
계전기 및 배선장치류,7
반자동식부교 부품(제조),7
전지 축전식(BB-7184K),7
K1전차 회로카드조립체 구매,7
모듬해물,7
¼톤 통신장비 탑재차,7
데리야끼소스,7
골뱅이통조림(1지역),7
창란젓갈,7
장비 일반고무제품류,7
GRC-512K부품(제조),7
카스타드,7
골뱅이통조림(2지역),7
후레쉬베리,7
고추참치통조림(1지역),7
필터류(차량  전차),7
LPG 가스,7
함박스테이크,7
꼴뚜기젓갈,7
골뱅이통조림(4지역),7
K계열 궤도장비 유압장치 부품류(구매),7
생선까스,7
치킨너겟,7
니카드전지(함포용),7
회로카드 조립체 등 2종 구매,7
탕수육,7
헬륨가스 구매,7
냉동날치알,7
골뱅이통조림(3지역),7
빵,7
나사류(궤도장비용 등),7
화학자동경보기 수리부속(일반),7
플렌지류,7
견과류,7
장유류,7
3사 생도피복,7
콩나물,7
오리엔탈드레싱,7
햄슬라이스경쟁(4지역),7
사계용 전투복 원단,7
스페이서류(제조 일반),7
하계용 전투복 원단,7
MTU 엔진부품(구매),7
그리스,7
장비커버류(기동 총포 통신),7
최종구동장치조립체류,7
무청시래기,7
토마토케첩,7
안경 방독면(K1)용,7
식관,7
특수작전식량,7
고추장,7
도시락(1권역),7
함정용안테나부품(구매),7
송수화기(H-930K),7
AM무전기부품(구매),7
항공기견인차(4천파운드),7
자주포 엔진부품류,7
마스터휠실린더,7
(화공) 하론소화약제가스 구매,7
멸균흰우유 등 5종 구매,7
기어조립체 감속기용(자주포류),7
아이스크림 콘형,7
탐지기  풍향 및 풍속용(정비),7
아이스크림 컵형,7
LA소갈비(냉동) 등 3종 구매,7
공드럼 플러그,7
장갑전투도자 부품(구매),7
볼트 너트류(차량 전차),7
냉동피홍합,7
래커에어로졸 등 8종 구매,7
K55자주포 바퀴 구매,7
패드류,7
돈까스,7
잠수함 잠망경 헤드윈도우 정비,7
자주포 유압부품류,7
생선가스 빵가루형,7
군용 트레일러용 관성제동장치,7
명란젓갈,7
배추김치(임가공)(8지역),6
송수화기(핸드셋트류),6
일반/통신장비커버류,6
이동형 화재진압장비 구매,6
햄슬라이스경쟁(2지역),6
액화석유가스(LPG) 구매,6
장갑차 전장품류,6
햄(1지역),6
수신기-송신기 무전기용,6
고추참치통조림(2지역),6
총포 및 궤도장비 시트류,6
(긴급) 디스플레이 유닛 1종 구매,6
플랩 내측 튜브용 공기 타이어용 등 7항목 구매(기장),6
전투식량2형(3식단),6
사각어묵(냉동),6
김장김치(6지역),6
파인애플,6
비엔나소시지,6
배추김치(완제품)(4지역),6
포장순대(슬라이스),6
컵형아이스크림,6
깍두기(임가공)(7지역),6
라디에터,6
2 500G/A 유조차,6
냉동슈,6
정수장비 역세탱크조립체 등 3항목 구매(기장),6
장갑차 부품(어댑터류),6
어육가공품,6
비빔냉면(1지역),6
야전배낭,6
승무원히터(궤도차량),6
초콜렛,6
화학저항페인트,6
컵밥,6
위성전군방공경보체계부품,6
발칸 전원공급기 구매,6
암 조준구 연장대 뭉치용,6
갈색설탕,6
보리차,6
스텐판 등 57종 구매,6
발전기 회전속도계용 1종,6
소부대무전기(PRC-96K)부품류(구매),6
동원훈련용 개인천막 제조 납품,6
에너지 완충기 등 7항목 구매(항공),6
냉난방기,6
식재료,6
취사기  트레일러탑재식(800명분) 및 수리부속류,6
K55 자주포 송풍기,6
디스크휠,6
회로카드 조립체 등 3종 구매,6
장갑차 현수장치 부품(구매),6
고속단정 인양기,6
다목적굴착기 축 구매,6
동원훈련용 개인천막 제조납품,6
가열기조립체류,6
칠리소스,6
터빈연료 항공유(JP-5),6
깍두기(완제품)(6지역),6
꿀호떡,6
유공압 부품류,6
사격통제장치부품류(구매),6
진간장,6
K계열전차 포신 부품류(제조),6
전차축소사격 소총거치대 등 3종 제조,6
항공관제레이더 BTE-2000 구성품 외주정비,6
BTCS 부품 정비(일반),6
표준차 변속기 및 차축 부품,6
쫄면(1지역),6
윤형철조망 등 2종 구매,6
하론가스 구매,6
디스플레이 유닛 1종 구매,6
K9 전동기 조립체,6
요대류,6
기계식작기류,6
증폭기-조정기군 등 6종 구매,6
호이스트  체인식,6
헬기구성품(변환기) 정비,6
세탁기  트레일러탑재식,6
K77장갑차 회로카드조립체 구매,6
볶은참깨,6
충전기(PP-5K) 및 부품,6
시추공 매몰방지용 자재(PVC) 제조구매,6
K계열 전차 소화기류 정비,6
K1전차 증폭기 구매,6
동근무복상의 원단(카키색/해병),6
포장두부(1지역),6
연료탱크 캡,6
꽁치통조림,6
자장소스(3지역),6
카레소스(1지역),6
방진화,6
필터 엘리먼트  유체용 등 2종 구매,6
함정용 축,6
휠타 엘레맨트(차량 전차),6
하이힐(백색),6
Lynx 항공기 레이더용 변조기 정비,6
부력방탄복,6
여군백단화,6
수입솔류,6
어댑터 및 커플링류,6
헬멧위장포,6
연료탱크(차량용),6
기갑병헬멧부품(구매),6
궤도장비 부품류(장갑차용),6
수입봉류,6
회로카드조립체(전차 장갑차 상륙장갑차),6
광학장비부품류(구매),6
취사기  트레일러 탑재식(400명분) 및 수리부속류,6
스낵류,6
보온식관,6
아이스크림 팩형,6
카레소스(2지역),6
방열기  엔진 냉각제용,6
볼베아링,6
순두부(1지역),6
5톤 상용 유조차,6
교판(공병 보도조립체 교량용),6
생선가스,6
스파이더체계 수리부속(구매),6
연료유ㆍ윤활유 정유기,6
카레소스(3지역),6
리테이너류,6
궤도장비 부품류(기어 브래킷 등),6
다기관류,6
불고기패티 2형(1지역),6
미트볼(2지역),6
브래킷  판류,6
식탁,6
순두부(3지역),6
병기손질유(LSA),6
카레소스(4지역),6
통신박스,6
18년 LPG 구매(서울),6
깻잎장아찌,6
조종수카메라,6
케이블 조립체 특수목적용 전기용,6
K9자주포 엔진부품류(구매),6
물엿,6
발전기세트  가솔린엔진식 5KW,6
방한화,6
간장(한식간장),6
천일염,6
함포배열장비,6
물관,6
예비군 훈련 도시락 제조납품(1권역),6
전투식량2형(2식단),6
고추참치통조림(3지역),6
스파게티 소스,6
소화기멜빵류,6
꼬리곰탕,6
K277장갑차 발전기 엔진보조용 정비,6
보오스코우프 키트 구매,6
안경(일반안경플라스틱테(렌즈 테 집)),6
휠타류(중장비),6
타이어탈착기,5
카레가루,5
전시 통제기(K55 자주포용),5
60mm 박격포 부품류,5
베어링류(제조),5
자주포 축압기류,5
유류탱크(2천리터),5
뼈발골닭다리정육,5
꿔바로우,5
체력단련장 식자재(가지 등 174품목) 구매,5
파워팩 조립체 등 4항목 제조(화생방수리부속),5
정수장비부품(구매),5
비호 주전원공급기 정비,5
케이블 및 배선장치류,5
부동액 등 2종 구매,5
LA갈비,5
훈련용축사기류,5
침낭류,5
저고도레이더 부품(구매),5
냉장염지조각닭 등 13종 구매,5
김말이튀김,5
훈제연어(슬라이스),5
바베큐폭립,5
훈제연어(덩어리/냉동),5
오리훈제슬라이스,5
모듬두텁떡 등 6종 제조,5
노즐 연료 분사용 1종,5
궤도(2종) 고무제거 정비,5
증폭기  무선주파수용 정비,5
포장족발(슬라이스),5
오링 및 개스킷류,5
궤도부품류,5
액화석유가스(LPG) ,5
유리 접합형 등 3항목 구매(기장),5
반창고 등 18항목 구매(의무),5
육고기비빔소스(1지역),5
나사류(궤도장비용),5
유조차(2 500G/A),5
자주포 전기전자장치부품류,5
펌프 회전식,5
함정용 풍향풍속계,5
조정 유니트 1종,5
육고기비빔소스(3지역),5
조미김(8지역),5
국방컨벤션 주류 구매,5
조미김(7지역),5
공기청정기 필터 등 4종 구매,5
500MD헬기 지시계 진로 방향표시-R용 등 2종 정비,5
조미김(6지역),5
비빔냉면(2지역),5
비빔냉면(3지역),5
피티비 헬륨킷트기구,5
비빔냉면(4지역),5
스파게티,5
조미김(5지역),5
K5 방독면 수리부속(방산),5
감지장치 전기자기유도식 등 2종,5
조미김(4지역),5
스타터모타(차량방수형),5
신형야전깔개/롤 주름형,5
참기름,5
케이크,5
바나나 구매,5
깍두기(완제품)(1지역),5
비타음료,5
깍두기(완제품)(2지역),5
파이류,5
깍두기(완제품)(3지역),5
깍두기(완제품)(4지역),5
식자재(부식),5
깍두기(완제품)(5지역),5
K9자주포 밸브 구매,5
깍두기(완제품)(7지역),5
깍두기(완제품)(8지역),5
해군 특전 전투복 상의 등 4종 제조,5
조미김(3지역),5
식자재 구매,5
포장두부(2지역),5
포장두부(3지역),5
조미김(2지역),5
취사용 앞치마 제조,5
육사 생도피복,5
조미김(1지역),5
포장두부(4지역),5
메밀소스,5
부유대 조립체  방탄헬멧 내피용,5
콩나물 (1지역),5
동내의,5
트럭(1¼톤 통신가설차용),5
콩나물 (2지역),5
콩나물 (3지역),5
25톤 화물트럭,5
튀김가루,5
다목적굴착기 부품(구매),5
학군단복,5
순두부(2지역),5
실곤약,5
디스플레이 유닛 1종,5
K77장갑차 궤도 고무제거 정비,5
국방대학교 국내 도서 구매,5
와이어로프 등 5항목 구매(물자),5
멸균초코우유,5
소화기류(제조 일반),5
기능성전투화,5
전자 모듈 표준화형 등 51항목 구매(항공),5
소시지,5
트랙터형 제초기 구매,5
햄슬라이스경쟁(3지역),5
옥수수 기름,5
필터류(차량 전차 중장비),5
햄슬라이스경쟁(1지역),5
리튬이온 축전식전지(BB-824K),5
후반기 전산운영용품 구매,5
순두부(4지역),5
몽골텐트 제조구매,5
조종화(동계),5
장비커버류(기동 총포),5
회로카드 조립체 등 4종 구매,5
식기소독보관함류,5
육군 하운동복,5
밴 1¼톤 포사격지휘소용,5
상용헤드셋 변환기 등 2종 구매,5
회로카드 조립체 외 13종,5
K계열전차 체결류,5
충전기 전지용(PP-96K),5
알티네이터,5
차축및변속기유지부품,5
고무  로드휠용(지명),5
액체아르곤가스 9BT 구매,5
배추김치(임가공)(1지역),5
배추김치(임가공)(2지역),5
배추김치(임가공)(3지역),5
간호복(체촌),5
배추김치(임가공)(4지역),5
유류흡착패드 등 5종,5
육군 춘추운동복,5
중형제독기수리부속,5
육군 동운동복,5
배추김치(임가공)(5지역),5
배추김치(임가공)(6지역),5
자동소화장치류,5
중금속가열분석기 1항목 구매(의무),5
자주포 전기전자장치 부품류,5
리튬전지(BA-6853AK),5
방수포장백류,5
배추김치(임가공)(7지역),5
다용도 동계침낭,5
열무김치(1지역),5
00지역 스테레오 위성영상 구매,5
햄버거빵 2형(3지역),5
시일 봉합조립체류,5
적색 불꽃 신호 등 3종 구매,5
열무김치(2지역),5
열무김치(3지역),5
잠바류,5
열무김치(4지역),5
발칸 자이로스코프구매,5
전동기 와이퍼용 전기식 등 4항목 제조(기장),5
함정 취사장 바닥 정비,5
열무김치(5지역),5
열무김치(6지역),5
열무김치(7지역),5
일반호스(구매),5
창 차량용 등 2항목 제조(기장),5
아이스롤케익,5
전지 축전식(신형원격무선폭파세트용),5
하정복 원단(그린색/해병),5
열무김치(8지역),5
탄피 방출통 조립체(40미리함포 부품),5
볶음춘장,5
기밀유출 차단용 보안용지 구매,5
오토밋션오일 교환기 1종 구매,5
81mm 박격포 부품류,5
함정 화장실/세면장 리모델링 정비,5
김장김치(1지역),5
전지 조립체,5
김장김치(2지역),5
동정복 원단(그린색/해병),5
김장김치(3지역),5
동정복 원단(흑색/해군),5
햄버거빵 2형(2지역),5
오일펌프류,5
김장김치(4지역),5
K1E1전차 특수공구 구매,5
김장김치(5지역),5
버클류,5
햄버거빵 2형(1지역),5
김장김치(7지역),5
일반호스(전차  장갑차용)(구매),5
김장김치(8지역),5
00학교 교과서 구매,5
합판 구매,5
발칸 베어링 구매,5
깍두기(임가공)(1지역),5
고속상륙정 프로펠러 덕트 및 Air-Rudder 정비,5
떡,5
알미늄봉등6종구매,5
조절기 트랙 차량용 등 3항목 제조(생산능력 궤도),5
도시락(2권역),5
깍두기(임가공)(2지역),5
깍두기(임가공)(3지역),5
깍두기(임가공)(4지역),5
장갑차 전기장치 부품류,5
전차/장갑차 부품,5
메밀국수,5
슬라이스치즈,5
특전복,5
원단 사지직(230 카키색),5
핫도그빵(4지역),5
깍두기(임가공)(5지역),5
돈까스소스,5
두반장소스,5
햄버거빵 2형(4지역),5
깍두기(임가공)(6지역),5
마가렛트,5
성능개량 위치보고접속장치 수리부속,5
깍두기(임가공)(8지역),5
자장소스(1지역),5
자장소스(2지역),5
핫도그빵(3지역),5
자장소스(4지역),5
백단화,5
물냉면(2지역),5
핫도그빵(2지역),5
관급자재(콘크리트파일) 제조,5
핫도그빵(1지역),5
떡  떡볶이용,5
가스겟류,5
파김치(4지역),5
구명구  조끼형 1종 구매,5
예비군 도시락 제조납품(1권역),5
예비군 훈련 도시락 제조납품(2권역),5
쫄면(2지역),5
개선 안면마스크,5
파김치(6지역),5
하우징 액체펌프용 1종,5
쫄면(3지역),5
K계열전차 전기장치 부품류(제조 일반),5
감자튀김  스틱형,5
19인치 제논탐조등,5
16년 발칸용 아크릴,5
비행복,5
쫄면(4지역),5
숙성김치(7지역),5
햄(2지역),5
확성기세트 부품,5
햄(3지역),5
군위성통신체계(SRC-851K) 유지보수 정비,5
사골곰탕,5
배추김치(완제품)(8지역),5
파이프류,5
햄(4지역),5
불고기패티 2형(2지역),5
불고기패티 2형(3지역),5
불고기패티 2형(4지역),5
새우패티(1지역),5
새우패티(2지역),5
새우패티(3지역),5
새우패티(4지역),5
미트볼(1지역),5
소시지(1지역),5
미트볼(3지역),5
미트볼(4지역),5
소시지(2지역),5
소시지(3지역),5
공드럼 개스킷,5
디스크 일체식 평형 등 13항목 구매(총포),5
케이블 조립체 특수목적용 전기용 갈래형,5
한빛부대 재보급 지원용 컨테이너 구매,5
소시지(4지역),5
소시지 2형(1지역),5
숙성김치(8지역),5
삼색푸실리,5
소시지 2형(2지역),5
화학탐지기(CAD) 수리부속(일반),5
소시지 2형(3지역),5
배추김치(완제품)(7지역),5
플라스틱표적지(E F형),5
배추김치(완제품)(6지역),5
소시지 2형(4지역),5
야전선,5
배추김치(완제품)(5지역),5
야자매트 구매,5
자료연동처리기(DLPS) 유지보수 정비,5
딸기잼(4지역),5
송풍기류,5
배추김치(완제품)(3지역),5
00체계 수리부속품 구매,5
용접복,5
쌈장,5
필터류(제조 일반),5
예비군 훈련 도시락 제조납품(3권역),5
치즈 슬라이스형,5
접착제(실리콘) 등 4종 구매,5
GPS-98K 레이더 부품(구매),5
면장갑 구매,5
대잠RIB 엔진 정비,5
다목적굴착기 좌석 구매,5
스웨터,5
반자동식부교 부품(구매),5
전지  축전식(BB-7184K),5
가지 등 117종 구매,5
국방대학교 국외 도서 구매,5
광택연마기 1EA 구매,5
사병외투,5
감지센샤 1종,5
배추김치(완제품)(2지역),5
K9자주포 베어링등3종 구매,5
아이스크림 샌드형,5
인쇄용지 4종 구매,5
정수장비부품(물탱크류),5
KF-16 섀시 정비,5
니켈수소전지(BB-96K),5
발칸 계전기 구매,5
18년 LPG 구매(경기남부),5
구동장치부품류,5
배추김치(완제품)(1지역),5
최종구동장치조립체 종감속기조립체,5
축 및 기어류,5
제어기  송탄장치용,5
목재 제조,5
접착테프류(케이블류),5
오리콘 발전기조립체 정비,5
00함 고속단정 정비,5
멸균딸기우유,5
수중탐색음탐기 5종 유지보수 정비,4
감자고로케,4
K55자주포 호스등9종 구매,4
19년 발칸용 시트조립체,4
K9자주포 패널 외주정비,4
핫바세트,4
베어링류 슬리브형,4
총포류 부속품(소음기·소염기) 구매(20196270-F),4
19-8차 의무장비 심장혈류 박출량 측정기 구매,4
M48전차 표시기 구매,4
개스킷 등 20종 구매,4
K1전차 스위치 구매,4
UH-60 셀 전지용 제조,4
자동염기서열분석기 정비(소모품 구매설치),4
냉동후라이,4
리어카(몸체) 등 3종 구매,4
제네레이터(장갑차  전차),4
밴  트럭(1¼톤 암호차용),4
호이스트 체인식(K1전차),4
21-1차 전산운영용품 구매,4
수성백색페인트 등 2종 구매,4
(일장) 다목적굴착기 스위치등 8종구매,4
흰우유,4
뚜껑 주입구용,4
로드휠용(자주포),4
크림빵 구매(제조),4
표시기  가연성 가스용  휴대식 4EA 구매,4
잠망경 하부조립체 등 2항목 제조(생산능력  일장),4
방탄판  레벨Ⅳ용(중형),4
인쇄용지 5종 구매,4
개인장구류커버,4
회로카드조립체(입출력용),4
K55자주포 튜브등4종 구매,4
전원공급기,4
통합전화기(제조),4
바퀴  고형고무타이어용,4
21년 병리장비소모품(12) 구매,4
보조전원공급기(30mm차륜형대공포용),4
항공기 견인차(4 000 LBS),4
인쇄용지 3종 구매,4
냉난방기(대포병탐지레이더-II쉘터용),4
회로카드 조립체 등 5항목 제조(생산능력 궤도),4
방탄판  레벨Ⅳ용(대형),4
포장박스 등 3종 제조,4
21년 발칸 축전식 전지(제조),4
판조립체  덮개용(K1전차),4
GRC-512K부품,4
DC전원공급기 1항목 구매(통신),4
21년 특수무기 베어링류,4
발칸 필터 구매,4
스위치  감응식 등 2종 구매,4
UH-60헬기 고도계 압력용 등 4종 정비,4
잠수함(SS-II) TAS 윈치 드럼 구동기 정비,4
열상장비(TAS-815K) 수리부속(구매)(A),4
K1전차 알미늄미러 구매,4
프로그램 개발시스템 구축사업 금융리스,4
휴대용 화학탐지기 구매,4
실린더조립체 등 11항목 제조(기동 생산능력),4
원심과급기 엔진용 등 99항목 구매(궤도),4
수신기-송신기군 등 2종 구매,4
230mm급 다련장 수리부속(구매),4
제독장치 및 부품(K10제독장치),4
(206259-F)연료분사펌프 시험장비 제조,4
AH-1S헬기 탐지기 풍향 및 풍속용 등 2종 정비,4
K계열 전차 엔진 부품류(구매),4
코로나19 긴급조달의무장비 신속결핵동정기 구매,4
오리콘 회로카드조립체 등 3항목 정비,4
판류(제조  일반),4
저고도레이더 부품(구매)(A),4
잠수함 위성지휘 통신체계 유지보수 정비,4
부표  표지 오른쪽용 등 6종 구매,4
전원공급기 등 3종 구매,4
병기수지제품류,4
롤러 조립체(베어링류),4
(긴급) 펌프 회전식 1종 구매,4
파병부대 운동화 등 2종 구매,4
쉘타 비전개식(2½사격지휘차용),4
지상식 옥외소화전 등 133종,4
고정식공기압축기  차량용 등 2종 구매,4
신호처리기 조립체 등 16항목 구매(기장),4
베이컨,4
프로펠라 샤후트류,4
파인애플 음료,4
절연체 열차단용 차량용 등 64항목 구매(일장),4
회로카드조립체 구매,4
차체지지장치용 등 10항목 제조(생산능력 궤도),4
철사각관 등 76종 구매,4
K55A1자주포 조향장치 구매,4
통신쉘터 냉난방기 부품정비,4
K1전차 시일 구매,4
에그타르트,4
K1전차 포핏구매,4
곡사포 일반부품류(제조),4
기동화력 부속유지용 부품류,4
(긴급)잉곳 황동 고강도용 1종,4
장갑차 부품류(어댑터  클램프 등),4
자이로 유니트 정비,4
통신장비 수리부속 트랜지스터 등 3종 구매,4
초코과자,4
호스 등 39항목 구매(기장),4
냉동조각케이크,4
에너지음료,4
수욕기 다리치료용 2EA 구매,4
파김치(1지역),4
00함 엔진 윤활유 구매,4
22-공-조종사용 선글라스 5종 제조,4
파김치(2지역),4
부식방지제 등 30종 구매,4
챠트 시력검사용 등 10항목 구매(의무),4
윈치조립체,4
파김치(3지역),4
세탁기 구매,4
(기동) 5톤차량 파이프등 19종구매,4
부품제작자재 ABS-M30 등 9종 구매,4
오이소박이(4지역),4
백김치(4지역),4
프로펠러 항공기용 등 61항목 구매(항공),4
개스킷 등 71항목 제조(생산능력  일장),4
파김치(5지역),4
분배함 등 2종 구매,4
에어컨가스 회수충전기 1EA 구매,4
알루미늄 목발(특대) 등 4항목 구매(의무),4
배선장치 갈래형 등 7항목 제조(생산능력 자주포),4
18-1차 전산운영용품 구매,4
38권총 손잡이구매,4
정수장비부품,4
18년 천마 공기조절기 부품 정비,4
파김치(7지역),4
갓김치(7지역),4
망원경 엘보형(방향틀용),4
밴  포사격지휘소용(1¼톤용_V251K),4
22-2차 취사기구(보존식냉장고 등 6품목) 구매,4
22-해-상용짚  경호용 1대 구매,4
이글루 탄약고 제습설비 제조설치,4
방탄조끼 파편및소총방호용(대),4
회로카드조립체 3EA 구매,4
전시파손항공기수리차 1EA 제조,4
유조차(4 000G/A),4
파김치(8지역),4
모기향 등 19항목 구매(의무),4
