bidID,참가수,공고번호,공고차수,판단번호,항목번호,입찰명,발주기관코드,발주기관,개찰일시,낙찰업체코드,낙찰업체상호,대표자,업체주소,낙찰률,낙찰금액,카테고리,pick_keywords,군 분류,계약방법
22,2,SFH0113,2,46951,***,코인 등 3품목,SFH,제9196부대,2016-12-27 11:00:00,DBE6B,대한상역,나혜만,인천광역시 강화군 양도면 강화남로374번길26-21,87.1585,22385000.0,2종,코인,해병,제한경쟁
23,25,MDI0025,2,45104,***,17년 전산장비 유지보수 용역,MDI,제7016부대,2016-12-27 11:00:00,C4B7D,주식회사 페타바이트,정세영,"서울특별시 서초구 방배로60, 광찬빌딩 3층 302호(방배동)",87.8498,22720170.0,10종,용역,국방부직할,제한경쟁
27,2,MCN0113,1,47177,***,긴급 영선보수자재 구매(UPS배터리),MCN,국방부근무지원단,2016-12-27 11:00:00,F98B0,주식회사 비엔피시스템,주희,"경기도 안산시 상록구 서당길27, 1동 (주)비엔피시스템(양상동)",71.498,26961000.0,"4종, 9종","배터리, 보수",국방부직할,일반경쟁
28,17,MCN0112,1,45582,***,00지역 시설공사 관급자재(알루미늄패널) 제조 납품,MCN,국방부근무지원단,2016-12-27 11:00:00,A9CB5,주식회사 극동,이은숙,경상북도 영천시 도남공단3길28-28 (도남동),88.1959,121270000.0,"4종, 9종","공사, 관급자재",국방부직할,제한경쟁
29,141,MCN0111,1,45577,***,00지역 시설공사 관급자재(GHP) 설치납품,MCN,국방부근무지원단,2016-12-27 11:00:00,B99CE,지엔원에너지 주식회사,장재우,"경기도 안양시 동안구 학의로 268, 안양메가밸리 809(관양동)",83.2623,276511000.0,"4종, 9종","공사, 관급자재",국방부직할,일반경쟁
30,49,LNR0015,1,47500,***,4개 개편부대 조명등 제조납품(정정공고),LNR,수도기계화보병사단,2016-12-27 11:00:00,D03E7,주식회사 효선전기,박현주,경기도 파주시 조리읍 등원로353번길15-38,88.0176,96697190.0,4종,조명,육군,일반경쟁
31,5,LHK0026,4,43261,***,공병여단 장간조립교 자재 제조납품,LHK,제2군단,2016-12-27 11:00:00,1900F,전일목재산업 주식회사,김병진,전북특별자치도 김제시 백구면 금백로1138-0,88.2225,91549000.0,미분류,,육군,제한경쟁
32,94,LHD0031,1,46286,***,7162부대 GOP 철책 시설물보강 자재구매,LHD,제21보병사단,2016-12-27 11:00:00,H229E,케이엔피 트레이드,구정희,"강원특별자치도 고성군 거진읍 거탄진로142-0, 3층 1호",88.0466,50410176.0,4종,철책,육군,제한경쟁
34,154,LCH0037,1,46198,***,00부대 복지회관 신축 냉난방기 구매설치,LCH,특수전사령부,2016-12-27 11:00:00,B706E,주식회사 파이런텍,이병길,"서울특별시 송파구 송파대로201-0, B동 13층 1301호 (문정동, 송파테라타워2)",88.0117,103530820.0,2종,냉난방,육군,제한경쟁
35,3,LCF0991,2,43703,***,신호처리기 조립체 등 16항목 구매(기장),LCF,육군군수사령부,2016-12-27 11:00:00,BEB46,(주) 렘텍,홍인숙,"경기도 고양시 일산동구 일산로142-0 (백석동, 유니테크빌)619호",90.0703,665000000.0,"10종, 7종, 9종","조립체, 처리, 처리기",육군,일반경쟁
37,30,SFM0126,1,47257,***,초코파이 등 27종 구매,SFM,제3170부대,2016-12-27 10:30:00,B8DB8,씨제이프레시웨이 주식회사,이건일,경기도 용인시 기흥구 기곡로32-0 (하갈동),83.0381,491870000.0,1종,초코,육군,일반경쟁
38,2,SFM0125,1,47201,***,모듬두텁떡 등 6종 제조,SFM,제3170부대,2016-12-27 10:30:00,GA0E9,주식회사 장원식품,김오식,경상북도 경산시 자인면 자인공단2로31-0 (장원식품),96.9668,270000000.0,1종,떡,육군,일반경쟁
39,34,SFM0123,1,47192,***,삼계탕 등 47종 구매,SFM,제3170부대,2016-12-27 10:30:00,B9586,주식회사 에스피씨삼립,김범수,경기도 시흥시 공단1대로 101(정왕동),83.2684,530199900.0,1종,삼계탕,육군,일반경쟁
40,33,SFM0122,1,47189,***,초코우유 등 29종 구매,SFM,제3170부대,2016-12-27 10:30:00,2442F,(주)빙그레,김광수,경기도 남양주시 다산순환로45 (다산동),83.2429,387575034.0,1종,우유,육군,일반경쟁
41,52,SFC0225,1,47454,***,베트남전투사발간,SFC,제9691부대,2016-12-27 10:30:00,CE88D,오스카인쇄,박장진,서울특별시 중구 퇴계로41길28-0 (인현동2가),87.9957,20287500.0,2종,전투사,해병,일반경쟁
42,7,SCR0165,1,46684,***,16-해-항공정비실습장 주파수변환기 구매,SCR,해군제3함대사령부,2016-12-27 10:30:00,G5D9E,(주) 테스,정인숙,경기도 남양주시 비룡로411번안길31-0 (화도읍),55.8236,25300000.0,9종,정비,해군,일반경쟁
44,8,MDJ0022,1,46562,***,2017년 환자급식용 식재료 구매,MDJ,국군대전병원,2016-12-27 10:30:00,DFA97,다해푸드,김기숙,대전광역시 유성구 반석서로19번길35-0 (지족동),84.4738,493381020.0,1종,급식,기타,일반경쟁
45,3,LFN0040,1,46470,***,17년 생도증식 148종 구매,LFN,육군3사관학교,2016-12-27 10:30:00,G1F6C,삼성웰스토리 (주),정해린,경상북도 칠곡군 왜관읍 삼청4길39-0,84.0192,199646370.0,1종,증식,육군,제한경쟁
47,2,SFH0112,1,46635,***,식자재 구매(일반미 등 174품목),SFH,제9196부대,2016-12-26 11:00:00,H2978,동원푸드,박진석,인천광역시 남동구 에코중앙로96-0 (논현동) 904동3503호,91.7136,121558687.0,1종,식자재,해병,제한경쟁
48,5,MDD0102,1,46308,***,'17년 환자급식(증후식류) 식품 구매,MDD,국군수도병원,2016-12-26 11:00:00,H8CBB,주식회사 삼우인더스트리,배상진,경기도 고양시 일산동구 문원길170번길67(설문동),83.716,105860000.0,1종,급식,기타,제한경쟁
49,7,MDD0101,1,46307,***,'17년 환자급식(부식류) 식품 구매,MDD,국군수도병원,2016-12-26 11:00:00,B9586,주식회사 에스피씨삼립,김범수,경기도 시흥시 공단1대로 101(정왕동),83.7235,481201000.0,1종,급식,기타,일반경쟁
52,5,UAC0082,1,46754,***,Truepress-jet520 전용잉크등 2종 구매,UAC,국방출판지원단,2016-12-26 10:30:00,H9688,가온정보,이형구,서울특별시 금천구 벚꽃로286-0 (가산동) 삼성리더스타워 611호,92.8265,176388300.0,10종,잉크,국방부직할,제한경쟁
53,14,UAC0077,2,43976,***,인쇄용지8종 제조/구매,UAC,국방출판지원단,2016-12-26 10:30:00,ACC15,세풍지업상사,정헌화,대전광역시 동구 태전로 56-9(),83.9948,210758908.0,"10종, 2종","용지, 인쇄",국방부직할,제한경쟁
58,8,MCN0105,1,44287,***,17년 영선보수자재 구매,MCN,국방부근무지원단,2016-12-23 11:00:00,EFEA2,주식회사무한티에스,최용대,"서울특별시 금천구 시흥대로 97, 시흥유통상가 26동337호(시흥동)",58.7308,158710000.0,4종,보수,국방부직할,일반경쟁
59,25,LNT0029,1,46214,***,00부대 유휴시설 폐기물처리 용역,LNT,제28보병사단,2016-12-23 10:30:00,A5614,(주) 강북공영,김희철,경기도 양주시 광적면 효촌리656-1,88.0824,50323000.0,10종,용역,육군,제한경쟁
67,2,SCF0530,1,45696,***,방풍용 비닐 등 6종,SCF,해군군수사령부,2016-12-23 10:30:00,G5239,주식회사유일화학,권혁자,경기도 김포시 하성로800-0 (하성면),85.438,17891010.0,2종,비닐,해군,제한경쟁
68,13,HDR0018,1,46233,***,방관사 저고도레이더 운용시설(별립)_수배전반,HDR,공군방공관제사령부,2016-12-22 11:00:00,C41B7,주식회사 주왕산업,나윤경,전북특별자치도 남원시 시묘길100-0 (노암동),88.0572,75040720.0,7종,레이더,공군,일반경쟁
69,20,MCN0110,1,45953,***,시설공사 관급자재(화물용엘리베이터)제조 설치납품,MCN,국방부근무지원단,2016-12-22 11:00:00,AFC03,주식회사광진엔지니어링,정선호,경기도 김포시 김포대로2709-11 (월곶면),88.0558,52487702.0,"4종, 7종, 9종","공사, 관급자재, 엘리베이터",국방부직할,제한경쟁
70,92,MCN0109,1,45951,***,시설공사 관급자재(조명기구)제조 납품,MCN,국방부근무지원단,2016-12-22 11:00:00,E0B4C,(주)베크룩스,엄기관,경기도 포천시 가산면 금현경제로1길27-0,88.085,49627940.0,"4종, 9종","공사, 관급자재",국방부직할,제한경쟁
71,256,MCN0108,1,45948,***,시설공사 관급자재(분전반)제조 납품,MCN,국방부근무지원단,2016-12-22 11:00:00,DDF9B,주식회사 케이엔,강기주,부산광역시 강서구 미음산단로105번길34 (구랑동),88.0213,64723450.0,"4종, 9종","공사, 관급자재",국방부직할,제한경쟁
72,217,MCN0107,1,45935,***,관급자재(전관방송 및 AV설비) 제조 설치납품,MCN,국방부근무지원단,2016-12-22 11:00:00,E24E8,주식회사 누리정보기술,김승규,경상북도 안동시 농공길37-9 (남후면),87.9958,47747853.0,"10종, 7종, 9종","관급자재, 방송",국방부직할,제한경쟁
73,94,MCN0106,1,45834,***,종교센타 리모델링 관급자재(조명기구) 제조납품,MCN,국방부근무지원단,2016-12-22 11:00:00,H71D8,주식회사 해인엘이디,이동우,부산광역시 해운대구 센텀북대로60-0 (재송동) 507호,87.9983,57527800.0,"10종, 4종, 9종","관급자재, 조명기구, 종교",국방부직할,제한경쟁
74,5,LCH0035,1,46213,***,00부대 복지회관 신축 변압기 제조설치,LCH,특수전사령부,2016-12-22 11:00:00,BAC68,한원전기공업주식회사,박선민,경기도 화성시 마도면 마도로620번길 31한원전기공업(주),88.0177,34793000.0,미분류,,육군,제한경쟁
75,9,LCH0036,1,46262,***,체력단련장 전동카트 구매,LCH,특수전사령부,2016-12-22 10:30:00,BD837,(주)한일종합상사,이희석,대전광역시 대덕구 대전로1397번안길70-0 (읍내동),88.1968,68530000.0,미분류,,육군,제한경쟁
76,14,LNG0031,1,46283,***,차기다련장 3차 811정비대대 시설공사_크레인,LNG,육군 제1군단,2016-12-21 13:40:00,C713F,부천기업 주식회사,정보현,경기도 김포시 월곶면 애기봉로250-0,88.1075,41209950.0,"4종, 9종","공사, 정비",육군,제한경쟁
77,90,LKP0123,1,45910,***,방송장비 구매 / 설치,LKP,5군수지원사령부,2016-12-21 11:00:00,E54CB,제일음향정보통신(주),홍시흠,"경기도 부천시 원미구 조마루로385번길92,제19층1918호 (원미동,부천테크노밸리 유1센터)",88.0122,53542750.0,"10종, 7종",방송,육군,제한경쟁
79,4,MDG0147,2,44367,***,'17년 환자치료식 부·후식 및 증식 계약,MDG,국군의무사령부,2016-12-21 11:00:00,B9586,주식회사 에스피씨삼립,김범수,경기도 시흥시 공단1대로 101(정왕동),89.2245,1117356000.0,1종,증식,기타,일반경쟁
80,4,MDG0147,1,44367,***,'17년 환자치료식 부·후식 및 증식 계약,MDG,국군의무사령부,2016-12-21 11:00:00,B9586,주식회사 에스피씨삼립,김범수,경기도 시흥시 공단1대로 101(정왕동),89.2245,1117356000.0,1종,증식,기타,일반경쟁
81,20,UMM0648,1,41658,***,00사 군관사 개선공사 엘리베이터 제조 설치,UMM,국군재정관리단,2016-12-21 11:00:00,B9BCF,성광엘리베이터 주식회사,김성욱,"경상남도 창원시 의창구 창원대로18번길22. 벤처동 406호(팔용동, 경남테크노파크)",88.1492,1179410000.0,"4종, 7종","공사, 엘리베이터",기타,제한경쟁
82,4,MDG0147,3,44367,***,'17년 환자치료식 부·후식 및 증식 계약,MDG,국군의무사령부,2016-12-21 11:00:00,B9586,주식회사 에스피씨삼립,김범수,경기도 시흥시 공단1대로 101(정왕동),89.2245,1117356000.0,1종,증식,기타,일반경쟁
83,38,MDF0034,1,45939,***,00지역 아파트 리모델링 시설공사(가구),MDF,국군지휘통신사령부,2016-12-21 11:00:00,DC50E,에스알주식회사,이상민,충청북도 청주시 서원구 남이면 척산화당로 105-4에스알(주),88.0203,102803800.0,미분류,,국방부직할,제한경쟁
84,3,MCJ0014,1,45088,***,`16년 정보자원 도입사업 리스,MCJ,국방통합데이터센터,2016-12-21 11:00:00,B179B,롯데캐피탈(주),추광식,"서울특별시 강남구 테헤란로 142(역삼동, ARC PLACE) 7층",98.5541,4373024390.0,10종,사업,국방부직할,일반경쟁
85,5,HCF0147,1,45072,***,자이로스코프 비율식 구매,HCF,공군군수사령부,2016-12-21 10:30:00,G4C53,휴먼팩토리,김선옥,경기도 부천시 원미구 상동로117번길31-0 (상동),96.5111,47652000.0,2종,스코프,공군,제한경쟁
88,44,SFG0178,1,45148,***,조명기구(차량정비고),SFG,제9181부대,2016-12-21 10:30:00,F359C,주식회사 링크맨,윤혜자,강원특별자치도 홍천군 홍천읍 농공단지길23-19,88.108,87068480.0,"4종, 9종","정비, 조명기구",해병,일반경쟁
89,361,SFG0177,1,45134,***,CCTV(지상전술전자장비),SFG,제9181부대,2016-12-21 10:30:00,D4DA9,엑사정보기술 주식회사,심순,울산광역시 울주군 서생면 에너지산업3로6,87.9954,63715000.0,"2종, 7종","CCTV, TV",해병,일반경쟁
90,227,SFG0176,1,45130,***,분전반(지상전술전자장비),SFG,제9181부대,2016-12-21 10:30:00,C7C3F,삼성기전(주),원은희,충청북도 청주시 청원구 토성로362번길75 (오동동),87.9963,49255710.0,"4종, 7종","분전반, 전자장비",해병,일반경쟁
91,2,SFG0175,1,45122,***,떡류 등 21종,SFG,제9181부대,2016-12-21 10:30:00,H5331,주식회사해피21세기,이숙희,경기도 고양시 일산동구 성현로377번길63-13 (문봉동),89.6826,273130000.0,1종,떡,해병,일반경쟁
92,11,SFC0224,1,45940,***,음향제작장비 등 4품목 제작설치,SFC,제9691부대,2016-12-21 10:30:00,CB7E7,(주)기선,최호열,"경기도 화성시 동탄반송1길45 (반송동,1층)",87.1576,133382960.0,"10종, 7종","음향, 장비",해병,제한경쟁
95,2,SCF0529,1,45077,***,충전키트 가압용 등 2종,SCF,해군군수사령부,2016-12-21 10:30:00,F45B7,주식회사 티이엠,배정선,"부산광역시 연제구 시청로6-0 (연산동, 부산 더샵 시티애비뉴)",87.9596,24100000.0,2종,충전키트,해군,제한경쟁
168,48,HDM0049,1,45838,***,16-59-1 관급자재[글라스울샌드위치 판넬 구매(설치)],HDM,공군제17전투비행단,2016-12-21 10:30:00,G2743,드림산업,김성미,강원특별자치도 춘천시 산수길269-85 (남산면),84.1012,226731840.0,"4종, 9종","관급자재, 판넬",공군,일반경쟁
169,2,LKS0033,2,41812,***,계룡스파텔 식자재 000종 구매,LKS,육군인사사령부,2016-12-21 10:00:00,BE6DF,한화호텔앤드리조트 주식회사,김형조,"서울특별시 중구 소공로119-0,(태평로2가)",93.6754,752900000.0,1종,식자재,육군,2단계경쟁(동시)
170,2,LKS0033,1,41812,***,계룡스파텔 식자재 000종 구매,LKS,육군인사사령부,2016-12-21 10:00:00,BE6DF,한화호텔앤드리조트 주식회사,김형조,"서울특별시 중구 소공로119-0,(태평로2가)",93.6754,752900000.0,1종,식자재,육군,2단계경쟁(동시)
171,3,MHD0100,1,44761,***,방위사업청 X-Ray검색기 구매.설치 사업,MHD,방위사업청(운영지원과),2016-12-20 15:00:00,B212B,주식회사 레이어스,조인선,"서울특별시 금천구 두산로70 에이-1205(독산동, 현대지식산업센터)",88.1439,91862000.0,10종,사업,국방부직할,제한경쟁
172,54,LGP0121,1,45517,***,물류취급물자(롤테이너 등 5개 품목) 구매,LGP,제1군수지원사령부,2016-12-20 11:00:00,H03B4,한결통상,이진숙,"충청남도 당진시 대호만로30-33 (채운동), 상가동 102호",87.9995,52734480.0,2종,취급물자,육군,일반경쟁
174,2,UMM0826,1,44577,***,창조 12차 장비도입 사업 통합리스,UMM,국군재정관리단,2016-12-20 11:00:00,F8E82,엔에이치농협캐피탈주식회사,장종환,서울특별시 영등포구 국제금융로8길27-8 (여의도동 10층),97.2603,1467408850.0,"10종, 7종","사업, 장비",기타,일반경쟁
175,41,UMM0827,1,43974,***,모바일기기 통제체계(MDM) 구축,UMM,국군재정관리단,2016-12-20 11:00:00,A040E,주식회사코넥,오상석,"경상남도 진주시 장대로 38, 현대빌딩 4층(장대동)",83.005,224517800.0,10종,구축,기타,일반경쟁
176,44,UMM0632,2,41663,***,00사 군관사 개선공사 씽크대 제조 설치,UMM,국군재정관리단,2016-12-20 11:00:00,GBAD7,스마일가구 주식회사,김상철,"경상북도 경산시 압량면 내리길67, 1층",87.9971,617435000.0,4종,공사,기타,제한경쟁
177,4,UHC0006,1,45905,***,16-조-86 발전실 크레인 제조,UHC,공군 작사예하 방포사예하 제2여단,2016-12-20 11:00:00,C713F,부천기업 주식회사,정보현,경기도 김포시 월곶면 애기봉로250-0,88.623,27401940.0,7종,크레인,공군,제한경쟁
178,11,MDW0044,1,45305,***,00학교 생도피복(맞춤피복) 제조,MDW,국군간호사관학교,2016-12-20 11:00:00,E5144,주식회사 나루지엠에스,조승현,"서울특별시 서초구 사임당로19길 40-8,  2층(서초동)",88.0898,97524820.0,2종,피복,기타,제한경쟁
179,4,MCT0007,1,45524,***,'17년도 선수급식(공산품 475종) 구매,MCT,국군체육부대,2016-12-20 11:00:00,D4976,한샘유통 주식회사,유임묵,경기도 평택시 포승읍 여술2길25,84.0475,429058000.0,1종,급식,기타,일반경쟁
180,6,MCT0008,1,45523,***,'17년도 선수급식(농수산물 321종) 구매,MCT,국군체육부대,2016-12-20 11:00:00,D4976,한샘유통 주식회사,유임묵,경기도 평택시 포승읍 여술2길25,89.4109,383702100.0,1종,급식,기타,일반경쟁
181,3,MCT0009,1,45522,***,'17년도 선수급식(유제품 12종) 구매,MCT,국군체육부대,2016-12-20 11:00:00,FDBBD,매일종합유통(문경대리점),김준태,경상북도 문경시 여고길33(모전동),86.2996,196932600.0,1종,급식,기타,제한경쟁
182,5,LMD0022,1,45666,***,핸드토키 구매,LMD,제7821부대,2016-12-20 11:00:00,EDFA2,주식회사연화엠텍,김종엽,경기도 안양시 만안구 전파로44번길36-0 (안양동),88.284,24888600.0,2종,핸드토키,육군,제한경쟁
183,78,LMD0021,1,45528,***,00부대 방송장비 보강 사업,LMD,제7821부대,2016-12-20 11:00:00,D8D0D,주식회사 인텍하우징,심인석,"서울특별시 강서구 화곡로68길82, 7층 703호(등촌동, 강서아이티밸리)",88.0869,64907195.0,"10종, 7종",방송,육군,제한경쟁
184,7,LKP0122,1,44819,***,"급식유통센터 운용물자(플라스틱상자, 파레트) 구매",LKP,5군수지원사령부,2016-12-20 11:00:00,A1CE1,티피씨 주식회사,김재학,경상북도 칠곡군 가산면 경북대로 1547(),88.2541,24155000.0,2종,상자,육군,제한경쟁
185,2,LKS0036,1,44617,***,계룡대 체력단련장 보일러용 유류(하이신유) 구매,LKS,육군인사사령부,2016-12-20 10:30:00,A7EB8,대한(주),정지윤,"대전광역시 유성구 계룡로66번길5, 402호 (봉명동)",96.8595,99592000.0,4종,보일러,육군,제한경쟁
188,6,SDQ0089,1,45012,***,박판금속제 등 7종,SDQ,해군제2수리창,2016-12-20 10:30:00,E8E46,동진상사,윤영현,"경기도 평택시 평택5로34번길48, 402호(합정동)",76.5987,12344000.0,9종,박판,해군,제한경쟁
189,90,SFG0174,1,44880,***,오버 헤드 크레인,SFG,제9181부대,2016-12-20 10:30:00,7685,주식회사 금성이앤씨,구본철,"충청남도 논산시 은진면 매죽헌로 567,1층",88.0074,125289844.0,7종,크레인,해병,일반경쟁
190,8,SDQ0091,1,45170,***,LED작업등 1종,SDQ,해군제2수리창,2016-12-20 10:30:00,FAE59,미림교역,고명심,"경기도 군포시 금산로13, 5층 549호(금정동, 오피스밸리)",63.6855,1433000.0,4종,LED,해군,제한경쟁
191,5,SDQ0090,1,45157,***,실린더라이너 등 19종,SDQ,해군제2수리창,2016-12-20 10:30:00,E8E46,동진상사,윤영현,"경기도 평택시 평택5로34번길48, 402호(합정동)",82.8179,10344000.0,2종,실린더,해군,제한경쟁
192,6,SDQ0089,2,45012,***,박판금속제 등 7종,SDQ,해군제2수리창,2016-12-20 10:30:00,E8E46,동진상사,윤영현,"경기도 평택시 평택5로34번길48, 402호(합정동)",76.5987,12344000.0,9종,박판,해군,제한경쟁
227,10,MCS0167,1,45496,***,LED램프 외 7종 구매,MCS,국방부계룡대근무지원단,2016-12-20 10:30:00,C7252,대경상사,홍순억,"충청남도 계룡시 신도안1길41-0 (신도안면, 계룡대쇼핑타운)",56.5781,22187000.0,4종,LED,국방부직할,제한경쟁
228,27,LNS0018,1,44671,***,다목적체육관 관급자재 무대장치 제조설치,LNS,제55보병사단,2016-12-20 10:30:00,G6434,삼신개발(주),김호원,"충청남도 논산시 연산면 계백송정1길7-21, 2층",88.0939,78314420.0,"2종, 4종, 7종, 9종","관급자재, 장치, 제조설치, 체육",육군,일반경쟁
229,239,LNS0017,1,44664,***,다목적체육관 관급자재(AV설비) 제조설치,LNS,제55보병사단,2016-12-20 10:30:00,A34FD,(주)에스티씨,박광수,대전광역시 대덕구 오정로9번길28-2 (오정동),88.0005,79577000.0,"2종, 9종","관급자재, 체육",육군,일반경쟁
231,16,HDK0046,1,44841,***,"관급자재 수배전반, 분전반 제조 구매",HDK,공군제11전투비행단,2016-12-19 15:30:00,A136E,주식회사 평화전력,김형준,대구광역시 달성군 옥포읍 비슬로447길51,88.0851,160339000.0,"4종, 9종","관급자재, 분전반",공군,제한경쟁
233,7,LKM0080,1,45318,***,후방카메라 설치 납품,LKM,제2632부대,2016-12-19 14:30:00,EF2CA,대광종합상사,김정현,강원특별자치도 강릉시 경강로2496,87.6298,74990000.0,2종,카메라,육군,제한경쟁
234,15,LNR0010,1,45173,***,3개소 취사장 대형냉장고 제조설치,LNR,수도기계화보병사단,2016-12-19 11:00:00,BCA12,(주)쿨테이너,임관빈,전북특별자치도 익산시 황등면 황등리87번지,88.0403,81339000.0,2종,냉장고,육군,일반경쟁
237,3,UAC0080,1,45201,***,수리부속(타공기바늘)구매,UAC,국방출판지원단,2016-12-19 11:00:00,B371D,보성인재,강구태,대전광역시 동구 대전로839번길81-0 (중동),98.5476,9456700.0,9종,수리부속,국방부직할,제한경쟁
238,16,UMM0646,1,43089,***,"16-해군제2기관장비실습장 수배전반, 분전반 제조)",UMM,국군재정관리단,2016-12-19 11:00:00,G7D30,주식회사유비와이울산병영용사촌,이용달,경기도 남양주시 오남읍 양지로149-100,88.146,304011400.0,"4종, 7종","분전반, 장비",기타,지명경쟁
239,3,UAC0080,2,45201,***,수리부속(타공기바늘)구매,UAC,국방출판지원단,2016-12-19 11:00:00,B371D,보성인재,강구태,대전광역시 동구 대전로839번길81-0 (중동),98.5476,9456700.0,9종,수리부속,국방부직할,제한경쟁
240,3,UAC0079,1,45188,***,인쇄용지 3종 제조/구매,UAC,국방출판지원단,2016-12-19 11:00:00,ACC15,세풍지업상사,정헌화,대전광역시 동구 태전로 56-9(),83.3726,13791000.0,"10종, 2종","용지, 인쇄",국방부직할,제한경쟁
241,8,MDG0148,1,44754,***,전산소모품 구매,MDG,국군의무사령부,2016-12-19 11:00:00,H4C55,주식회사 유피소프트,이현우,"서울특별시 성동구 성수이로10길14, 11층 1106-1108호 (성수동2가, 에이스 하이엔드 성수타워)",88.0806,11000986.0,"2종, 3종","산소, 소모품",기타,일반경쟁
242,196,LNR0012,1,45222,***,4개 개편부대 자동제어반 제조설치납품,LNR,수도기계화보병사단,2016-12-19 11:00:00,BAE92,주식회사 노하우전기통신,양창화,"서울특별시 영등포구 양산로53, 408호(양평동3가, 월드메르디앙비즈센터)",87.9999,80539122.0,4종,제조설치,육군,일반경쟁
