Unnamed: 0,참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),ss,낙찰자(연락처).1,낙찰자(주소),낙찰률, 낙찰금액 ,카테고리
19,3,MDG0153,1,46659,1,2017년 LPG 구매 (경기),물품,MDG,국군의무사령부,2016-12-27 11:00,F8A35,원진에너지주식회사,won jin energy,강수만,325737223,325737223,032-573-7223,경기도 안산시 단원구 장골1길38-0 (대부남동),88.4175,752 ,3종
20,9,MDG0152,1,46658,1,2017년 LPG 구매 (전라),물품,MDG,국군의무사령부,2016-12-27 11:00,EB616,원진특수가스주식회사,"wonjin specialization gas co., ltd.",김경희,635351008,635351008,063-535-1008,전북특별자치도 정읍시 덕천면 황토현로646,89.1054,816 ,3종
21,2,SFH0113,2,46951,***,코인 등 3품목,물품,SFH,제9196부대,2016-12-27 11:00,DBE6B,대한상역,"DH,,Lte",나혜만,010-4398-2588,010-4398-2588,010-4398-2588,인천광역시 강화군 양도면 강화남로374번길26-21,87.1585,22385000 ,2종
22,25,MDI0025,2,45104,***,17년 전산장비 유지보수 용역,물품,MDI,제7016부대,2016-12-27 11:00,C4B7D,주식회사 페타바이트,PETABYTE,정세영,24160941,24160941,02-416-0941,"서울특별시 서초구 방배로60, 광찬빌딩 3층 302호(방배동)",87.8498,22720170 ,10종
23,7,MDG0154,2,46660,1,2017년 LPG 구매 (강원),물품,MDG,국군의무사령부,2016-12-27 11:00,BFA96,동방도시가스산업(주),Dong Bang Gas .In,안홍재,033-644-9361,033-644-9361,033-644-9361,강원특별자치도 강릉시 연곡면 동해대로 4076(),88.4603,866 ,3종
24,3,MDG0153,2,46659,1,2017년 LPG 구매 (경기),물품,MDG,국군의무사령부,2016-12-27 11:00,F8A35,원진에너지주식회사,won jin energy,강수만,325737223,325737223,032-573-7223,경기도 안산시 단원구 장골1길38-0 (대부남동),88.4175,752 ,3종
25,9,MDG0152,2,46658,1,2017년 LPG 구매 (전라),물품,MDG,국군의무사령부,2016-12-27 11:00,EB616,원진특수가스주식회사,"wonjin specialization gas co., ltd.",김경희,635351008,635351008,063-535-1008,전북특별자치도 정읍시 덕천면 황토현로646,89.1054,816 ,3종
26,2,MCN0113,1,47177,***,긴급 영선보수자재 구매(UPS배터리),물품,MCN,국방부근무지원단,2016-12-27 11:00,F98B0,주식회사 비엔피시스템,"BnPsystem Co.,Ltd",주희,314297215,314297215,031-429-7215,"경기도 안산시 상록구 서당길27, 1동 (주)비엔피시스템(양상동)",71.498,26961000 ,4종
27,17,MCN0112,1,45582,***,00지역 시설공사 관급자재(알루미늄패널) 제조 납품,물품,MCN,국방부근무지원단,2016-12-27 11:00,A9CB5,주식회사 극동,"KukDong Co.,Ltd.",이은숙,543349192,543349192,054-334-9192,경상북도 영천시 도남공단3길28-28 (도남동),88.1959,121270000 ,4종
28,141,MCN0111,1,45577,***,00지역 시설공사 관급자재(GHP) 설치납품,물품,MCN,국방부근무지원단,2016-12-27 11:00,B99CE,지엔원에너지 주식회사,"G-ENONE Energy Co.,Ltd.",장재우,031-420-4677,031-420-4677,031-420-4677,"경기도 안양시 동안구 학의로 268, 안양메가밸리 809(관양동)",83.2623,276511000 ,4종
29,49,LNR0015,1,47500,***,4개 개편부대 조명등 제조납품(정정공고),물품,LNR,수도기계화보병사단,2016-12-27 11:00,D03E7,주식회사 효선전기,Hoysun Electric Co.,박현주,319451213,319451213,031-945-1213,경기도 파주시 조리읍 등원로353번길15-38,88.0176,96697190 ,2종
30,5,LHK0026,4,43261,***,공병여단 장간조립교 자재 제조납품,물품,LHK,제2군단,2016-12-27 11:00,1900F,전일목재산업 주식회사,JEONIL TIMBER,김병진,635453131,635453131,063-545-3131,전북특별자치도 김제시 백구면 금백로1138-0,88.2225,91549000 ,2종
31,94,LHD0031,1,46286,***,7162부대 GOP 철책 시설물보강 자재구매,물품,LHD,제21보병사단,2016-12-27 11:00,H229E,케이엔피 트레이드,knp trade,구정희,1097224808,1097224808,010-9722-4808,"강원특별자치도 고성군 거진읍 거탄진로142-0, 3층 1호",88.0466,50410176 ,4종
32,2,LGP0122,1,46983,1,설 경축특식 빵세트,물품,LGP,제1군수지원사령부,2016-12-27 11:00,2442F,(주)빙그레,binggrae,김광수,1020565447,1020565447,010-2056-5447,경기도 남양주시 다산순환로45 (다산동),97.8718,1456 ,1종
33,154,LCH0037,1,46198,***,00부대 복지회관 신축 냉난방기 구매설치,물품,LCH,특수전사령부,2016-12-27 11:00,B706E,주식회사 파이런텍,PYLONTECH,이병길,24073588,24073588,02-407-3588,"서울특별시 송파구 송파대로201-0, B동 13층 1301호 (문정동, 송파테라타워2)",88.0117,103530820 ,2종
34,3,LCF0991,2,43703,***,신호처리기 조립체 등 16항목 구매(기장),물품,LCF,육군군수사령부,2016-12-27 11:00,BEB46,(주) 렘텍,LEM TECh,홍인숙,031-905-5703,031-905-5703,031-905-5703,"경기도 고양시 일산동구 일산로142-0 (백석동, 유니테크빌)619호",90.0703,665000000 ,9종
35,2,LHN0095,1,48112,***,사단 동계 대비 노후보일러 교체,물품,LHN,제7보병사단,2016-12-27 10:30,C82A7,사내종합설비,,이청준,033-441-0304,033-441-0304,033-441-0304,강원도 화천군 사내면 사창리365-4,91.5293,12804800 ,4종
36,30,SFM0126,1,47257,***,초코파이 등 27종 구매,물품,SFM,제3170부대,2016-12-27 10:30,B8DB8,씨제이프레시웨이 주식회사,CJFRESHWAY,이건일,221496154,221496154,02-2149-6154,경기도 용인시 기흥구 기곡로32-0 (하갈동),83.0381,491870000 ,1종
37,2,SFM0125,1,47201,***,모듬두텁떡 등 6종 제조,물품,SFM,제3170부대,2016-12-27 10:30,GA0E9,주식회사 장원식품,JANGWONFOOD CO.LTD,김오식,538543301,538543301,053-854-3301,경상북도 경산시 자인면 자인공단2로31-0 (장원식품),96.9668,270000000 ,1종
38,34,SFM0123,1,47192,***,삼계탕 등 47종 구매,물품,SFM,제3170부대,2016-12-27 10:30,B9586,주식회사 에스피씨삼립,samlip,김범수,1053682751,1053682751,010-5368-2751,경기도 시흥시 공단1대로 101(정왕동),83.2684,530199900 ,1종
39,33,SFM0122,1,47189,***,초코우유 등 29종 구매,물품,SFM,제3170부대,2016-12-27 10:30,2442F,(주)빙그레,binggrae,김광수,1020565447,1020565447,010-2056-5447,경기도 남양주시 다산순환로45 (다산동),83.2429,387575034 ,1종
40,52,SFC0225,1,47454,***,베트남전투사발간,물품,SFC,제9691부대,2016-12-27 10:30,CE88D,오스카인쇄,osk feninting,박장진,02-2274-0738,02-2274-0738,02-2274-0738,서울특별시 중구 퇴계로41길28-0 (인현동2가),87.9957,20287500 ,2종
41,7,SCR0165,1,46684,***,16-해-항공정비실습장 주파수변환기 구매,물품,SCR,해군제3함대사령부,2016-12-27 10:30,G5D9E,(주) 테스,"TEES CO.,LTD",정인숙,315933600,315933600,031-593-3600,경기도 남양주시 비룡로411번안길31-0 (화도읍),55.8236,25300000 ,9종
42,7,SCF0524,2,44767,17,햄버그스테이크 등 31종 구매,물품,SCF,해군군수사령부,2016-12-27 10:30,FB41E,주식회사 류홀마트,new consulting,양미숙,055-546-0841,055-546-0841,055-546-0841,"경상남도 창원시 진해구 충무로23-0 (신흥동, 블루빌)",99.9132,5190 ,1종
43,8,MDJ0022,1,46562,***,2017년 환자급식용 식재료 구매,물품,MDJ,국군대전병원,2016-12-27 10:30,DFA97,다해푸드,dahae.food,김기숙,425876667,425876667,042-587-6667,대전광역시 유성구 반석서로19번길35-0 (지족동),84.4738,493381020 ,1종
44,3,LFN0040,1,46470,***,17년 생도증식 148종 구매,물품,LFN,육군3사관학교,2016-12-27 10:30,G1F6C,삼성웰스토리 (주),SAMSUNG WELSTORY INCORPORATED,정해린,3151714439,3151714439,031-5171-4439,경상북도 칠곡군 왜관읍 삼청4길39-0,84.0192,199646370 ,1종
45,39,HCR0024,2,41943,***,관급자재-글라스울징크 판넬 제조.구매(설치포함),물품,HCR,공군제15특수임무비행단,2016-12-26 11:00,HB817,다얼테크,DA  EL  TECH,차정수,1050840017,1050840017,010-5084-0017,"경기도 김포시 고촌읍 장차로13, 3층 303-2호",88.0421,32116930 ,4종
46,2,SFH0112,1,46635,***,식자재 구매(일반미 등 174품목),물품,SFH,제9196부대,2016-12-26 11:00,H2978,동원푸드,동원푸드,박진석,010-3705-0815,010-3705-0815,010-3705-0815,인천광역시 남동구 에코중앙로96-0 (논현동) 904동3503호,91.7136,121558687 ,1종
47,5,MDD0102,1,46308,***,'17년 환자급식(증후식류) 식품 구매,물품,MDD,국군수도병원,2016-12-26 11:00,H8CBB,주식회사 삼우인더스트리,Samu International Inc,배상진,010-2130-3414,010-2130-3414,010-2130-3414,경기도 고양시 일산동구 문원길170번길67(설문동),83.716,105860000 ,1종
48,7,MDD0101,1,46307,***,'17년 환자급식(부식류) 식품 구매,물품,MDD,국군수도병원,2016-12-26 11:00,B9586,주식회사 에스피씨삼립,samlip,김범수,1053682751,1053682751,010-5368-2751,경기도 시흥시 공단1대로 101(정왕동),83.7235,481201000 ,1종
49,171,SFG0179,1,47665,***,페인트건 등 7종,물품,SFG,제9181부대,2016-12-26 10:30,G4CE2,금성기업,KUMSONG,김은애,318110024,318110024,031-811-0024,경기도 고양시 덕양구 주교동616-1 신양빌딩304호,88.1413,5684186 ,4종
50,4,HDP0038,2,44994,***,음식물쓰레기 처리용역(17년도),물품,HDP,공군제19전투비행단,2016-12-26 10:30,H229C,중원산업,JUNGWON Industry,김경민,1062460327,1062460327,010-6246-0327,충청북도 충주시 주덕읍 화개1길16 (서충주신도시 삼일파라뷰 그랜드센트럴) 220동 212호,91.1995,34300000 ,1종
51,5,UAC0082,1,46754,***,Truepress-jet520 전용잉크등 2종 구매,물품,UAC,국방출판지원단,2016-12-26 10:30,H9688,가온정보,GAON INFORMATION,이형구,010-5449-3049,010-5449-3049,010-5449-3049,서울특별시 금천구 벚꽃로286-0 (가산동) 삼성리더스타워 611호,92.8265,176388300 ,10종
52,14,UAC0077,2,43976,***,인쇄용지8종 제조/구매,물품,UAC,국방출판지원단,2016-12-26 10:30,ACC15,세풍지업상사,,정헌화,426278333,426278333,042-627-8333,대전광역시 동구 태전로 56-9(),83.9948,210758908 ,2종
53,13,LPG0060,1,47516,***,00지역 철책 보강자재 구매,물품,LPG,제5보병사단,2016-12-23 16:00,H9254,현상사,hyunsaungsa,유현숙,070-4069-6457,070-4069-6457,070-4069-6457,경기도 가평군 조종면 운악청계로238-38,88.0194,33077735 ,4종
54,87,MDR0085,1,47087,***,가전제품 7종 구매,물품,MDR,제9965부대,2016-12-23 14:30,DA795,와이엠,YM,이영주,070-8611-4873,070-8611-4873,070-8611-4873,대전광역시 서구 도산로403번길21 전자타운419호,88.1272,7035000 ,6종
55,11,LMS0097,1,45083,1,'17년 설날 경축특식(과자세트) 구매(제조),물품,LMS,제7789부대,2016-12-23 14:00,DE986,성도교역,sungdo co ltd,최계영,23062353,23062353,02-306-2353,"서울특별시 서대문구 수색로138-0, 2층(북가좌동)",88.1151,1298 ,1종
56,4,LDC0022,1,46485,***,00부대 생활관 증축공사 진공온수보일러 제조 / 설치,물품,LDC,육군과학화전투훈련단,2016-12-23 11:30,D84D3,주식회사 동광보일러,"DONGKWANG BOILER CO., LTD.",박정연,262588989,262588989,02-6258-8989,충청남도 아산시 수장로67-0 (배미동),92.9709,32800000 ,4종
57,8,MCN0105,1,44287,***,17년 영선보수자재 구매,물품,MCN,국방부근무지원단,2016-12-23 11:00,EFEA2,주식회사무한티에스,MUHANTS,최용대,02-802-9105,02-802-9105,02-802-9105,"서울특별시 금천구 시흥대로 97, 시흥유통상가 26동337호(시흥동)",58.7308,158710000 ,4종
58,25,LNT0029,1,46214,***,00부대 유휴시설 폐기물처리 용역,물품,LNT,제28보병사단,2016-12-23 10:30,A5614,(주) 강북공영,Kang Buk Gong Young Co..Ltd.,김희철,318651633,318651633,031-865-1633,경기도 양주시 광적면 효촌리656-1,88.0824,50323000 ,10종
59,225,LNF0040,1,47273,***,병영도서 구매,물품,LNF,제1보병사단,2016-12-23 10:30,GFF26,태영통상,tayeong trade,서경원,031-881-0788,031-881-0788,031-881-0788,경기도 여주시 세종로46번길15-24 (창동),90.0021,23705050 ,10종
60,2,LHN0094,1,46759,***,16년 후반기 신병용품 구매,물품,LHN,제7보병사단,2016-12-23 10:30,G5531,전우사,jeon-wo-sa,방만석,334421366,334421366,033-442-1366,강원특별자치도 화천군 화천읍 상승로42-10,88.0251,6130000 ,2종
61,2,LHN0093,1,46739,***,독서카페 설치 자재구매,물품,LHN,제7보병사단,2016-12-23 10:30,G5531,전우사,jeon-wo-sa,방만석,334421366,334421366,033-442-1366,강원특별자치도 화천군 화천읍 상승로42-10,88.6045,8200000 ,미분류
62,195,LHN0092,1,46716,***,GOP 제설용 송풍기 구매,물품,LHN,제7보병사단,2016-12-23 10:30,D5DAF,(주)싸이퍼일렉트로닉,"CIPHER ELECTRONICS.CO.,LTD.",천익종,28394335,28394335,02-839-4335,"서울특별시 은평구 응암로337,6층(응암동,빛터룩스빌딩)",88.0234,7243500 ,7종
63,38,LHN0091,1,46712,***,"수저, 수저통 구매",물품,LHN,제7보병사단,2016-12-23 10:30,G36BE,에이치 종합상사,에이치 종합상사,황종근,1053715696,1053715696,010-5371-5696,"강원특별자치도 원주시 서원대로380-0 (단구동, 노빌리티타워)1604호",88.5077,13244200 ,2종
64,57,UAZ0059,1,46609,***,17-국방어학원 국내.외 간행물 17종 구매,물품,UAZ,합동군사대학교,2016-12-23 10:30,GDAB4,무한씨엔씨,MUHANC&C,윤수경,02-702-2115,02-702-2115,02-702-2115,경상남도 창원시 마산회원구 합포로274-0 (양덕동)한진오피스텔 401-C24호,88.0724,7338750 ,2종
65,8,HCL0098,1,46557,***,16-293 관사보일러 납품 및 설치,물품,HCL,공군사관학교,2016-12-23 10:30,BF4DF,영원종합상사,YOUNG WON TOTAL SOLUTION,이영수,042-536-8585,042-536-8585,042-536-8585,충청남도 계룡시 신도안면 부남리167-22,94.8259,17684800 ,4종
66,2,SCF0530,1,45696,***,방풍용 비닐 등 6종,물품,SCF,해군군수사령부,2016-12-23 10:30,G5239,주식회사유일화학,"YOUIL CHEMICAL Co.,Ltd.",권혁자,319979898,319979898,031-997-9898,경기도 김포시 하성로800-0 (하성면),85.438,17891010 ,2종
67,13,HDR0018,1,46233,***,방관사 저고도레이더 운용시설(별립)_수배전반,물품,HDR,공군방공관제사령부,2016-12-22 11:00,C41B7,주식회사 주왕산업,Juwang Industrial,나윤경,636351146,636351146,063-635-1146,전북특별자치도 남원시 시묘길100-0 (노암동),88.0572,75040720 ,4종
68,20,MCN0110,1,45953,***,시설공사 관급자재(화물용엘리베이터)제조 설치납품,물품,MCN,국방부근무지원단,2016-12-22 11:00,AFC03,주식회사광진엔지니어링,"GWANG JIN ENG.CO., LTD.",정선호,319981924,319981924,031-998-1924,경기도 김포시 김포대로2709-11 (월곶면),88.0558,52487702 ,4종
69,92,MCN0109,1,45951,***,시설공사 관급자재(조명기구)제조 납품,물품,MCN,국방부근무지원단,2016-12-22 11:00,E0B4C,(주)베크룩스,beclux,엄기관,318536408,318536408,031-853-6408,경기도 포천시 가산면 금현경제로1길27-0,88.085,49627940 ,2종
70,256,MCN0108,1,45948,***,시설공사 관급자재(분전반)제조 납품,물품,MCN,국방부근무지원단,2016-12-22 11:00,DDF9B,주식회사 케이엔,"KN CO.,LTD",강기주,555333001,555333001,055-533-3001,부산광역시 강서구 미음산단로105번길34 (구랑동),88.0213,64723450 ,4종
71,217,MCN0107,1,45935,***,관급자재(전관방송 및 AV설비) 제조 설치납품,물품,MCN,국방부근무지원단,2016-12-22 11:00,E24E8,주식회사 누리정보기술,NURI I-T,김승규,548421003,548421003,054-842-1003,경상북도 안동시 농공길37-9 (남후면),87.9958,47747853 ,4종
72,94,MCN0106,1,45834,***,종교센타 리모델링 관급자재(조명기구) 제조납품,물품,MCN,국방부근무지원단,2016-12-22 11:00,H71D8,주식회사 해인엘이디,HAEIN  LED,이동우,051-557-5022,051-557-5022,051-557-5022,부산광역시 해운대구 센텀북대로60-0 (재송동) 507호,87.9983,57527800 ,2종
73,5,LCH0035,1,46213,***,00부대 복지회관 신축 변압기 제조설치,물품,LCH,특수전사령부,2016-12-22 11:00,BAC68,한원전기공업주식회사,"HANONE ELECTRIC IND.CO.,LTD.",박선민,313552514,313552514,031-355-2514,경기도 화성시 마도면 마도로620번길 31한원전기공업(주),88.0177,34793000 ,4종
74,9,LCH0036,1,46262,***,체력단련장 전동카트 구매,물품,LCH,특수전사령부,2016-12-22 10:30,BD837,(주)한일종합상사,hanil il sang sa,이희석,7044539559,7044539559,070-4453-9559,대전광역시 대덕구 대전로1397번안길70-0 (읍내동),88.1968,68530000 ,10종
75,14,LNG0031,1,46283,***,차기다련장 3차 811정비대대 시설공사_크레인,물품,LNG,육군 제1군단,2016-12-21 13:40,C713F,부천기업 주식회사,"BUCHEON ENTERPRISE CO.,LTD.",정보현,319876010,319876010,031-987-6010,경기도 김포시 월곶면 애기봉로250-0,88.1075,41209950 ,4종
76,90,LKP0123,1,45910,***,방송장비 구매 / 설치,물품,LKP,5군수지원사령부,2016-12-21 11:00,E54CB,제일음향정보통신(주),jeilsound Information  Communication,홍시흠,323273381,323273381,032-327-3381,"경기도 부천시 원미구 조마루로385번길92,제19층1918호 (원미동,부천테크노밸리 유1센터)",88.0122,53542750 ,7종
77,223,LCF0001,1,46358,***,물류취급 물자(롤테이너 등 5종) 구매,물품,LCF,육군군수사령부,2016-12-21 11:00,G2458,클릭바이 엠알오,clickbuy MRO,노영규,27196779,27196779,02-719-6779,경기도 고양시 일산서구 고양대로706-13 (일산동),87.7699,33652820 ,2종
78,4,MDG0147,2,44367,***,'17년 환자치료식 부·후식 및 증식 계약,물품,MDG,국군의무사령부,2016-12-21 11:00,B9586,주식회사 에스피씨삼립,samlip,김범수,1053682751,1053682751,010-5368-2751,경기도 시흥시 공단1대로 101(정왕동),89.2245,1117356000 ,1종
79,4,MDG0147,1,44367,***,'17년 환자치료식 부·후식 및 증식 계약,물품,MDG,국군의무사령부,2016-12-21 11:00,B9586,주식회사 에스피씨삼립,samlip,김범수,1053682751,1053682751,010-5368-2751,경기도 시흥시 공단1대로 101(정왕동),89.2245,1117356000 ,1종
80,20,UMM0648,1,41658,***,00사 군관사 개선공사 엘리베이터 제조 설치,물품,UMM,국군재정관리단,2016-12-21 11:00,B9BCF,성광엘리베이터 주식회사,sungkwang,김성욱,555837526,555837526,055-583-7526,"경상남도 창원시 의창구 창원대로18번길22. 벤처동 406호(팔용동, 경남테크노파크)",88.1492,1179410000 ,4종
81,4,MDG0147,3,44367,***,'17년 환자치료식 부·후식 및 증식 계약,물품,MDG,국군의무사령부,2016-12-21 11:00,B9586,주식회사 에스피씨삼립,samlip,김범수,1053682751,1053682751,010-5368-2751,경기도 시흥시 공단1대로 101(정왕동),89.2245,1117356000 ,1종
82,38,MDF0034,1,45939,***,00지역 아파트 리모델링 시설공사(가구),물품,MDF,국군지휘통신사령부,2016-12-21 11:00,DC50E,에스알주식회사,SR,이상민,432353638,432353638,043-235-3638,충청북도 청주시 서원구 남이면 척산화당로 105-4에스알(주),88.0203,102803800 ,2종
83,3,MCJ0014,1,45088,***,`16년 정보자원 도입사업 리스,물품,MCJ,국방통합데이터센터,2016-12-21 11:00,B179B,롯데캐피탈(주),LOTTE CAPITAL,추광식,234510099,234510099,02-3451-0099,"서울특별시 강남구 테헤란로 142(역삼동, ARC PLACE) 7층",98.5541,4373024390 ,10종
84,5,HCF0147,1,45072,***,자이로스코프 비율식 구매,물품,HCF,공군군수사령부,2016-12-21 10:30,G4C53,휴먼팩토리,human factory,김선옥,070-5014-2918,070-5014-2918,070-5014-2918,경기도 부천시 원미구 상동로117번길31-0 (상동),96.5111,47652000 ,2종
85,20,LPM0043,1,46745,***,군 월동준비자재 구매(51종 712개),물품,LPM,제9보병사단사령부,2016-12-21 10:30,H3324,신명,SINMYUNG,박찬규,010-2405-3340,010-2405-3340,010-2405-3340,경기도 파주시 금빛로12-0 (금촌동) 삼성프라자 3층 21호,88.0065,25000230 ,2종
86,6,LNF0038,1,46699,***,보조지주 제조 구매,물품,LNF,제1보병사단,2016-12-21 10:30,H77B0,주식회사 합동메탈,hapdongmetal.co.ltd,남유민,031-354-4526,031-354-4526,031-354-4526,경기도 화성시 향남읍 서봉로651-14,88.7688,39182536 ,4종
87,44,SFG0178,1,45148,***,조명기구(차량정비고),물품,SFG,제9181부대,2016-12-21 10:30,F359C,주식회사 링크맨,"LINKMAN.Co.,Ltd",윤혜자,334355856,334355856,033-435-5856,강원특별자치도 홍천군 홍천읍 농공단지길23-19,88.108,87068480 ,4종
88,361,SFG0177,1,45134,***,CCTV(지상전술전자장비),물품,SFG,제9181부대,2016-12-21 10:30,D4DA9,엑사정보기술 주식회사,,심순,522392396,522392396,052-239-2396,울산광역시 울주군 서생면 에너지산업3로6,87.9954,63715000 ,2종
89,227,SFG0176,1,45130,***,분전반(지상전술전자장비),물품,SFG,제9181부대,2016-12-21 10:30,C7C3F,삼성기전(주),SAM SOUNG GI JUN,원은희,432768096,432768096,043-276-8096,충청북도 청주시 청원구 토성로362번길75 (오동동),87.9963,49255710 ,4종
90,2,SFG0175,1,45122,***,떡류 등 21종,물품,SFG,제9181부대,2016-12-21 10:30,H5331,주식회사해피21세기,HAPPY21C,이숙희,031-977-7729,031-977-7729,031-977-7729,경기도 고양시 일산동구 성현로377번길63-13 (문봉동),89.6826,273130000 ,1종
