입찰명,발주기관코드,발주기관,카테고리
00부대 복지회관 신축 냉난방기 구매설치,LCH,특수전사령부,미분류
신호처리기 조립체 등 16항목 구매(기장),LCF,육군군수사령부,미분류
사단 동계 대비 노후보일러 교체,LHN,제7보병사단,미분류
초코파이 등 27종 구매,SFM,제3170부대,미분류
모듬두텁떡 등 6종 제조,SFM,제3170부대,미분류
삼계탕 등 47종 구매,SFM,제3170부대,미분류
초코우유 등 29종 구매,SFM,제3170부대,미분류
베트남전투사발간,SFC,제9691부대,미분류
16-해-항공정비실습장 주파수변환기 구매,SCR,해군제3함대사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
2017년 환자급식용 식재료 구매,MDJ,국군대전병원,미분류
17년 생도증식 148종 구매,LFN,육군3사관학교,미분류
관급자재-글라스울징크 판넬 제조.구매(설치포함),HCR,공군제15특수임무비행단,미분류
식자재 구매(일반미 등 174품목),SFH,제9196부대,10종
'17년 환자급식(증후식류) 식품 구매,MDD,국군수도병원,미분류
'17년 환자급식(부식류) 식품 구매,MDD,국군수도병원,미분류
페인트건 등 7종,SFG,제9181부대,4종
음식물쓰레기 처리용역(17년도),HDP,공군제19전투비행단,미분류
Truepress-jet520 전용잉크등 2종 구매,UAC,국방출판지원단,미분류
인쇄용지8종 제조/구매,UAC,국방출판지원단,2종
00지역 철책 보강자재 구매,LPG,제5보병사단,미분류
가전제품 7종 구매,MDR,제9965부대,미분류
'17년 설날 경축특식(과자세트) 구매(제조),LMS,제7789부대,6종
00부대 생활관 증축공사 진공온수보일러 제조 / 설치,LDC,육군과학화전투훈련단,미분류
17년 영선보수자재 구매,MCN,국방부근무지원단,4종
00부대 유휴시설 폐기물처리 용역,LNT,제28보병사단,미분류
병영도서 구매,LNF,제1보병사단,10종
16년 후반기 신병용품 구매,LHN,제7보병사단,미분류
독서카페 설치 자재구매,LHN,제7보병사단,미분류
GOP 제설용 송풍기 구매,LHN,제7보병사단,미분류
"수저, 수저통 구매",LHN,제7보병사단,미분류
17-국방어학원 국내.외 간행물 17종 구매,UAZ,합동군사대학교,미분류
16-293 관사보일러 납품 및 설치,HCL,공군사관학교,미분류
방풍용 비닐 등 6종,SCF,해군군수사령부,미분류
방관사 저고도레이더 운용시설(별립)_수배전반,HDR,공군방공관제사령부,4종
시설공사 관급자재(화물용엘리베이터)제조 설치납품,MCN,국방부근무지원단,4종
시설공사 관급자재(조명기구)제조 납품,MCN,국방부근무지원단,4종
시설공사 관급자재(분전반)제조 납품,MCN,국방부근무지원단,4종
관급자재(전관방송 및 AV설비) 제조 설치납품,MCN,국방부근무지원단,미분류
종교센타 리모델링 관급자재(조명기구) 제조납품,MCN,국방부근무지원단,4종
00부대 복지회관 신축 변압기 제조설치,LCH,특수전사령부,미분류
체력단련장 전동카트 구매,LCH,특수전사령부,미분류
차기다련장 3차 811정비대대 시설공사_크레인,LNG,육군 제1군단,4종
방송장비 구매 / 설치,LKP,5군수지원사령부,미분류
물류취급 물자(롤테이너 등 5종) 구매,LCF,육군군수사령부,미분류
'17년 환자치료식 부·후식 및 증식 계약,MDG,국군의무사령부,미분류
'17년 환자치료식 부·후식 및 증식 계약,MDG,국군의무사령부,미분류
00사 군관사 개선공사 엘리베이터 제조 설치,UMM,국군재정관리단,미분류
'17년 환자치료식 부·후식 및 증식 계약,MDG,국군의무사령부,미분류
00지역 아파트 리모델링 시설공사(가구),MDF,국군지휘통신사령부,4종
`16년 정보자원 도입사업 리스,MCJ,국방통합데이터센터,미분류
자이로스코프 비율식 구매,HCF,공군군수사령부,미분류
군 월동준비자재 구매(51종 712개),LPM,제9보병사단사령부,미분류
보조지주 제조 구매,LNF,제1보병사단,미분류
조명기구(차량정비고),SFG,제9181부대,미분류
CCTV(지상전술전자장비),SFG,제9181부대,7종
분전반(지상전술전자장비),SFG,제9181부대,미분류
떡류 등 21종,SFG,제9181부대,1종
음향제작장비 등 4품목 제작설치,SFC,제9691부대,10종
17년 액화석유가스 구매,SCU,해군 기동함대사령부,3종
17년 액화석유가스 구매,SCU,해군 기동함대사령부,3종
충전키트 가압용 등 2종,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
모듬콩조림 등 17종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
해물모듬완자 등 30종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
핫바 등 31종 구매,SCF,해군군수사령부,미분류
16-59-1 관급자재[글라스울샌드위치 판넬 구매(설치)],HDM,공군제17전투비행단,미분류
계룡스파텔 식자재 000종 구매,LKS,육군인사사령부,미분류
계룡스파텔 식자재 000종 구매,LKS,육군인사사령부,미분류
방위사업청 X-Ray검색기 구매.설치 사업,MHD,방위사업청(운영지원과),미분류
물류취급물자(롤테이너 등 5개 품목) 구매,LGP,제1군수지원사령부,미분류
취사기구(신발소독판 등 18품목) 구매,HFK,제1방공유도탄여단,2종
창조 12차 장비도입 사업 통합리스,UMM,국군재정관리단,미분류
모바일기기 통제체계(MDM) 구축,UMM,국군재정관리단,미분류
00사 군관사 개선공사 씽크대 제조 설치,UMM,국군재정관리단,미분류
16-조-86 발전실 크레인 제조,UHC,공군 작사예하 방포사예하 제2여단,미분류
00학교 생도피복(맞춤피복) 제조,MDW,국군간호사관학교,2종
'17년도 선수급식(공산품 475종) 구매,MCT,국군체육부대,미분류
'17년도 선수급식(농수산물 321종) 구매,MCT,국군체육부대,미분류
'17년도 선수급식(유제품 12종) 구매,MCT,국군체육부대,미분류
핸드토키 구매,LMD,제7821부대,미분류
00부대 방송장비 보강 사업,LMD,제7821부대,미분류
"급식유통센터 운용물자(플라스틱상자, 파레트) 구매",LKP,5군수지원사령부,미분류
계룡대 체력단련장 보일러용 유류(하이신유) 구매,LKS,육군인사사령부,미분류
방관사 저고도레이더 운용시설(별립)_전력제어,HDR,공군방공관제사령부,4종
국방정보보호 교육환경 개선용 마이크 구매,MCM,4284부대,2종
박판금속제 등 7종,SDQ,해군제2수리창,미분류
오버 헤드 크레인,SFG,제9181부대,미분류
LED작업등 1종,SDQ,해군제2수리창,4종
실린더라이너 등 19종,SDQ,해군제2수리창,미분류
박판금속제 등 7종,SDQ,해군제2수리창,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
햄버그스테이크 등 31종 구매,SCF,해군군수사령부,미분류
배추김치(포기) 등 20종 제조,SCF,해군군수사령부,미분류
배추김치(포기) 등 20종 제조,SCF,해군군수사령부,미분류
배추김치(포기) 등 20종 제조,SCF,해군군수사령부,미분류
배추김치(포기) 등 20종 제조,SCF,해군군수사령부,미분류
배추김치(포기) 등 20종 제조,SCF,해군군수사령부,미분류
배추김치(포기) 등 20종 제조,SCF,해군군수사령부,미분류
배추김치(포기) 등 20종 제조,SCF,해군군수사령부,미분류
배추김치(포기) 등 20종 제조,SCF,해군군수사령부,미분류
배추김치(포기) 등 20종 제조,SCF,해군군수사령부,미분류
LED램프 외 7종 구매,MCS,국방부계룡대근무지원단,4종
다목적체육관 관급자재 무대장치 제조설치,LNS,제55보병사단,2종
다목적체육관 관급자재(AV설비) 제조설치,LNS,제55보병사단,2종
안보교육관 의자 구매납품(5~6인용),LQH,제3697부대,2종
"관급자재 수배전반, 분전반 제조 구매",HDK,공군제11전투비행단,4종
복지회관 신축 인조대리석 구매,LHN,제7보병사단,미분류
후방카메라 설치 납품,LKM,제2632부대,미분류
3개소 취사장 대형냉장고 제조설치,LNR,수도기계화보병사단,미분류
112공병 병영생활관 개수 조명기구 제조납품,LHK,제2군단,2종
GOP 철책 경계작전 시설물 보강 자재 구매,LHG,제1862부대,미분류
수리부속(타공기바늘)구매,UAC,국방출판지원단,9종
"16-해군제2기관장비실습장 수배전반, 분전반 제조)",UMM,국군재정관리단,미분류
수리부속(타공기바늘)구매,UAC,국방출판지원단,9종
인쇄용지 3종 제조/구매,UAC,국방출판지원단,2종
전산소모품 구매,MDG,국군의무사령부,2종
4개 개편부대 자동제어반 제조설치납품,LNR,수도기계화보병사단,미분류
4개 개편부대 크레인 제조설치 납품,LNR,수도기계화보병사단,미분류
가구류(책상 등 14종) 제조,MDR,제9965부대,2종
사단 병영생활관 보수 자재구매 등 2건,LHN,제7보병사단,4종
접톱 등 14종,SFD,제9227부대,미분류
LED형광등 구매(507개),LPM,제9보병사단사령부,4종
간부숙소 비품구매(SS침대 등 5종),LHR,육군 제37보병사단,미분류
방송장비 설치/납품,LHR,육군 제37보병사단,미분류
화재진압장비 제조구매(3차),LHN,제7보병사단,미분류
동계작전 대비 보온대 구매,LHN,제7보병사단,미분류
16년 교육시설(유격장) 자재구매,LHN,제7보병사단,2종
16년 화면전시체계 보강사업,LHN,제7보병사단,미분류
16-7차 전산용품 구매,LHN,제7보병사단,2종
차기다련장 3차 관급자재 크레인(16-방-12),LMR,제5군단사령부,미분류
16-공-본-17 관급자재(전관방송 AV포함) 제조설치,UMM,국군재정관리단,미분류
교도소 침대생산자재(철재류) 제조납품,UMM,국군재정관리단,미분류
테이프 크리너 등 37종,SDQ,해군제2수리창,미분류
LED 전광판 등 12종 구매,MDR,제9965부대,4종
육상용 TACAN,EGH,지휘정찰계약팀 (구:19.09.16),10종
00부대 창설사업 테라조 구매(16-215),LGT,제2307부대,미분류
시설유지보수 자재 구매,HDK,공군제11전투비행단,4종
관급자재 조명기구 제조 납품,HDK,공군제11전투비행단,4종
000사업 병영생활관 합성수지제창호 제조,UMM,국군재정관리단,4종
무인 수납 영수증 발급기 구매,UMM,국군재정관리단,미분류
17년 체력단련장 식자재 납품업체 선정,UAB,국군복지단,미분류
LED 원형센서등 등 113품목,SFH,제9196부대,4종
고양병원 PACS 서버 저장공간 확충용 HDD 구매,MDG,국군의무사령부,2종
00어린이집 교재교구 구매(K-109),LGT,제2307부대,미분류
00부대 창설사업 통합배선반 제조설치(16-223),LGT,제2307부대,미분류
00부대 창설사업 CCTV 제조설치(16-222),LGT,제2307부대,7종
00부대 창설사업 AV 제조설치(16-221),LGT,제2307부대,미분류
금학산 케이블카 엔진교체,LMK,제6보병사단,4종
T-01 박닥재 3세트,SCH,해군작전사령부,미분류
도로안전시설 설치/납품,LHR,육군 제37보병사단,4종
컷터칼 등 38종,SDL,재경근무지원대대,미분류
"여자축구 운동용품(축구공,유니폼,의료/재활용품)",MCT,국군체육부대,미분류
정수약품 구매,MCT,국군체육부대,3종
16-도서관 국외간행물 40종 구매,UAZ,합동군사대학교,10종
심폐소생술 마네킹 및 응급처치킷 구매,LHR,육군 제37보병사단,미분류
기가폰 구매,LHR,육군 제37보병사단,미분류
지휘소텐트용 공조기 1세트,SCH,해군작전사령부,2종
복사용지 등 56종 구매,SCR,해군제3함대사령부,미분류
심정모터펌프 등 펌프류 구매(16-291),LMK,제6보병사단,미분류
"부품키트, 걸쇠용 등 2항목 제조(물자)",LCF,육군군수사령부,9종
유한락스 등 45품목,SFH,제9196부대,미분류
비호 인터페이스 제어장치 정비,EGG,유도무기계약팀 (구:19.09.16),미분류
수분측정기 등 3종 구매,UMM,국군재정관리단,7종
고성능 액체크로마토그래피 구매,UMM,국군재정관리단,미분류
000사업 병영생활관 통합배선반 제조설치,UMM,국군재정관리단,미분류
과학화 출입시스템 제조 설치(2),UMM,국군재정관리단,미분류
000사업 핸드형 네트워크 분석기 구매,MDS,제3707부대,2종
물류취급물자(자바라 컨베이어) 구매,LKP,5군수지원사령부,미분류
보조지주 및 Y피켓 제조 납품,LHP,제22보병사단,미분류
윤형철조망 등 2종 구매,LCG,육군본부,4종
16-본-공-5 도서관 리모델링 관급자재(조명기구),HCL,공군사관학교,4종
131사업(2차) 관급자재(출입통제시스템) 제조설치,MCM,4284부대,미분류
깻잎무침 등 12품목,SCU,해군 기동함대사령부,미분류
깻잎무침 등 12품목,SCU,해군 기동함대사령부,미분류
16-해-항공정비실습장 크레인 제조 설치,SCR,해군제3함대사령부,미분류
"16-충-공-12 수배전반, 분전반(305대대 통합건물 신축",HDR,공군방공관제사령부,미분류
00급양대 조명기구 제조,UMM,국군재정관리단,4종
출입통제체계 구축사업 통합리스,UMM,국군재정관리단,미분류
16-해-방탄판(LEVEL Ⅳ) 192EA 제조,UMM,국군재정관리단,미분류
00부대 잠수장비 구매,LMH,제7군단,미분류
물류취급물자(핸드카트) 구매,LKP,5군수지원사령부,미분류
물류취급물자(롤테이너) 구매,LKP,5군수지원사령부,미분류
물류취급물자(안전계단형 사다리) 구매,LKP,5군수지원사령부,미분류
물류취급물자(경량랙) 구매,LKP,5군수지원사령부,미분류
16-충-공-12 방송설비(305대대 통합건물 신축),HDR,공군방공관제사령부,미분류
마이크로웨이브 신시사이저 구매,HCF,공군군수사령부,미분류
16-공-본-17 관급자재(통합배선) 제조설치,UMM,국군재정관리단,미분류
크롬 1종,SDQ,해군제2수리창,미분류
씰교환키트,SDQ,해군제2수리창,미분류
"박판,금속제 등 11종",SDQ,해군제2수리창,미분류
볼펜 등 90종,SDQ,해군제2수리창,미분류
런닝머신 등 214종 구매,SCR,해군제3함대사령부,미분류
계룡 및 구룡체력단련장 액화석유가스 (LPG) 구매,LKS,육군인사사령부,3종
상용차량 타이어 구매 설치납품,LHN,제7보병사단,9종
주머니난로(보온대) 제조납품,LFC,육군훈련소,미분류
물자취급 장비(롤테이너 등 5개 품목),LPC,제25보병사단,미분류
102대대 LED 등기구 납품,LNG,육군 제1군단,4종
'16년 모바일 홍보 제작장비 구매/납품,LCG,육군본부,미분류
00부대 영내도로 안전시설 설치납품,LGK,제5897부대,4종
무선 아이피스 등 2종 구매설치납품,MCS,국방부계룡대근무지원단,미분류
동계작전대비 보온대 구매,LHG,제1862부대,미분류
00부대 UAV중대시설 수배전반 제조설치,UMM,국군재정관리단,4종
철골 H빔 구매,UMM,국군재정관리단,4종
00부대 합성수지제창 / 합성수지도어 제조설치,UMM,국군재정관리단,2종
해상 계류부이 제조 납품,UMM,국군재정관리단,미분류
HP Indigo7800잉크등 17종 구매,UAC,국방출판지원단,미분류
국군교도소 침대생산자재 구매(4차_포장자재),NIT,국방부조사본부,미분류
'16년 물자취급 장비 구매(롤테이너 등 5종),LPH,제2167부대,미분류
물류취급물자(롤테이너 등 5종) 구매,LMS,제7789부대,미분류
물류취급물자(파레트 등 2종) 구매,LMS,제7789부대,미분류
112공병 병영생활관 개수 PW창호 제조납품,LHK,제2군단,2종
112공병 생활관 개수 진공온수보일러 제조설치납품,LHK,제2군단,2종
00부대 간부숙소 신축 가스보일러 제조설치납품,LCP,육군항공사령부,3종
군관사 및 독신숙소 LED등기구 구매,LHQ,제2작전사령부,4종
냉장냉동 창고 제조설치,LNS,제55보병사단,미분류
17년 국외잡지 구매,MCR,국방대학교,미분류
일반의약품 103종 구매,MDJ,국군대전병원,8종
4/4분기 전산운영예산(토너 등 27종),LFR,육군기계화학교,2종
둥근 향나무 등 8종,SFD,제9227부대,미분류
통신시설 자재 구매(케이블 등),LPN,수도군단,4종
대형LED전광판 제조 설치,SFL,제3283부대,4종
17-K-액화석유가스(LPG) 인천/강화,SFG,제9181부대,3종
17-K-액화석유가스(LPG) 소형저장탱크,SFG,제9181부대,3종
17-K-액화석유가스(LPG) 김포,SFG,제9181부대,3종
16-해-물류창고 조명기구 구매(1),SCR,해군제3함대사령부,4종
스모크햄 900EA 구매,SCQ,제9911부대,미분류
갓김치 등 8종 제조 납품,SCQ,제9911부대,미분류
두부 등 20종 구매,SCQ,제9911부대,미분류
멸균초코우유 등 4종 구매,SCQ,제9911부대,미분류
LA갈비 등 4종 구매,SCF,해군군수사령부,미분류
LA갈비 등 4종 구매,SCF,해군군수사령부,미분류
LA갈비 등 4종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
사이다 등 31종 구매,SCF,해군군수사령부,미분류
의약품(엘리델크림 등 11종) 구매,MCS,국방부계룡대근무지원단,8종
스킨코튼 플러스 등 125종 구매,MCS,국방부계룡대근무지원단,미분류
통신시설 자재 구매(케이블 등),LPN,수도군단,4종
윤형철조망 설치자재 5종 구매,LHQ,제2작전사령부,4종
군 상용차량 후방카메라 구매,LMK,제6보병사단,10종
차기다련장 3차 시설사업 관급자재(크레인) 설치납품,LFK,육군종합군수학교,4종
차기다련장 3차 시설사업 관급자재(보일러) 설치납품,LFK,육군종합군수학교,4종
전산운용 소모품 납품,MDZ,합동상호운용성기술센터,2종
중형 굴삭기용 부품(크라샤),LPC,제25보병사단,9종
탄약고 CCTV 설치 납품,LPC,제25보병사단,미분류
34차 부대구매(상병건강검진시약),LPC,제25보병사단,미분류
00부대 응급처치물자 구매,LDC,육군과학화전투훈련단,미분류
2016년 재생토너 4차 구매,MDG,국군의무사령부,미분류
의약품(246차) 구매,MDD,국군수도병원,8종
"기가폰, 이동용 앰프 구매",LMN,제6955부대,미분류
중형굴삭기 습지트랙 구매,LGS,육군 제8군단,미분류
화면전시체계 보강 자재구매,LHG,제1862부대,미분류
물자취급 장비 5종 구매,LMN,제6955부대,미분류
동계대비 보온팩 구매,LHD,제21보병사단,미분류
00부대 도서구매,LGK,제5897부대,10종
16-4차 전산운영용품 구매,LGQ,제36보병사단,2종
자운대/B1지역 교환기 교체사업 통합리스,UMM,국군재정관리단,미분류
미확인지뢰지대 안내 경고 간판제작,LNF,제1보병사단,5종
조달(수리)요구서(16-910)[51전대]UPS 배터리 등 2종,HCQ,공군제5공중기동비행단,9종
모니터 보호필름 등 8종,SFG,제9181부대,2종
"수목(쥐똥나무/9,260주) 구매",MCS,국방부계룡대근무지원단,미분류
소토사등 3품목,SFC,제9691부대,미분류
복사용지 등 7종,SCN,제7001부대,미분류
야외용 벤치테이블,SFG,제9181부대,미분류
롤테이너 등 5종 물품 구매,LHR,육군 제37보병사단,미분류
16-정보통신과 전산운용용품 24종 구매,UAZ,합동군사대학교,2종
포스트잇 팝업 등 14종,SCG,해군본부,미분류
"교보재 제작비(무릎,팔꿈치 보호대 세트, 태권도매트)",LFH,육군부사관학교,미분류
16-충-공-12 무대장치(305대대 통합건물 신축),HDR,공군방공관제사령부,미분류
16-충-공-12 통합배선(305대대 통합건물 신축),HDR,공군방공관제사령부,미분류
전자신호봉 등 3종,SFD,제9227부대,미분류
라미네이터 등 8종,SFD,제9227부대,미분류
16년 4/4분기 전산운용용품 구매,MDK,국군수송사령부,2종
탁구대 등 3종 구매,SCP,제8385부대,미분류
전투지휘훈련장 사무비품 33종 구매,LPM,제9보병사단사령부,미분류
발전기 등 2종,SCH,해군작전사령부,미분류
물류창고 관리 물품구매(롤테이너 등 5개),LKM,제2632부대,미분류
