입찰명,카테고리
시설공사 관급자재(화물용엘리베이터)제조 설치납품,4종
시설공사 관급자재(조명기구)제조 납품,4종
시설공사 관급자재(분전반)제조 납품,4종
관급자재(전관방송 및 AV설비) 제조 설치납품,미분류
종교센타 리모델링 관급자재(조명기구) 제조납품,4종
2017년도 국방부 신임공무원 멘토링 워크숍 위탁 운영,미분류
00부대 복지회관 신축 변압기 제조설치,미분류
체력단련장 전동카트 구매,미분류
17-S-프린터 임차 용역,미분류
'17년도 공군회관(객실용)세탁물 15종(연간)용역,미분류
"'17년도 공군회관(예식,연회용)세탁물36종(연간)용역",미분류
17-P-전기안전관리 용역,미분류
차기다련장 3차 811정비대대 시설공사_크레인,4종
방송장비 구매 / 설치,미분류
물류취급 물자(롤테이너 등 5종) 구매,미분류
'17년 환자치료식 부·후식 및 증식 계약,미분류
'17년 환자치료식 부·후식 및 증식 계약,미분류
00사 군관사 개선공사 엘리베이터 제조 설치,미분류
'17년 환자치료식 부·후식 및 증식 계약,미분류
00지역 아파트 리모델링 시설공사(가구),2종
`16년 정보자원 도입사업 리스,미분류
자이로스코프 비율식 구매,미분류
군 월동준비자재 구매(51종 712개),미분류
보조지주 제조 구매,미분류
17-동 프린터 임대(유지보수포함),2종
조명기구(차량정비고),미분류
CCTV(지상전술전자장비),7종
분전반(지상전술전자장비),미분류
떡류 등 21종,미분류
음향제작장비 등 4품목 제작설치,미분류
17년 액화석유가스 구매,3종
17년 액화석유가스 구매,3종
17-00부대 청소 관리 용역,미분류
충전키트 가압용 등 2종,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
모듬콩조림 등 17종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
해물모듬완자 등 30종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
핫바 등 31종 구매,미분류
16-59-1 관급자재[글라스울샌드위치 판넬 구매(설치)],미분류
계룡스파텔 식자재 000종 구매,미분류
계룡스파텔 식자재 000종 구매,미분류
방위사업청 X-Ray검색기 구매.설치 사업,미분류
'17년 전술훈련시뮬레이터 외주정비 용역,미분류
'17년 전술훈련시뮬레이터 외주정비 용역,미분류
'17년 KUH CMI 교육시스템 외주정비 용역,미분류
물류취급물자(롤테이너 등 5개 품목) 구매,미분류
취사기구(신발소독판 등 18품목) 구매,2종
2017년 부산병원 승강기관리용역,미분류
2017년 함평병원 승강기관리용역,미분류
2017년 서울지구병원 승강기관리용역,미분류
17년 00부대 환자급식보조원 용역,미분류
창조 12차 장비도입 사업 통합리스,미분류
모바일기기 통제체계(MDM) 구축,미분류
17-교-입영신체검사(흉부검사)위탁 용역,미분류
00사 군관사 개선공사 씽크대 제조 설치,미분류
K200A1장갑차 시뮬레이터 연구개발,7종
16-조-86 발전실 크레인 제조,미분류
17-B-건물위생관리 청소용역,미분류
00학교 생도피복(맞춤피복) 제조,2종
'17년도 선수급식(공산품 475종) 구매,미분류
'17년도 선수급식(농수산물 321종) 구매,1종
'17년도 선수급식(유제품 12종) 구매,미분류
전력지원체계 연구개발 기술수준 조사 및 평가 용역,미분류
핸드토키 구매,미분류
00부대 방송장비 보강 사업,미분류
"급식유통센터 운용물자(플라스틱상자, 파레트) 구매",미분류
계룡대 체력단련장 보일러용 유류(하이신유) 구매,미분류
17-부 승강기 유지관리용역,미분류
'17-00사 승강기 유지관리 용역,미분류
방관사 저고도레이더 운용시설(별립)_전력제어,4종
17-P-청룡회관 전기안전관리 용역,미분류
17-P-청룡회관 승강기 관리 용역,미분류
17-P-평창훈련장 전기안전관리 용역,미분류
17-P-승강기 운행관리 용역,미분류
국방대학교 일반폐기물 처리 용역,미분류
17-국방어학원 현장학습 버스임차용역,미분류
국방정보보호 교육환경 개선용 마이크 구매,미분류
박판금속제 등 7종,미분류
17-S-식자재 위탁배송 용역,미분류
오버 헤드 크레인,미분류
LED작업등 1종,4종
실린더라이너 등 19종,미분류
박판금속제 등 7종,미분류
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
햄버그스테이크 등 31종 구매,1종
배추김치(포기) 등 20종 제조,1종
배추김치(포기) 등 20종 제조,1종
배추김치(포기) 등 20종 제조,1종
배추김치(포기) 등 20종 제조,1종
배추김치(포기) 등 20종 제조,1종
배추김치(포기) 등 20종 제조,1종
배추김치(포기) 등 20종 제조,1종
배추김치(포기) 등 20종 제조,1종
배추김치(포기) 등 20종 제조,1종
LED램프 외 7종 구매,4종
다목적체육관 관급자재 무대장치 제조설치,미분류
다목적체육관 관급자재(AV설비) 제조설치,미분류
안보교육관 의자 구매납품(5~6인용),2종
"관급자재 수배전반, 분전반 제조 구매",4종
복지회관 신축 인조대리석 구매,미분류
후방카메라 설치 납품,미분류
3개소 취사장 대형냉장고 제조설치,미분류
112공병 병영생활관 개수 조명기구 제조납품,4종
GOP 철책 경계작전 시설물 보강 자재 구매,4종
수리부속(타공기바늘)구매,9종
국방의료정보체계 통합유지보수,4종
"16-해군제2기관장비실습장 수배전반, 분전반 제조)",미분류
군인연금 수급요건 및 분할연금 도입 연구,10종
수리부속(타공기바늘)구매,9종
인쇄용지 3종 제조/구매,미분류
'17년 컬러 잉크젯 프린터 임대 용역,미분류
'17년 전산장비 통합 유지보수 용역,미분류
전산소모품 구매,2종
17년 출근버스 임차 용역,미분류
4개 개편부대 자동제어반 제조설치납품,미분류
4개 개편부대 크레인 제조설치 납품,미분류
가구류(책상 등 14종) 제조,2종
사단 병영생활관 보수 자재구매 등 2건,4종
17-전산장비 정비용역,미분류
접톱 등 14종,미분류
LED형광등 구매(507개),4종
간부숙소 비품구매(SS침대 등 5종),미분류
방송장비 설치/납품,미분류
화재진압장비 제조구매(3차),미분류
동계작전 대비 보온대 구매,미분류
16년 교육시설(유격장) 자재구매,4종
16년 화면전시체계 보강사업,미분류
17-진 음식폐기물 처리용역,미분류
17-해-음식폐기물 처리용역,미분류
17-오폐수처리시설 민간 위탁관리 용역,미분류
16-7차 전산용품 구매,2종
17-교-프린터 렌탈 용역,미분류
17-포 음식물류 폐기물 처리용역,미분류
17년 전자교환장비 유지보수 용역,미분류
차기다련장 3차 관급자재 크레인(16-방-12),미분류
16-공-본-17 관급자재(전관방송 AV포함) 제조설치,미분류
교도소 침대생산자재(철재류) 제조납품,미분류
17-K-부식 민간위탁배송 용역,미분류
테이프 크리너 등 37종,미분류
17-평 오폐수처리시설 위탁관리 용역,미분류
LED 전광판 등 12종 구매,4종
육상용 TACAN,미분류
00부대 창설사업 테라조 구매(16-215),미분류
시설유지보수 자재 구매,4종
관급자재 조명기구 제조 납품,4종
국군대전병원 청소관리용역,미분류
000사업 병영생활관 합성수지제창호 제조,4종
무인 수납 영수증 발급기 구매,미분류
국군수도병원 청소관리용역,미분류
'17년~'18년 합동전파관리시스템 유지보수용역,미분류
ALL-IP 통합 네트워크 구축 u-실험사업,2종
17년 체력단련장 식자재 납품업체 선정,미분류
LED 원형센서등 등 113품목,4종
고양병원 PACS 서버 저장공간 확충용 HDD 구매,2종
00어린이집 교재교구 구매(K-109),미분류
00부대 창설사업 통합배선반 제조설치(16-223),미분류
00부대 창설사업 CCTV 제조설치(16-222),7종
00부대 창설사업 AV 제조설치(16-221),미분류
금학산 케이블카 엔진교체,4종
T-01 박닥재 3세트,미분류
도로안전시설 설치/납품,4종
컷터칼 등 38종,미분류
"여자축구 운동용품(축구공,유니폼,의료/재활용품)",미분류
정수약품 구매,3종
'17-정수장 및 수원지 제초 용역,미분류
'17-00사 소방시설 점검 용역,미분류
17-부 프린터 임차 용역(60대),미분류
16-도서관 국외간행물 40종 구매,10종
17-J-사업장생활계 폐기물 처리 용역,미분류
'17-00의료원 소방점검 용역,미분류
'17-00회관 별관 전기안전관리 용역,미분류
'17-00식당 방역용역,미분류
'17-00의료원 위탁방제 용역,미분류
'17-00의료원 승강기 점검 용역,미분류
'17-00복지관 승강기 유지보수 용역,미분류
'17-00의료원 음식물쓰레기 위탁처리용역,미분류
'17-00단련장 음식물쓰레기 위탁처리용역,미분류
심폐소생술 마네킹 및 응급처치킷 구매,미분류
기가폰 구매,미분류
지휘소텐트용 공조기 1세트,2종
복사용지 등 56종 구매,미분류
심정모터펌프 등 펌프류 구매(16-291),미분류
"부품키트, 걸쇠용 등 2항목 제조(물자)",9종
유한락스 등 45품목,미분류
비호 인터페이스 제어장치 정비,미분류
수분측정기 등 3종 구매,7종
고성능 액체크로마토그래피 구매,미분류
000사업 병영생활관 통합배선반 제조설치,미분류
'17년 한미지상전연동모델 유지보수용역,미분류
'17년 전투21모델 유지보수용역,미분류
'17년 연합연습용 전투근무지원모델 유지보수 용역,미분류
과학화 출입시스템 제조 설치(2),미분류
17년 00부대 청소용역,미분류
2017년 시설관리(경비 및 청소) 용역,미분류
000사업 핸드형 네트워크 분석기 구매,2종
17년 프린터 렌탈 용역,미분류
물류취급물자(자바라 컨베이어) 구매,미분류
보조지주 및 Y피켓 제조 납품,미분류
윤형철조망 등 2종 구매,4종
16-본-공-5 도서관 리모델링 관급자재(조명기구),4종
131사업(2차) 관급자재(출입통제시스템) 제조설치,미분류
깻잎무침 등 12품목,미분류
깻잎무침 등 12품목,미분류
16-해-항공정비실습장 크레인 제조 설치,미분류
시설경량화 세부지침 및 설계(안) 작성 용역,미분류
"16-충-공-12 수배전반, 분전반(305대대 통합건물 신축",미분류
00급양대 조명기구 제조,4종
출입통제체계 구축사업 통합리스,미분류
00대학 정보통신장비 통합유지보수 용역,미분류
16-해-방탄판(LEVEL Ⅳ) 192EA 제조,미분류
17년 출입통제체계 유지보수 용역,미분류
00부대 잠수장비 구매,미분류
물류취급물자(핸드카트) 구매,미분류
물류취급물자(롤테이너) 구매,미분류
물류취급물자(안전계단형 사다리) 구매,미분류
물류취급물자(경량랙) 구매,미분류
16-충-공-12 방송설비(305대대 통합건물 신축),미분류
마이크로웨이브 신시사이저 구매,미분류
16-공-본-17 관급자재(통합배선) 제조설치,미분류
크롬 1종,미분류
씰교환키트,미분류
"박판,금속제 등 11종",미분류
볼펜 등 90종,미분류
런닝머신 등 214종 구매,미분류
기록관리장비(M/F장비) 유지보수 용역,미분류
계룡 및 구룡체력단련장 액화석유가스 (LPG) 구매,3종
상용차량 타이어 구매 설치납품,9종
주머니난로(보온대) 제조납품,미분류
물자취급 장비(롤테이너 등 5개 품목),미분류
102대대 LED 등기구 납품,4종
'16년 모바일 홍보 제작장비 구매/납품,미분류
00부대 영내도로 안전시설 설치납품,4종
무선 아이피스 등 2종 구매설치납품,미분류
동계작전대비 보온대 구매,미분류
00부대 UAV중대시설 수배전반 제조설치,4종
국방대학교 청소관리용역,미분류
17년 종합정보시스템 유지보수 용역,미분류
철골 H빔 구매,4종
00부대 합성수지제창 / 합성수지도어 제조설치,미분류
해상 계류부이 제조 납품,미분류
HP Indigo7800잉크등 17종 구매,2종
17년 청수 수송용역,미분류
국군교도소 침대생산자재 구매(4차_포장자재),미분류
2017년 무한리필 컬러프린터 임대용역,미분류
17년 전산장비 유지보수 용역,미분류
'16년 물자취급 장비 구매(롤테이너 등 5종),미분류
물류취급물자(롤테이너 등 5종) 구매,미분류
물류취급물자(파레트 등 2종) 구매,미분류
112공병 병영생활관 개수 PW창호 제조납품,4종
112공병 생활관 개수 진공온수보일러 제조설치납품,미분류
00부대 간부숙소 신축 가스보일러 제조설치납품,3종
군관사 및 독신숙소 LED등기구 구매,4종
냉장냉동 창고 제조설치,미분류
17-00전대 상반기 음식물쓰레기 수거 및 처리용역,미분류
17-00전대 1/4분기 폐기물 처리 용역,미분류
'17년 조사체계 HW 유지보수,4종
17년 국외잡지 구매,미분류
일반의약품 103종 구매,8종
4/4분기 전산운영예산(토너 등 27종),2종
둥근 향나무 등 8종,미분류
통신시설 자재 구매(케이블 등),4종
대형LED전광판 제조 설치,4종
17-K-액화석유가스(LPG) 인천/강화,3종
17-K-액화석유가스(LPG) 소형저장탱크,3종
17-K-액화석유가스(LPG) 김포,3종
16-해-물류창고 조명기구 구매(1),4종
스모크햄 900EA 구매,1종
갓김치 등 8종 제조 납품,1종
두부 등 20종 구매,1종
멸균초코우유 등 4종 구매,1종
LA갈비 등 4종 구매,미분류
LA갈비 등 4종 구매,미분류
LA갈비 등 4종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
사이다 등 31종 구매,미분류
의약품(엘리델크림 등 11종) 구매,8종
스킨코튼 플러스 등 125종 구매,미분류
통신시설 자재 구매(케이블 등),4종
윤형철조망 설치자재 5종 구매,4종
군 상용차량 후방카메라 구매,7종
차기다련장 3차 시설사업 관급자재(크레인) 설치납품,4종
차기다련장 3차 시설사업 관급자재(보일러) 설치납품,4종
전산운용 소모품 납품,2종
2017년 승강기 관리 용역,미분류
중형 굴삭기용 부품(크라샤),9종
탄약고 CCTV 설치 납품,미분류
34차 부대구매(상병건강검진시약),미분류
00부대 응급처치물자 구매,미분류
2016년 재생토너 4차 구매,2종
의약품(246차) 구매,8종
"기가폰, 이동용 앰프 구매",미분류
상용차량 후방카메라 설치납품,7종
중형굴삭기 습지트랙 구매,미분류
화면전시체계 보강 자재구매,미분류
물자취급 장비 5종 구매,미분류
동계대비 보온팩 구매,미분류
00부대 도서구매,10종
16-4차 전산운영용품 구매,2종
17년 통합보안시스템 유지보수 용역,미분류
자운대/B1지역 교환기 교체사업 통합리스,미분류
미확인지뢰지대 안내 경고 간판제작,5종
조달(수리)요구서(16-910)[51전대]UPS 배터리 등 2종,9종
모니터 보호필름 등 8종,2종
"수목(쥐똥나무/9,260주) 구매",미분류
소토사등 3품목,미분류
복사용지 등 7종,미분류
야외용 벤치테이블,미분류
롤테이너 등 5종 물품 구매,미분류
16-정보통신과 전산운용용품 24종 구매,2종
포스트잇 팝업 등 14종,미분류
"교보재 제작비(무릎,팔꿈치 보호대 세트, 태권도매트)",미분류
16-충-공-12 무대장치(305대대 통합건물 신축),미분류
16-충-공-12 통합배선(305대대 통합건물 신축),미분류
전자신호봉 등 3종,미분류
라미네이터 등 8종,미분류
16년 4/4분기 전산운용용품 구매,2종
탁구대 등 3종 구매,미분류
전투지휘훈련장 사무비품 33종 구매,미분류
발전기 등 2종,미분류
물류창고 관리 물품구매(롤테이너 등 5개),미분류
부대 의약품 및 의료기재 등 구매,8종
후반기 전산용품 구매,2종
원판정리대 등 3종,미분류
조경용 퇴비 등 30품목,미분류
교도소 침대생산자재(목재류) 제조납품,4종
백단화 등 3종,미분류
00함 선체(하우스) 청락/도장 용역,미분류
기갑 및 기계화부대 중대급 교전훈련장비 연구용역,미분류
관제레이더 장애징후분석 및 원격감시체계구축,7종
조달-방-16-78 레이더 냉각체계 수리부속,9종
파이프 등 211종 구매,4종
ATCIS 상용HW 유지보수 물품 구매,4종
연천지역 차량 후방카메라 설치납품,7종
00부대 장간조립교 자재 제조납품,미분류
17년 건물 구충구서 용역,미분류
00부대 풋살경기장 인조잔디 설치납품,미분류
00부대 취사 피복 구매(취사화 등 7종),2종
자동화 사격장비 제조설치,미분류
선박 보조연료탱크 제조 설치,3종
육군 항공관제 시뮬레이터 연구개발,7종
후가공 2종 제작/구매,미분류
17-서북도서 출타장병 환승 지원용 버스 용역,미분류
국방컨벤션 웨딩 꽃장식/부케 설치납품,미분류
임실 굴삭기 수리부속 구매,9종
교육재료(복사용지 등 56종) 구매,미분류
노트패드 등 64종,미분류
복사용지 750box 구매,미분류
시멘트 등 94종 구매,4종
상용 샌드박스 서버(HW) 구매,2종
국방정보보호 교육지원물품 구매,미분류
국방정보보호 부교재(도서) 구매,10종
"입시홍보물품(3색 볼펜) 7,000개 구매",10종
고속절단기 등 5종,미분류
배관용탄소강광등105품목구매(16-400호),미분류
컴포트 그립장갑 등 93종,미분류
"지뢰보호의, 보호헬멧 제조구매",5종
미확인 지뢰지대 통제간판 제조구매,5종
화면전시체계 보강사업 설치납품,미분류
"복사용지 1,670박스",미분류
안전모 등 33종,미분류
토너 등 56종,2종
전투지휘훈련 브리핑장비 설치 납품(긴급공고),미분류
16-본-공-5 관급자재(화강석) 제조,미분류
LED작업등 등 4종,4종
밸브 등 4종,4종
'16-평-군 관사 보일러 구매설치,미분류
친환경 합성목재(데크제)외 1종 구매납품,4종
"조경석 현무암부정형판석(6,708개)구매납품",미분류
스텐 옥외보안등 외 11종 구매,미분류
국방군사시설 건축바닥면적 기준 개정 연구용역,미분류
LED투광등 340조 구매,4종
00부대 간부숙소 신축 관급자재 콘크리트파일 제조,4종
인쇄재료 16종 구매,미분류
00부대 간부숙소 신축 관급자재 콘크리트파일 제조,4종
원격교육 체계구축 사업 통합리스,미분류
17년 국군복지단 체육시설 배상책임보험,4종
오수처리시설 위탁관리 용역(경북 경산등 5곳),미분류
'17년 전투21모델 장비 정비용역,미분류
국군대전병원 환자급식보조원 용역,미분류
고속고무보트 제조 납품,미분류
인쇄재료 16종 구매,미분류
예복 허리휘장 등 27종 구매,미분류
강릉 및 원주지역 부대 T-11 표준 파렛트 구매,미분류
춘천 및 인제지역 부대 T-11 표준파렛트 구매,미분류
특수하역장비(하버크레인 케이블릴모터) 정비용역,미분류
원형톱 1개,미분류
전시관 내부 안내판 제작 및 설치,미분류
16-해-격납고 크레인 제조 설치,미분류
산업용 장갑 등 30종 구매,미분류
디지털 포렌식 대용량 스토리지 서버 구매,2종
00함 No.1 공기조화기 압축기 모터 정비,미분류
강습대대 발진기지 토목자재구입,4종
5공병 중형굴삭기 크레샤 수리부속 구매,9종
00부대 관사 신축사업 승강기 제조설치,미분류
전산운영용품구매(6),2종
17년 통합전산장비 유지보수 용역,미분류
17년 정보화장비 통합 유지보수 용역,미분류
17년 전산장비 유지보수 용역,미분류
고무보트 2종 제조납품,미분류
00부대 후반기 전산운영용품 구매(2),2종
육군사망자 장례지원서비스(후불제),미분류
상용 HET차량용 타이어 구매,9종
00지역 ATCIS SSD 장비 구매,미분류
장간조립교 목재 수리부속 제조납품,9종
17-OO지역 승강기 관리용역,미분류
PP 제본표지 등 61종,미분류
니퍼 등 56종,미분류
노트패드 등 35종,미분류
메모보드판 등 104종,미분류
복사용지 등 3종 구매,미분류
야채참치통조림 등 3종 구매,미분류
